Test2.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
506163 -00354.98, 00374.51, 00903.81, 00001.20, 00003.16,-00008.93,-00037.80, 00033.45, 00047.40, 00033.64,98645.13,14.31,0.97
506477 -00385.25, 00351.07, 00891.60, 00006.29,-00003.59,-00011.93,-00037.35, 00036.60, 00045.60, 00033.68,98643.46,14.31,0.97
506791 -00140.62, 00423.83, 00720.70,-00066.37, 00014.73, 00011.57,-00039.30, 00046.50, 00039.60, 00033.68,98637.28,14.31,0.97
507105 -00396.48, 00354.98, 00863.28,-00007.96,-00006.89,-00006.49,-00040.80, 00040.50, 00042.90, 00033.88,98633.56,14.31,0.97
507423 -00332.52, 00153.32, 00988.77,-00000.32, 00004.66, 00011.07,-00042.75, 00037.80, 00046.65, 00033.97,98641.38,14.31,0.97
507737 -00315.92, 00331.05, 00749.51,-00010.15, 00030.47,-00030.01,-00045.60, 00038.70, 00044.25, 00034.02,98647.08,14.31,0.97
508051 -00364.26, 00535.64, 00844.73, 00055.12,-00055.27,-00013.07,-00043.80, 00045.00, 00041.10, 00033.78,98659.59,14.31,0.97
508365 -00170.41, 00534.67, 00713.87,-00021.89,-00002.95,-00008.05,-00048.45, 00045.00, 00036.90, 00033.78,98646.67,14.31,0.97
508683 -00357.91, 00568.36, 00818.85, 00014.41, 00024.50,-00013.31,-00043.80, 00046.20, 00039.15, 00034.02,98646.41,14.31,0.97
508997 -00165.04, 00341.31, 00854.98,-00018.70, 00002.56,-00009.56,-00046.95, 00040.20, 00042.60, 00033.88,98633.01,14.31,0.97
509311 -00312.01, 00376.95, 00854.49,-00022.38,-00001.12,-00011.58,-00042.15, 00043.20, 00041.55, 00034.12,98640.63,14.31,0.97
509625 -00266.11, 00403.81, 00844.73, 00002.43,-00009.47, 00007.55,-00043.35, 00043.95, 00043.95, 00033.83,98633.50,14.31,0.97
509943 -00288.09, 00453.12, 00851.07, 00010.45,-00002.75, 00007.79,-00043.35, 00043.95, 00040.80, 00033.88,98640.21,14.31,0.97
510257 -00212.89, 00512.70, 00845.21,-00003.51, 00017.12, 00004.82,-00043.65, 00042.75, 00040.35, 00033.88,98768.52,14.32,0.97
510571 -00327.64, 00357.42, 00843.75,-00023.39,-00001.31,-00018.32,-00042.75, 00042.15, 00041.85, 00034.02,98684.25,14.31,0.97
510885 -00381.84, 00349.61, 00816.89,-00015.43,-00026.64, 00014.06,-00039.60, 00043.35, 00044.10, 00034.02,98656.44,14.31,0.97
511203 -00178.22, 00625.98, 01007.81,-00031.72,-00001.47, 00045.78,-00043.35, 00039.60, 00043.95, 00033.97,98653.16,14.31,0.97
511517 -00382.81, 00384.28, 00817.38,-00077.43, 00063.40, 00159.21,-00040.35, 00014.70, 00050.85, 00033.59,98655.12,14.31,0.97
511831 -00291.02, 00109.86, 00902.83,-00007.18, 00011.66,-00000.67,-00032.40,-00000.75, 00046.35, 00033.68,98641.63,14.31,0.97
512145 -00368.16, 00336.43, 00880.37, 00042.60, 00017.60,-00015.64,-00034.05, 00005.25, 00048.00, 00033.68,98642.14,14.31,0.97
512463 -00408.20, 00239.26, 00902.83, 00035.29,-00015.68,-00045.35,-00037.20, 00010.05, 00049.95, 00033.78,98633.50,14.31,0.97
512777 -00378.91, 00433.59, 00867.19, 00014.10,-00020.58,-00059.79,-00040.05, 00023.40, 00049.05, 00033.83,98635.94,14.31,0.97
513091 -00409.18, 00413.09, 00770.51, 00017.18,-00011.82,-00047.46,-00039.60, 00031.80, 00045.60, 00033.64,98647.11,14.31,0.97
513405 -00273.44, 00417.48, 00837.89, 00008.95,-00016.37,-00046.08,-00042.00, 00039.30, 00042.90, 00033.68,98649.57,14.31,0.97
513723 -00356.45, 00426.27, 00832.52, 00012.56, 00000.30, 00005.40,-00041.55, 00043.35, 00042.90, 00033.59,98654.93,14.31,0.97
514037 -00341.80, 00436.04, 00838.38, 00001.95, 00005.94,-00001.73,-00040.65, 00044.70, 00042.00, 00033.88,98639.44,14.31,0.97
514351 -00271.48, 00592.29, 00789.55, 00007.67, 00011.15,-00017.53,-00039.15, 00046.35, 00040.05, 00033.78,98641.63,14.31,0.97
514665 -00448.24, 00492.68, 00788.09,-00011.59, 00019.66, 00034.06,-00037.20, 00045.15, 00041.25, 00033.78,98649.98,14.31,0.97
514734 Single button click acknowledged, data collection ENDED for file: Test2.txt
