time (ms),pressure (Pa)
0.0,125120.3125
155.0,127762.34375
310.0,129579.6484375
465.0,131075.25
620.0,132287.03125
775.0,136468.609375
930.0,150822.765625
1085.0,138186.484375
1240.0,129682.953125
1395.0,132998.890625
1550.0,141297.1875
1705.0,150724.28125
1860.0,131490.53125
2015.0,129262.125
2170.0,133294.65625
2325.0,142229.78125
2480.0,156795.265625
2635.0,155691.890625
2790.0,128832.5625
2945.0,124189.125
3100.0,124445.84375
3255.0,124975.1171875
3410.0,125802.375
3565.0,127268.859375
3720.0,129960.328125
3875.0,141213.484375
4030.0,154584.53125
4185.0,162631.0
4340.0,131342.171875
4495.0,125332.4765625
4650.0,124110.890625
4805.0,124488.7109375
4960.0,124708.171875
5115.0,125000.15625
5270.0,145208.8125
5425.0,167609.421875
5580.0,128072.5
5735.0,124734.2578125
5890.0,124796.765625
6045.0,124866.21875
6200.0,125843.3515625
6355.0,132355.765625
6510.0,155661.125
6665.0,169408.265625
6820.0,132435.78125
6975.0,125030.484375
7130.0,124558.0546875
7285.0,125103.5234375
7440.0,126746.1640625
7595.0,136288.28125
7750.0,158168.8125
7905.0,167122.03125
8060.0,133551.359375
8215.0,127016.734375
8370.0,128317.3515625
8525.0,134900.203125
8680.0,145495.78125
8835.0,158965.90625
8990.0,168021.15625
9145.0,146635.578125
9300.0,128037.296875
9455.0,129398.5703125
9610.0,134728.59375
9765.0,146773.890625
9920.0,159310.921875
10075.0,170375.125
10230.0,144016.9375
10385.0,125141.09375
10540.0,123686.09375
10695.0,125530.375
10850.0,135214.328125
11005.0,152212.484375
11160.0,167509.015625
11315.0,169059.84375
11470.0,129442.1875
11625.0,124744.703125
11780.0,127892.65625
11935.0,130140.375
12090.0,132096.453125
12245.0,138192.0625
12400.0,160242.015625
12555.0,179460.5625
12710.0,187861.71875
12865.0,138516.859375
13020.0,126464.078125
13175.0,124497.296875
13330.0,124875.984375
13485.0,125246.53125
13640.0,125486.1015625
13795.0,126307.5859375
13950.0,126406.0078125
14105.0,126516.6328125
14260.0,126414.2890625
14415.0,126476.8984375
14570.0,126483.8671875
14725.0,126399.390625
14880.0,126329.0859375
15035.0,126561.5625
15190.0,126699.2265625
15345.0,127328.1875
15500.0,149663.59375
15655.0,174777.15625
15810.0,170059.28125
15965.0,127056.09375
16120.0,125227.5859375
16275.0,125180.9375
16430.0,125467.4140625
16585.0,125580.6953125
16740.0,125741.328125
16895.0,125600.421875
17050.0,125830.09375
17205.0,125934.1328125
17360.0,124363.421875
17515.0,123250.609375
17670.0,123323.1875
17825.0,123318.71875
17980.0,123194.5625
18135.0,123125.578125
18290.0,123138.0
18445.0,123241.4609375
