time (ms),pressure (kPa)
60.87,98.66356
61.184,98.65993
61.498,98.67324
61.812,98.67555
62.129,98.6452
62.442,98.66073
62.756,98.6777
63.07,98.64345
63.388,98.65946
63.701,98.68451
64.015,98.68122
64.329,98.68108
64.647,98.67705
64.96,98.67058
65.273,98.66334
65.587,98.66955
65.904,98.6807
66.218,98.66709
66.532,98.66929
68.104,98.66206
68.422,98.67336
68.735,98.67813
69.049,98.71243
69.363,98.6787
69.681,98.6788
69.995,98.67665
70.308,98.67028
70.622,98.66055
70.94,98.66719
71.253,98.65588
71.567,98.67019
71.881,98.67166
72.198,98.66495
72.511,98.6692
72.825,98.66502
73.139,98.66909
73.457,98.66584
73.77,98.65916
74.084,98.66466
74.398,98.68898
74.727,98.66766
75.04,98.65816
75.354,98.67273
75.668,98.65989
75.986,98.66356
76.299,98.65729
76.613,98.64827
76.927,98.60197
77.245,98.65966
77.558,98.66936
77.871,98.67846
78.184,98.67402
78.497,98.67659
78.811,98.66938
79.125,98.66002
79.439,98.63756
79.757,98.64608
80.07,98.66098
80.384,98.68391
80.697,98.67484
81.01,98.66884
81.327,98.67877
81.64,98.66101
81.954,98.66117
82.267,98.65849
82.584,98.65624
82.897,98.64957
83.21,98.66604
83.524,98.66862
83.842,98.67229
84.156,98.66203
84.47,98.66703
84.784,98.66715
85.102,98.66722
85.415,98.66177
85.728,98.66363
86.042,98.65519
86.36,98.68387
86.673,98.66584
86.987,98.67413
87.3,98.66226
87.636,98.67073
87.949,98.66414
88.262,98.66783
88.576,98.65341
88.893,98.63539
89.206,98.65249
89.52,98.6712
89.834,98.6636
90.152,98.6828
90.466,98.67051
90.78,98.66936
91.094,98.65908
91.412,98.67248
91.726,98.65147
92.04,98.65642
92.354,98.6617
92.672,98.67407
92.986,98.6668
93.3,98.6712
93.614,98.65119
93.932,98.6588
94.246,98.65779
94.56,98.64438
94.874,98.65131
95.192,98.65944
95.505,98.67108
95.819,98.67094
96.133,98.66059
96.451,98.66414
96.764,98.66571
97.078,98.64724
97.392,98.65861
97.709,98.64913
98.023,98.66455
98.337,98.66671
98.651,98.6597
98.969,98.6619
99.283,98.66558
99.597,98.65119
99.911,98.65359
100.229,98.65989
100.544,98.65966
100.858,98.6662
101.172,98.65999
101.49,98.66028
101.804,98.64386
102.118,98.63719
102.432,98.66161
102.75,98.66759
103.064,98.64027
