time (ms),pressure (Pa)
0,98662.53
314,98663.86
628,98639.69
942,98660.69
1260,98657.68
1574,98662.93
1888,98668.41
2202,98622.98
2520,98658.13
2834,98665.05
3148,98661.46
3462,98602.68
3780,98621.19
4094,98661.05
4408,98667.03
4722,98659.91
5040,98665.58
5354,98646.66
5668,98564.03
6300,107484.18
6614,107221.43
6928,103897.7
7242,98664.39
7560,98660.73
7874,98664.43
8188,98644.7
8503,98642.23
8821,98652.47
9135,98666.6
9449,98670.48
9763,98654.27
10081,98668.41
10395,98674.12
10709,98657.0
11023,98649.84
11341,98594.84
11655,98648.37
11969,98656.14
12283,98674.13
12601,98670.55
12915,98663.98
13229,98658.97
13543,98650.23
13861,98657.06
14175,98651.77
14489,98646.6
14803,98652.43
15121,98664.3
15435,98657.06
15749,98669.87
16063,98666.8
16381,98659.8
16695,98660.98
17009,98662.15
17323,98641.73
17641,98653.09
17955,98663.84
18269,98669.11
18583,98663.18
18901,98664.14
19215,98660.75
19529,98657.55
19843,98655.66
20161,98652.72
20475,98651.53
20789,98653.0
21103,98663.75
21421,98663.22
21735,98662.95
22049,98656.27
22363,98644.07
22681,98656.74
22995,98654.92
23309,98647.2
23623,98655.63
23941,98664.89
24255,98655.82
24569,98656.5
24883,98663.81
25201,98663.54
25516,98662.36
25830,98648.12
26144,98649.11
26462,98660.66
26776,98654.38
27090,98663.88
27404,98665.71
27722,98662.99
28036,98651.8
28350,98655.38
28664,98663.18
28982,98664.39
29296,98655.19
29610,98654.51
-172730,98664.02
30253,98668.86
30567,98659.99
30881,98662.73
31195,98648.29
31513,98654.07
31827,98634.16
32141,98652.92
32455,98654.66
32784,98663.54
33098,98664.24
33412,98665.21
33726,98664.66
34044,98657.16
34358,98648.43
34672,98650.19
34987,98653.61
35305,98663.93
35619,98658.73
35933,98659.09
36247,98664.18
36565,98655.71
36879,98646.55
37193,98658.84
37507,98651.98
37825,98654.89
38139,98666.22
38453,98663.52
38767,98665.55
39085,98653.0
39398,98634.02
39712,98982.29
40026,99747.85
40344,99712.56
40658,99777.43
40972,100572.54
41286,100577.52
41604,101817.31
41918,105388.75
42232,107317.7
42546,102514.59
42864,101942.37
43178,98659.89
43492,98649.98
43810,98638.13
44122,98645.63
44436,98655.98
44750,98943.4
45068,99443.84
45380,100779.16
45694,109903.49
46008,109115.93
46327,107474.05
46641,101790.36
46955,98643.77
47269,98665.05
47587,98650.27
