time (ms),pressure (Pa)
0,98670.34
313,98671.01
627,98661.67
941,98672.2
1259,98649.2
1573,98648.45
1887,98662.45
2201,98659.8
2519,98667.46
2833,98655.76
3147,98667.27
3461,98662.48
3779,98660.46
4093,98646.83
4721,107621.05
5039,109752.55
5353,109140.66
5667,106604.9
5981,103052.88
6299,98664.95
6613,98661.17
6927,98632.08
7241,98635.74
7559,98661.23
7873,98674.48
8187,98671.2
8501,98679.75
8819,98668.13
9133,98654.93
9447,98648.7
9761,98648.2
10079,98663.84
10393,98654.09
10707,98658.55
11021,98671.74
11339,98665.42
11653,98671.1
11967,98652.31
12281,98652.65
12599,98670.13
12913,98673.24
13227,98662.34
13541,98667.16
13860,98670.29
14174,98667.85
14488,98646.09
14802,98607.06
15120,98786.26
15434,98713.45
15748,98700.44
16062,98667.38
16380,98674.09
16694,98659.87
17008,98655.51
17322,98667.79
17640,98674.41
17954,98676.53
18268,98675.34
18582,98671.66
18900,98661.01
19214,98665.84
19528,98646.05
19842,98641.05
20160,98666.41
20474,98662.9
20788,98659.7
21102,98669.5
21420,98675.78
21734,98659.41
22048,98673.02
22362,98662.86
22680,98675.62
22994,98664.82
23308,98615.75
23622,98622.77
23940,98648.31
24254,98667.92
24568,98663.19
24882,98657.38
25200,98659.16
25514,98658.48
25828,98662.81
26142,98668.34
26460,98673.88
26774,98663.81
27088,98674.71
27402,98670.84
27720,98661.9
28034,98652.08
28348,98660.39
28662,98677.19
28980,98664.95
29294,98674.55
29608,98668.91
-246328,98664.86
30252,98670.82
30566,98657.36
30880,98670.82
31194,98667.22
31512,98674.71
31826,98660.43
32140,98667.63
32454,98656.14
32772,98671.14
33086,98655.92
33400,98656.3
33714,98669.32
34032,98655.71
34346,98667.19
34660,98663.56
34974,98659.53
35292,98666.38
35606,98670.82
35920,98668.2
36234,98652.49
36552,98668.21
36866,98643.17
37180,98625.25
37494,98644.32
37812,98664.27
38126,98670.82
38440,98661.16
38754,98669.5
39072,98661.65
39386,98666.33
39700,98648.31
40014,98641.41
40331,98655.41
40645,98661.41
40959,99197.6
41273,99472.81
41591,99713.95
41905,99687.85
42219,99764.91
42533,102452.38
42851,105480.3
43165,105318.78
43479,103415.22
43793,100820.89
44111,102347.55
44425,102957.68
44739,104437.57
45057,103307.59
45371,98655.34
45685,98663.34
45999,98650.85
46317,98647.2
46631,98644.38
46945,98694.95
47259,98911.73
47578,98686.5
47892,102543.43
48206,103990.66
48520,98603.02
48834,98673.38
49148,102317.75
49462,102711.32
49776,102435.6
50094,101406.13
50408,98672.09
50722,98654.66
51036,98641.22
51354,98672.28
51668,98642.23
51982,98665.48
52296,98668.59
52614,98667.67
