time(s),pressure (kPa)
446.374,99.51814
446.688,99.51095
447.002,99.47559
447.32,101.31305
447.634,103.49872
447.948,102.88644
448.262,105.33755
448.58,107.67274
448.894,103.01948
449.208,105.27447
449.526,103.50983
449.838,99.45318
450.152,101.86065
450.466,99.50706
450.784,102.47438
451.097,99.50359
451.411,100.43426
451.725,100.22391
452.043,108.94833
452.357,105.67305
452.671,100.2519
452.985,100.63786
453.303,99.4808
453.616,99.48605
453.93,99.58831
454.244,99.71675
454.569,99.49553
454.882,99.50898
455.196,100.32507
455.51,99.50756
455.828,99.51084
456.142,101.13542
456.456,99.74634
456.77,99.5119
457.088,99.5387
457.402,99.51679
457.716,99.49993
458.03,99.51153
458.37,99.52688
458.684,99.51098
