time(s),pressure (kPa)
655.158,99.55749
655.472,99.512
655.786,99.52841
656.104,99.48516
656.418,99.5142
656.732,99.52058
657.046,99.52134
657.364,99.514
657.677,99.52087
657.991,99.50783
658.305,99.52113
658.622,99.5113
658.935,99.51523
659.249,99.5077
659.563,99.49066
659.887,99.50809
660.2,99.5127
660.514,99.52451
660.828,99.52313
661.146,99.44149
661.459,99.45859
661.773,99.63509
662.087,99.52309
662.405,99.51491
662.719,99.51188
663.033,99.54274
663.347,99.44648
663.664,99.52309
663.977,99.5647
664.291,99.53654
664.604,99.55476
664.921,99.42584
665.234,99.51225
665.548,99.51843
665.862,99.50847
666.179,99.50485
666.492,99.51381
666.806,99.50966
667.12,99.50528
667.438,99.5125
667.751,99.51446
668.065,99.51663
668.379,99.5182
668.696,99.52217
669.009,99.50698
669.323,99.52391
669.637,99.48802
669.961,99.48106
670.274,99.51046
670.588,99.51866
670.902,99.51792
671.219,99.51964
671.532,99.51798
671.846,99.52136
672.16,99.51114
672.478,99.51286
672.791,99.48314
673.104,99.5506
673.417,99.56747
673.734,99.54919
674.047,99.533
674.361,99.59053
674.675,99.5024
674.992,99.65267
675.305,99.51873
675.619,99.35425
675.933,99.5115
676.25,99.5132
676.563,99.50887
676.877,99.57109
677.191,99.52409
677.509,99.51117
677.822,99.51733
678.135,99.51683
678.448,99.51355
678.765,99.40321
679.078,99.4797
679.391,99.50217
679.704,99.52538
680.028,99.51749
680.341,99.51898
680.654,99.51943
680.968,99.51466
681.285,99.52087
681.599,99.51709
681.913,99.52044
682.227,99.52026
682.545,99.51752
682.858,99.51852
683.172,99.51058
683.486,99.474
683.804,100.24468
684.118,102.15341
684.432,103.02938
684.746,104.2289
685.064,104.02158
685.377,103.26159
685.691,102.13917
686.009,102.57051
686.322,102.35076
686.636,99.44316
686.95,99.50873
687.268,99.51971
687.581,99.49723
687.895,99.51916
688.209,101.46434
688.523,109.00949
688.837,109.51709
689.151,102.53044
689.465,106.65127
689.79,107.00889
690.103,106.38399
690.417,103.63579
690.731,104.0473
691.049,99.533
691.362,101.65391
691.676,103.48149
691.99,99.49315
692.308,99.49013
692.621,99.50302
692.935,99.51645
693.249,99.5166
693.567,99.50845
693.88,99.50557
