Test10.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
494743  00302.98, 00523.19, 00922.85, 00014.26,-00005.77, 00001.97, 00000.00, 00000.00, 00000.00, 00033.83,99504.51,14.43,0.98
495056  00119.63, 00592.29, 00828.61, 00004.81,-00016.89,-00005.73, 00000.00, 00000.00, 00000.00, 00033.83,99515.64,14.43,0.98
495370  00516.36, 00656.25, 00689.94, 00066.10,-00075.18, 00028.73, 00000.00, 00000.00, 00000.00, 00034.02,99520.25,14.43,0.98
495684  00413.82, 00656.25, 00480.47, 00026.02, 00025.76, 00007.52, 00000.00, 00000.00, 00000.00, 00034.02,99521.59,14.43,0.98
496002  00550.29, 00755.62, 00596.44, 00055.56, 00019.29, 00040.30, 00000.00, 00000.00, 00000.00, 00034.12,99505.52,14.43,0.98
496316  00550.29, 00796.14, 00106.93, 00031.46,-00048.00, 00014.94, 00000.00, 00000.00, 00000.00, 00033.97,99485.00,14.43,0.98
496630  00615.23, 01057.62, 00141.60, 00027.04, 00007.08, 00012.92, 00000.00, 00000.00, 00000.00, 00034.21,99500.53,14.43,0.98
496944  00272.22, 00987.55,-00201.90,-00047.72, 00037.69,-00007.89, 00000.00, 00000.00, 00000.00, 00034.02,99514.95,14.43,0.98
497262  00466.55, 00966.80,-00092.04,-00000.82,-00004.98,-00000.08, 00000.00, 00000.00, 00000.00, 00033.97,99521.79,14.44,0.98
497576  00442.63, 00899.41,-00018.80,-00004.76,-00001.08,-00006.40, 00000.00, 00000.00, 00000.00, 00034.12,99518.61,14.44,0.98
497890  00435.06, 00935.30,-00042.48,-00006.18, 00003.24,-00001.90, 00000.00, 00000.00, 00000.00, 00033.88,99508.22,14.43,0.98
498204  00402.34, 00892.09,-00048.58,-00000.45, 00004.69,-00003.66, 00000.00, 00000.00, 00000.00, 00034.02,99499.71,14.43,0.98
498522  00397.46, 00872.80,-00045.90,-00001.53, 00008.40,-00005.44, 00000.00, 00000.00, 00000.00, 00033.88,99512.77,14.43,0.98
498836  00372.31, 00911.13,-00007.81,-00002.21, 00001.08,-00001.50, 00000.00, 00000.00, 00000.00, 00033.97,99513.34,14.43,0.98
499150  00343.02, 00915.28,-00001.22,-00006.53, 00001.97, 00001.36, 00000.00, 00000.00, 00000.00, 00033.83,99518.27,14.43,0.98
499464  00357.42, 00902.34, 00011.72,-00000.92, 00001.69,-00002.00, 00000.00, 00000.00, 00000.00, 00033.83,99559.85,14.45,0.98
499782  00074.71, 00880.13,-00050.54,-00127.50, 00063.60,-00024.77, 00000.00, 00000.00, 00000.00, 00034.02,99437.59,14.42,0.98
500096  00336.67, 00519.29, 00121.09, 00054.20, 00006.09,-00014.57, 00000.00, 00000.00, 00000.00, 00033.83,99522.45,14.44,0.98
500410  00534.18, 00804.69, 00309.33,-00016.60,-00016.55, 00000.35, 00000.00, 00000.00, 00000.00, 00034.02,102166.85,14.87,1.02
500724  00491.94, 00814.45, 00130.62, 00004.29,-00005.54, 00018.56, 00000.00, 00000.00, 00000.00, 00034.02,108105.91,15.68,1.07
501042  00452.15, 00761.47, 00042.48, 00036.50,-00010.34,-00025.82, 00000.00, 00000.00, 00000.00, 00034.16,99513.66,14.43,0.98
501356  00402.34, 00955.81, 00017.82, 00011.33, 00008.62, 00006.23, 00000.00, 00000.00, 00000.00, 00034.02,99510.48,14.43,0.98
501670  00416.50, 00935.55, 00001.46,-00005.39, 00002.09,-00004.03, 00000.00, 00000.00, 00000.00, 00033.59,99499.30,14.43,0.98
501984  00352.05, 00863.77, 00002.69,-00012.48, 00005.25,-00008.58, 00000.00, 00000.00, 00000.00, 00033.68,99522.13,14.43,0.98
502302  00413.82, 00866.21, 00048.58, 00000.71,-00002.40,-00008.66, 00000.00, 00000.00, 00000.00, 00033.97,99563.16,14.44,0.98
502616  00466.80, 00880.37, 00091.31, 00003.08,-00001.41, 00003.56, 00000.00, 00000.00, 00000.00, 00033.78,99516.70,14.43,0.98
502930  00435.55, 00903.08, 00089.36, 00000.60,-00004.27, 00000.79, 00000.00, 00000.00, 00000.00, 00033.97,99536.00,14.44,0.98
503244  00437.01, 00883.06, 00106.20,-00028.60, 00004.75,-00005.68, 00000.00, 00000.00, 00000.00, 00033.88,99591.80,14.45,0.98
503562  00367.68, 00803.47, 00446.53,-00061.26, 00016.63,-00002.93, 00000.00, 00000.00, 00000.00, 00034.16,99583.23,14.44,0.98
503876  00390.38, 00618.16, 00651.12,-00041.11, 00008.51,-00003.60, 00000.00, 00000.00, 00000.00, 00034.12,99571.90,14.44,0.98
504190  00387.21, 00460.45, 00726.32,-00034.32, 00003.51, 00004.11, 00000.00, 00000.00, 00000.00, 00034.02,99570.75,14.44,0.98
504504  00358.64, 00406.25, 00846.68,-00021.08, 00003.66,-00003.07, 00000.00, 00000.00, 00000.00, 00034.12,99567.89,14.44,0.98
504829  00308.59, 00336.43, 00862.30,-00013.21, 00000.66,-00001.44, 00000.00, 00000.00, 00000.00, 00033.78,99566.45,14.44,0.98
