time(s),pressure (kPa)
195.7359999999,99.51018
196.049,99.505
196.3629999999999,99.5191
196.677,99.50984
196.995,99.50645
197.3089999998999,99.49879
197.623,99.51391
197.937,99.51322
198.255,99.49740999999999
198.569,99.4980199999999
198.883,99.5245
199.1969999999999,99.5322
199.515,99.50946999999991
199.829,99.5083399999999
200.1429999998999,99.48954
200.457,100.46473
200.7749999999999,108.19110999990001
201.0879999998999,106.48817
201.402,105.86323
201.716,99.54647
202.034,99.52938
202.347,99.53142
202.661,99.56816
202.975,99.61032999999999
203.293,99.63249
203.60699999999989,99.66135
203.921,99.65481999999989
204.235,99.65786
204.5529999998999,99.6537
204.867,99.63627
205.181,99.62940999999991
205.495,99.62141
205.821,99.60141999999999
206.1349999998999,99.59192999999999
206.44899999999998,99.59380999999989
206.763,99.50946999999991
207.081,99.51587
207.39499999999998,99.51082
207.709,99.50613
208.0229999999,99.50178
208.341,99.5196399999998
208.655,99.49302999999999
208.9689999998999,99.50557
209.283,99.52994
209.60099999999989,99.51373
209.915,99.51881999999999
210.22899999999998,99.51507
210.5429999999999,99.5190599999998
210.8609999999,99.51507
211.175,99.52438
211.489,99.5223299999999
211.803,99.5056699999998
212.121,99.4957599999999
212.4349999999999,99.51680999999999
212.749,99.52206
213.0629999999,99.52498
213.3809999998999,99.51837999999991
213.694,99.51945999999991
214.0079999999999,99.5156099999998
214.322,99.51625999999999
214.651,99.51462
214.9649999998999,99.50771999999999
215.279,99.50681
215.5929999999,99.52603
215.91699999989999,99.51968
216.231,99.51374
216.54499999989991,99.51702
216.859,99.52277
217.1769999999,99.51327
217.4899999998999,99.51391
217.804,99.49198
218.118,99.49627
218.43599999999998,99.5245
218.75,99.53336
219.0639999999,99.52361
219.378,99.5234099999999
219.696,99.52458999999999
220.0099999999,99.51128
220.3239999999,99.50913
220.638,99.4922
220.9559999999,99.51433
221.26999999999998,99.51565
221.584,99.53058
221.8979999999,99.52551
222.216,99.52265
222.53,99.51482
222.8439999998999,99.51512
223.158,99.51603
223.476,99.49104
223.78899999989991,99.50744999999999
224.103,99.52383999999991
224.417,99.52587
224.73499999999999,99.52316
225.048,99.5187
225.362,99.51138
225.67599999989991,99.50756
225.9999999999999,99.51152999999991
226.3129999998999,99.49783999999991
226.62699999999998,99.49704
226.941,99.5172
227.259,99.52041
227.5729999999,99.52951
227.887,99.5134999999999
228.2009999998999,99.51466
228.519,99.4971299999999
228.833,99.4703899999999
229.147,100.71455
229.46099999999998,102.87115
229.7789999999,103.08528
230.0929999999,103.5644599999
230.407,103.76038
230.721,104.40174
231.039,103.8207199999
231.353,102.8146299999
231.6669999999999,105.44286999990001
231.98499999999999,105.9625199999999
232.299,108.91059
232.6129999999,109.71192
232.927,107.40286999989999
233.241,102.0928
233.555,107.9182099999999
233.869,108.4703199999
234.183,106.11002
234.50099999999998,100.11943
234.815,103.04302
235.1289999999,103.56092
235.443,102.68081999990001
235.768,101.51582999989999
236.0819999998999,99.47578999999999
236.396,99.47293
236.71,99.47729
237.028,99.51791999999999
237.34199999999998,99.53077
237.6559999999999,99.53296999999999
237.97,99.52247
238.288,99.51192
238.602,99.51309
238.916,99.50076
239.23,99.48248
239.5479999999999,99.5057999999999
