time(s),pressure (kPa)
158.435,99.50475
158.749,99.50152
159.063,99.49917
159.381,99.97049
159.695,99.49102
160.009,99.59869
160.323,100.92432
160.641,100.02784
160.955,100.76236
161.269,100.2864
161.583,99.49261
161.901,99.50147
162.215,100.22171
162.529,99.50542
162.844,100.17262
163.162,99.48245
163.476,99.5733
163.79,99.50111
164.108,99.95426
164.42,99.97221
164.734,99.99919
165.048,99.50067
165.366,100.17216
165.686,99.49464
166.0,100.26782
166.314,99.86359
166.632,99.50404
166.946,99.93384
167.26,99.50745
167.574,100.51571
167.892,99.50314
168.206,100.94725
168.52,100.70229
168.834,100.71042
169.148,99.98906
169.462,100.85767
169.776,100.80222
170.09,99.93434
170.408,99.49591
170.722,99.57033
171.036,99.49451
171.35,99.50972
171.668,99.9914
171.982,99.5119
172.296,99.60823
172.61,100.48369
172.928,99.48293
173.242,100.9348
173.556,99.51245
173.87,100.3719
174.188,99.88495
174.502,99.50729
174.816,99.50889
175.13,99.49505
175.455,99.50204
