time(s),pressure (kPa)
435.228,99.47733
435.546,99.52048
435.86,99.50738
436.174,99.50653
436.488,99.48987
436.806,99.49733
437.12,99.51185
437.434,99.51166
437.748,99.50237
438.067,99.50028
438.381,99.51686
438.694,99.50418
439.008,99.50112
439.327,99.5106
439.641,99.50146
439.954,99.51535
440.268,99.50105
440.586,99.50573
440.901,99.50324
441.215,99.50361
441.529,99.49873
441.854,99.50046
442.168,99.49303
442.481,99.50184
442.796,99.50542
443.113,99.48688
443.428,99.51577
443.742,99.50755
444.056,99.49844
444.374,99.50156
444.687,99.50354
445.001,99.50671
445.316,99.50739
445.634,99.49306
445.948,99.49816
446.262,99.49441
446.576,99.48438
446.894,99.50818
447.208,99.4946
447.521,99.50841
447.836,99.51179
448.154,99.50595
448.468,99.50445
448.782,99.49522
449.095,99.50331
449.425,99.5066
449.739,99.5051
450.052,99.50045
450.366,99.49359
450.685,99.4988
450.999,99.49366
451.313,99.51495
451.626,99.50111
451.951,99.50451
452.266,99.50653
452.58,99.49891
452.893,99.50249
453.211,99.50416
453.526,99.49369
453.84,99.50614
454.153,99.50087
454.471,99.50627
454.786,99.48816
455.099,99.50735
455.413,99.50171
455.731,99.48688
456.045,99.50279
456.359,99.50117
456.674,99.49996
456.991,99.5064
457.306,99.49162
457.62,99.4906
457.933,99.50745
458.252,99.51231
458.566,99.48898
458.88,99.4943
459.194,99.49635
459.512,99.50404
459.825,99.49293
460.14,99.50201
460.454,99.50542
460.772,99.49841
461.085,99.50147
461.399,99.50242
461.713,99.5088
462.038,99.49921
462.352,99.49963
462.666,99.50302
462.981,99.49489
463.298,99.5041
463.612,99.49861
463.926,99.49969
464.24,99.50677
464.558,99.49441
464.873,99.50076
465.187,99.48168
465.5,99.50478
465.819,99.50115
466.133,99.47488
466.447,99.49273
466.761,99.48628
467.079,99.49325
467.393,99.4943
467.706,99.48786
468.021,99.50318
468.339,99.50283
468.653,99.50108
468.967,99.50009
469.281,99.5014
469.599,99.50262
469.913,99.49269
470.227,99.48018
470.541,99.49248
470.859,100.33805
471.173,99.64614
471.487,99.48421
471.8,101.1038
472.126,99.46902
472.44,99.87295
472.754,99.91782
473.067,99.45065
473.386,99.83215
473.699,99.92184
474.014,99.77856
474.328,100.00301
474.646,99.86496
474.96,100.6177
475.274,99.50984
475.587,100.96597
475.906,100.21927
476.219,99.4664
476.534,99.50203
476.847,99.51975
477.165,100.98599
477.48,99.47819
477.794,101.96717
478.111,99.51713
478.423,101.68647
478.738,99.51884
479.052,100.03448
479.37,100.90841
479.684,99.50166
479.998,100.46318
480.312,100.20745
480.63,99.49925
480.943,100.86605
481.257,99.49183
481.572,100.81191
481.891,100.45253
482.206,100.20055
482.52,99.63564
482.833,99.78127
483.151,100.1473
483.466,101.28944
483.78,101.0358
484.093,100.33348
484.412,99.90852
484.725,99.7363
485.04,100.60085
485.354,100.64648
485.672,100.60245
485.986,100.5525
486.3,100.61137
486.614,100.23048
486.932,100.30788
487.246,100.55912
487.56,100.38677
487.874,100.26813
488.192,99.64048
488.506,101.0932
488.82,103.73013
489.134,103.65344
489.452,101.12047
489.766,99.5127
490.08,103.89247
490.394,99.48863
490.712,101.17174
491.026,99.66685
491.34,99.4857
491.654,100.85049
491.979,99.49576
492.293,99.49987
492.607,99.49363
