Test5.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
549608  00284.18, 00081.54, 00931.64,-00012.30,-00020.07, 00006.83, 00000.00, 00000.00, 00000.00, 00033.83,99506.52,14.43,0.98
549923  00337.40, 00105.96, 00871.09, 00004.69, 00006.76,-00000.11, 00000.00, 00000.00, 00000.00, 00033.83,99472.28,14.43,0.98
550237  00421.87, 00085.45, 00957.28,-00016.04, 00008.35,-00004.72, 00000.00, 00000.00, 00000.00, 00033.97,99467.11,14.43,0.98
550551  00305.42, 00060.55, 00906.25,-00006.92, 00012.57,-00003.47, 00000.00, 00000.00, 00000.00, 00033.64,99505.66,14.43,0.98
550869  00226.32, 00021.00, 00951.66, 00006.15, 00010.66,-00005.64, 00000.00, 00000.00, 00000.00, 00033.88,99495.73,14.43,0.98
551182  00148.19,-00067.38, 00828.12, 00121.31, 00028.67, 00005.43, 00000.00, 00000.00, 00000.00, 00033.78,99482.86,14.43,0.98
551496  00192.63,-00113.28, 00944.34, 00020.55, 00018.56, 00002.35, 00000.00, 00000.00, 00000.00, 00033.83,99471.68,14.43,0.98
551811  00177.98,-00058.11, 00949.95,-00003.86, 00013.07,-00001.50, 00000.00, 00000.00, 00000.00, 00033.59,104452.38,15.18,1.03
552129  00197.02,-00097.17, 00967.53,-00008.63,-00000.85,-00013.24, 00000.00, 00000.00, 00000.00, 00034.02,104983.26,15.22,1.04
552443  00151.61,-00118.41, 00917.48,-00005.34,-00003.76, 00004.42, 00000.00, 00000.00, 00000.00, 00034.02,99445.25,14.43,0.98
552757  00195.80,-00129.88, 00995.85, 00008.34,-00007.40,-00004.50, 00000.00, 00000.00, 00000.00, 00033.83,99468.88,14.43,0.98
553071  00179.44,-00170.65, 00922.12,-00007.76, 00007.10,-00000.03, 00000.00, 00000.00, 00000.00, 00033.68,99462.42,14.43,0.98
553389  00136.23,-00209.72, 00964.11,-00009.85, 00003.63, 00001.69, 00000.00, 00000.00, 00000.00, 00033.68,99491.02,14.43,0.98
553702  00177.98,-00358.40, 00910.89,-00030.44, 00002.06, 00000.78, 00000.00, 00000.00, 00000.00, 00033.68,99490.44,14.43,0.98
554017  00221.19,-00463.87, 00882.57, 00003.45,-00004.79,-00000.15, 00000.00, 00000.00, 00000.00, 00033.64,99492.63,14.43,0.98
554330  00215.82,-00208.50, 00974.85, 00041.98,-00000.98,-00005.66, 00000.00, 00000.00, 00000.00, 00033.68,99512.92,14.43,0.98
554648  00185.06, 00233.64, 00883.79, 00066.84, 00005.62,-00008.89, 00000.00, 00000.00, 00000.00, 00033.49,99494.39,14.43,0.98
554962  00159.18, 00375.73, 00958.50,-00002.40,-00010.06, 00002.98, 00000.00, 00000.00, 00000.00, 00033.49,99482.48,14.43,0.98
555276  00200.68, 00333.01, 00871.58,-00012.79,-00007.23, 00002.22, 00000.00, 00000.00, 00000.00, 00033.68,99492.54,14.43,0.98
555591  00170.41, 00334.72, 00842.29, 00005.24, 00006.17,-00002.18, 00000.00, 00000.00, 00000.00, 00033.59,99501.58,14.43,0.98
555908  00200.93, 00350.10, 00943.85, 00000.60,-00002.28, 00001.10, 00000.00, 00000.00, 00000.00, 00033.68,99508.80,14.43,0.98
556223  00181.64, 00340.33, 00906.74,-00005.68, 00001.48,-00001.20, 00000.00, 00000.00, 00000.00, 00033.78,99499.63,14.43,0.98
556537  00220.21, 00331.79, 00877.44, 00001.57, 00000.85, 00000.60, 00000.00, 00000.00, 00000.00, 00033.59,99490.65,14.43,0.98
556851  00198.97, 00340.58, 00946.04,-00001.33,-00001.11, 00001.15, 00000.00, 00000.00, 00000.00, 00033.88,99473.01,14.43,0.98
557169  00206.54, 00314.21, 00901.86,-00004.98,-00001.77, 00004.89, 00000.00, 00000.00, 00000.00, 00033.44,99484.71,14.43,0.98
557482  00202.64, 00319.09, 00925.78,-00047.63, 00004.05, 00008.51, 00000.00, 00000.00, 00000.00, 00033.68,99479.62,14.43,0.98
557797  00156.25,-00241.70, 00943.12,-00090.00,-00003.09, 00002.56, 00000.00, 00000.00, 00000.00, 00033.97,99491.30,14.43,0.98
558110  00179.44,-00582.03, 00728.76,-00031.39,-00004.95,-00004.47, 00000.00, 00000.00, 00000.00, 00033.35,99494.89,14.43,0.98
558428  00175.29,-00672.12, 00700.93, 00003.15, 00001.69,-00007.52, 00000.00, 00000.00, 00000.00, 00033.68,99490.99,14.43,0.98
558743  00198.24,-00725.83, 00726.07,-00004.90, 00000.16, 00000.24, 00000.00, 00000.00, 00000.00, 00033.83,99492.33,14.43,0.98
559057  00155.03,-00707.76, 00700.68,-00004.55,-00003.47,-00006.73, 00000.00, 00000.00, 00000.00, 00033.83,99463.30,14.43,0.98
559371  00190.19,-00658.45, 00682.86, 00001.98, 00004.30,-00000.14, 00000.00, 00000.00, 00000.00, 00033.88,99492.08,14.43,0.98
559697  00192.38,-00680.66, 00755.37, 00013.28,-00000.96,-00001.29, 00000.00, 00000.00, 00000.00, 00033.68,99486.98,14.43,0.98
560012  00215.33,-00634.28, 00835.94, 00073.65,-00016.85,-00016.98, 00000.00, 00000.00, 00000.00, 00033.59,99496.77,14.43,0.98
560325  00204.35,-00095.95, 00917.48, 00110.56, 00007.03,-00008.85, 00000.00, 00000.00, 00000.00, 00033.59,99678.70,14.47,0.99
560640  00177.00, 00328.61, 00905.27, 00002.89, 00003.35, 00001.93, 00000.00, 00000.00, 00000.00, 00033.78,99499.83,14.43,0.98
560958  00182.62, 00379.15, 00934.81,-00009.65,-00004.40, 00006.69, 00000.00, 00000.00, 00000.00, 00033.68,99508.21,14.43,0.98
561272  00178.22, 00325.20, 00878.17, 00003.97, 00002.83, 00001.30, 00000.00, 00000.00, 00000.00, 00033.59,99489.34,14.43,0.98
561586  00196.29, 00328.86, 00903.56, 00000.40, 00001.58,-00003.00, 00000.00, 00000.00, 00000.00, 00033.68,99492.17,14.43,0.98
561900  00192.87, 00336.91, 00931.64,-00002.18, 00000.18,-00000.31, 00000.00, 00000.00, 00000.00, 00033.97,99470.27,14.43,0.98
562218  00213.87, 00305.66, 00912.11,-00007.64, 00004.59,-00001.76, 00000.00, 00000.00, 00000.00, 00033.68,99468.13,14.43,0.98
562531  00181.40, 00317.38, 00906.98,-00017.54, 00007.13, 00002.37, 00000.00, 00000.00, 00000.00, 00033.83,99492.23,14.43,0.98
562845  00192.87, 00036.62, 01004.88,-00050.60, 00005.79, 00005.85, 00000.00, 00000.00, 00000.00, 00033.88,99502.40,14.43,0.98
563159  00168.46,-00238.28, 00967.77,-00058.02,-00000.36, 00007.23, 00000.00, 00000.00, 00000.00, 00033.59,99499.71,14.43,0.98
563478  00163.33,-00500.00, 00812.99,-00038.86,-00005.23,-00002.77, 00000.00, 00000.00, 00000.00, 00033.59,99499.75,14.43,0.98
563791  00177.00,-00667.72, 00759.03,-00025.40,-00001.51,-00001.49, 00000.00, 00000.00, 00000.00, 00033.68,99496.17,14.43,0.98
564106  00163.09,-00712.65, 00629.15,-00006.24,-00000.45, 00000.76, 00000.00, 00000.00, 00000.00, 00033.59,99494.64,14.43,0.98
564420  00155.27,-00735.60, 00629.64, 00005.95, 00001.42,-00002.81, 00000.00, 00000.00, 00000.00, 00033.78,99491.19,14.43,0.98
564738  00200.68,-00708.98, 00667.24, 00007.32, 00001.95, 00003.07, 00000.00, 00000.00, 00000.00, 00033.49,99487.06,14.43,0.98
565052  00189.70,-00701.90, 00655.52, 00005.05,-00000.14,-00003.50, 00000.00, 00000.00, 00000.00, 00033.78,99484.11,14.43,0.98
565365  00178.96,-00689.94, 00697.02, 00033.21, 00000.89,-00002.86, 00000.00, 00000.00, 00000.00, 00033.88,99486.74,14.43,0.98
565679  00236.33,-00264.40, 00938.72, 00138.74, 00014.95,-00009.89, 00000.00, 00000.00, 00000.00, 00033.78,99489.48,14.43,0.98
565997  00161.13, 00311.52, 00935.06, 00054.38, 00006.70,-00000.22, 00000.00, 00000.00, 00000.00, 00033.83,99501.79,14.43,0.98
566311  00193.12, 00386.47, 00920.65, 00011.59, 00005.15, 00000.73, 00000.00, 00000.00, 00000.00, 00033.64,99494.98,14.43,0.98
566625  00184.57, 00379.88, 00882.08,-00011.82, 00001.37, 00000.06, 00000.00, 00000.00, 00000.00, 00033.83,99479.69,14.43,0.98
566940  00195.80, 00385.25, 00918.46,-00006.34,-00001.86, 00002.73, 00000.00, 00000.00, 00000.00, 00033.68,99500.94,14.43,0.98
567258  00196.29, 00339.60, 00868.90,-00005.88,-00002.79, 00001.71, 00000.00, 00000.00, 00000.00, 00033.78,99497.30,14.43,0.98
567572  00213.13, 00357.67, 00933.59,-00003.73,-00002.98, 00001.01, 00000.00, 00000.00, 00000.00, 00033.78,99476.33,14.43,0.98
567886  00179.44, 00309.33, 00890.14,-00002.16,-00000.98,-00000.96, 00000.00, 00000.00, 00000.00, 00033.49,99484.14,14.43,0.98
568200  00204.35, 00311.77, 00952.88,-00025.97, 00001.75,-00000.98, 00000.00, 00000.00, 00000.00, 00033.83,99489.64,14.43,0.98
568518  00183.59, 00009.77, 00932.86,-00083.60, 00003.21, 00006.70, 00000.00, 00000.00, 00000.00, 00033.78,99490.89,14.43,0.98
568831  00204.35,-00424.07, 00920.17,-00085.90,-00004.67,-00001.44, 00000.00, 00000.00, 00000.00, 00033.35,99498.73,14.43,0.98
569146  00205.57,-00713.62, 00654.05,-00048.83, 00002.55, 00001.43, 00000.00, 00000.00, 00000.00, 00033.64,99506.43,14.43,0.98
569459  00240.97,-00842.77, 00534.91,-00010.03, 00000.63,-00007.15, 00000.00, 00000.00, 00000.00, 00033.64,99491.66,14.43,0.98
569785  00211.18,-00818.12, 00513.92, 00007.71,-00000.24, 00000.95, 00000.00, 00000.00, 00000.00, 00033.78,99496.68,14.43,0.98
570099  00197.75,-00793.46, 00554.69, 00003.23,-00005.31,-00001.21, 00000.00, 00000.00, 00000.00, 00033.83,99481.21,14.43,0.98
570413  00218.26,-00664.55, 00688.48, 00050.56,-00002.82, 00000.74, 00000.00, 00000.00, 00000.00, 00033.83,99492.86,14.43,0.98
570726  00239.75,-00309.81, 00913.57, 00113.92, 00006.97,-00005.14, 00000.00, 00000.00, 00000.00, 00033.83,99504.30,14.43,0.98
571044  00219.73, 00328.86, 00935.30, 00101.90, 00002.65,-00007.43, 00000.00, 00000.00, 00000.00, 00033.35,99501.63,14.43,0.98
571359  00189.21, 00406.98, 00844.73,-00009.65,-00005.71, 00006.04, 00000.00, 00000.00, 00000.00, 00033.78,99505.45,14.43,0.98
571673  00227.78, 00478.52, 00862.79,-00002.14,-00001.76,-00003.26, 00000.00, 00000.00, 00000.00, 00033.64,99495.43,14.43,0.98
571987  00173.34, 00405.03, 00832.03,-00006.05, 00000.03, 00000.52, 00000.00, 00000.00, 00000.00, 00033.64,99481.68,14.43,0.98
572305  00204.35, 00413.33, 00881.10,-00003.47,-00005.51,-00001.03, 00000.00, 00000.00, 00000.00, 00033.68,99485.96,14.43,0.98
572619  00230.22, 00386.23, 00871.34,-00001.05, 00000.78, 00000.46, 00000.00, 00000.00, 00000.00, 00033.64,99466.55,14.43,0.98
572933  00218.26, 00386.47, 00922.36,-00001.98,-00000.07, 00003.81, 00000.00, 00000.00, 00000.00, 00033.78,99511.46,14.43,0.98
573247  00193.12, 00362.79, 00861.57,-00007.60, 00003.94, 00002.46, 00000.00, 00000.00, 00000.00, 00033.64,99495.39,14.43,0.98
573564  00216.31, 00139.65, 00986.33,-00061.55, 00000.42, 00004.30, 00000.00, 00000.00, 00000.00, 00033.78,99506.92,14.43,0.98
573878  00229.98,-00440.43, 00884.52,-00096.22,-00004.49, 00006.21, 00000.00, 00000.00, 00000.00, 00033.64,99491.74,14.43,0.98
574193  00211.18,-00806.15, 00620.12,-00034.07,-00007.56,-00012.08, 00000.00, 00000.00, 00000.00, 00033.68,99488.50,14.43,0.98
574507  00200.20,-00787.84, 00595.95,-00001.84,-00003.27,-00006.60, 00000.00, 00000.00, 00000.00, 00033.68,99485.87,14.43,0.98
574825  00183.84,-00786.38, 00565.92,-00003.47,-00002.39,-00004.67, 00000.00, 00000.00, 00000.00, 00033.78,99488.75,14.43,0.98
575139  00212.16,-00820.07, 00611.08,-00002.68,-00005.99,-00003.23, 00000.00, 00000.00, 00000.00, 00033.64,99485.99,14.43,0.98
575453  00187.26,-00758.54, 00570.80, 00002.27,-00001.09,-00002.15, 00000.00, 00000.00, 00000.00, 00033.78,99485.84,14.43,0.98
575767  00211.18,-00787.11, 00630.62, 00004.50, 00002.05, 00001.15, 00000.00, 00000.00, 00000.00, 00033.78,99482.35,14.43,0.98
576085  00174.07,-00740.23, 00569.82, 00002.75, 00003.32, 00005.27, 00000.00, 00000.00, 00000.00, 00033.64,99488.75,14.43,0.98
576398  00205.57,-00888.18, 00643.55, 00002.28,-00000.91,-00002.87, 00000.00, 00000.00, 00000.00, 00033.64,99487.95,14.43,0.98
576713  00200.20,-00749.76, 00618.90, 00002.61,-00003.47,-00001.83, 00000.00, 00000.00, 00000.00, 00033.78,99486.41,14.43,0.98
577026  00213.87,-00737.79, 00674.80, 00031.15, 00004.44,-00004.76, 00000.00, 00000.00, 00000.00, 00033.83,99491.36,14.43,0.98
577345  00237.30,-00350.83, 00899.41, 00060.99, 00007.63, 00000.90, 00000.00, 00000.00, 00000.00, 00033.35,99460.78,14.43,0.98
577659  00190.67, 00108.15, 00985.84, 00054.35, 00000.16, 00002.53, 00000.00, 00000.00, 00000.00, 00033.49,99510.90,14.43,0.98
577973  00160.64, 00369.38, 00935.55,-00002.95,-00003.06, 00005.53, 00000.00, 00000.00, 00000.00, 00033.68,99487.72,14.43,0.98
