time(s),pressure (kPa)
33.823,99.2045
34.135,99.19821
34.449,99.17288
34.7629999999999,99.17226
35.081,99.19546
35.393,99.20414
35.708,99.19518
36.021,99.19014
36.3389999999999,99.19744
36.651,99.19656
36.966,99.19323
37.28,100.25299
37.597,105.29285
37.912,102.86766
38.2259999999999,99.17888
38.54,99.19482
38.857,99.18267
39.172,99.185
39.486,99.19911
39.7999999999999,99.19302999999992
40.117,99.19632
40.432,99.21021
40.745999999999995,99.224
41.06,99.22895
41.376999999999995,99.21680999999992
41.692,99.20548
42.006,99.21427
42.32,99.21768
42.637,99.22288
42.952,99.22012
43.266,99.2216
43.58,99.22172
43.897,99.22445
44.211,99.22005
44.5249999999999,99.21652
44.84,99.21121
45.1569999999999,99.2231299999999
45.471,99.21692
45.786,99.21308999999992
46.1,99.20464
46.417,99.22216
46.732,99.20704
47.044999999999995,99.20337
47.36,99.20845
47.677,99.21599
47.992,99.21517
48.3059999999999,99.2076799999999
48.62,99.21405
48.9369999999999,99.20498
49.251999999999995,99.2048
49.566,99.22065999999992
49.88,99.20765
50.197,99.21274
50.512,99.1999299999999
50.825,99.21164
51.14,99.20637
51.457,99.20867
51.772,99.2058
52.086,99.20683
52.3999999999999,99.2048
52.717,99.2042
53.0319999999999,99.20256
53.346,99.20522
53.66,99.19994
53.977,99.21455
54.292,99.19776
54.606,99.19641
54.919999999999995,99.19146999999992
55.237,99.21026
55.552,99.18754
55.866,99.19022
56.18,99.19868
56.497,99.2053899999999
56.8119999999999,99.19574
57.1259999999999,99.19765
57.439,99.1950499999999
57.758,99.19994
58.072,99.19441
58.385,99.19923
58.7,99.19705999999992
59.017,99.1915999999999
59.332,99.18473
59.646,99.19267
59.96,99.19884
60.278,99.21016
60.592,99.19191
60.906,99.18895
61.22,99.18756
61.548,99.20377
61.862,99.19622
62.1769999999999,99.185
62.491,99.19996
62.809000000000005,99.20012
63.123,99.19999
63.43699999999999,99.21019
63.75,99.19664
64.068,99.21055
64.383,99.18938
64.697,99.18583
65.011,99.1973
65.328,99.20637
65.643,99.19162
65.95699999999991,99.1967
66.271,99.1942
66.588,99.1992699999999
66.903,99.1867199999999
67.217,99.19443
67.53099999999999,99.1938899999999
67.848,99.1897
68.162,99.19946
68.47699999999999,99.19615
68.79,99.18742
69.108,99.20775
69.423,99.20535
69.737,99.1829
70.051,99.18521
70.368,99.21523
70.68299999999999,99.20909
70.997,99.2055699999999
71.31099999999999,99.19295
71.628,99.2076799999999
71.9419999999999,99.5575
72.257,99.92064
72.571,100.10937
72.88799999999999,100.24599
73.203,99.87752
73.517,99.78552
73.83099999999999,100.08925
74.1479999999999,100.00923
74.46299999999991,99.74272
74.777,100.4032899999999
75.0909999999999,100.3672
75.408,100.10715999999992
75.723,99.92077999999992
76.03699999999999,100.58398
76.351,100.20555
76.669,100.34496
76.98299999999999,100.51451
77.2969999999999,102.03686
77.611,102.62761999999992
77.929,103.92149
78.243,104.95376
78.557,102.90977
78.86999999999999,99.8862
79.189,99.20012
79.503,102.63083
79.817,103.19002
80.131,104.55293
80.4489999999999,105.17422
80.762,103.37376
81.077,102.34472
81.391,99.9764799999999
81.709,101.57892
82.02199999999999,103.24857
82.33699999999999,104.05212
82.651,102.14515
82.96899999999991,101.0768
83.283,102.14015
83.596,103.04568
83.911,103.13843
84.229,102.90013999999992
84.54299999999999,101.44369
84.857,99.93373
85.17099999999999,99.11745
85.48899999999999,99.01488
85.8029999999999,101.51795
86.117,102.84265
86.431,101.8458399999999
86.7489999999999,102.4712
87.063,101.67731
87.377,99.80715
87.69,101.46677
88.009,102.89529
88.322,104.26223
88.6359999999999,102.83913
88.95,101.25926
89.268,99.7056
89.583,99.01826
89.896,100.29677
90.21,101.74279
90.528,102.9249
90.8419999999999,103.15951
91.156,103.7299
91.47,102.37683
91.789,101.02356
92.102,100.03891
92.416,99.7521
92.731,99.1724
93.048,99.19095
93.362,99.13632
93.677,100.97642
93.9899999999999,102.29405
94.309,102.36462
94.622,101.19343
94.937,100.36597
95.251,99.63749
95.569,99.26079
