Time,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Temp,Pa,PSI,atm
63701, -00435.06,-00667.48,598.14,-10.37,6.27,-18.4,-40.35,-18.3,39.9,34.02,98684.51,14.31,0.97
64015, -00391.11,-00693.36,592.29,-14.21,4.33,25.0,-41.25,-17.85,39.6,33.88,98681.22,14.31,0.97
64329, -00388.67,-00627.93,692.87,6.05,-16.23,-0.31,-40.65,-16.05,41.55,34.12,98681.08,14.31,0.97
64647, -00355.96,-00693.36,555.66,-44.67,-43.63,-12.2,-41.7,-18.45,42.0,33.78,98677.05,14.31,0.97
64960, -00300.29,-00756.35,584.47,42.21,15.91,8.27,-42.15,-19.2,40.05,33.88,98670.58,14.31,0.97
65273, -00403.81,-00456.54,871.09,118.21,-5.95,-11.46,-43.65,-2.55,49.2,33.88,98663.34,14.31,0.97
65587, -00295.41,-00042.48,952.15,31.76,-55.89,-31.39,-43.65,20.1,52.5,33.59,98669.55,14.31,0.97
65904, -00358.40, 00333.50,943.85,39.18,3.0,-4.12,-43.8,39.3,45.6,33.68,98680.7,14.31,0.97
66218, -00352.05, 00345.70,857.91,-3.55,-4.91,3.85,-42.75,37.05,45.9,34.02,98667.09,14.31,0.97
66532, -00337.40, 00279.30,891.6,-4.89,6.86,-0.69,-42.15,37.95,48.0,34.02,98669.29,14.31,0.97
66846, -00394.53, 00191.41,892.58,-8.87,-5.66,8.8,-42.3,34.95,49.35,33.97,99526.22,14.46,0.99
67164, -00307.62, 00220.21,910.16,-11.04,11.35,15.96,-44.25,33.45,50.1,33.88,104901.49,15.25,1.04
67477, -00208.98, 00115.23,959.47,-36.5,-27.75,-2.34,-45.6,25.2,51.45,34.02,105518.62,15.31,1.04
67791, -00269.04, 00114.26,948.73,-5.33,-20.3,-19.56,-47.55,24.9,51.0,33.83,104593.66,15.12,1.03
68104, -00162.11, 00062.99,845.21,-54.94,-16.47,-11.15,-50.55,19.2,51.45,33.97,98662.06,14.31,0.97
68422, -00279.79,-00131.84,1060.55,-35.37,4.45,-2.98,-52.2,13.5,50.85,33.88,98673.36,14.31,0.97
