time (ms),pressure (Pa)
0.0,147094.84375
155.0,147071.359375
310.0,147021.625
465.0,146993.421875
620.0,146965.625
775.0,146933.921875
930.0,146889.8125
1085.0,146866.84375
1240.0,146820.1875
1395.0,146785.34375
1550.0,146759.609375
1705.0,146734.359375
1860.0,146694.890625
2015.0,146673.03125
2170.0,146643.59375
2325.0,146602.921875
2480.0,146567.765625
2635.0,146545.34375
2790.0,146506.328125
2945.0,146473.078125
3100.0,146441.359375
3255.0,146417.875
3410.0,146383.609375
3565.0,146631.53125
3720.0,146692.75
3875.0,146634.265625
4030.0,146561.90625
4185.0,146572.09375
4340.0,146585.4375
4495.0,146559.890625
4650.0,146473.25
4805.0,146247.203125
4960.0,146291.046875
5115.0,146324.28125
5270.0,146348.125
5425.0,146197.46875
5580.0,146226.625
5735.0,146257.53125
5890.0,146234.5
6045.0,146214.5
6200.0,146187.484375
6355.0,146153.6875
6510.0,146130.484375
6665.0,146043.421875
6820.0,145903.234375
6975.0,145709.265625
7130.0,145674.03125
7285.0,145640.234375
7440.0,145605.921875
7595.0,145582.40625
7750.0,145531.203125
7905.0,145512.59375
8060.0,145478.0
8215.0,145439.671875
8370.0,145429.546875
8525.0,145382.609375
8680.0,145351.21875
8835.0,145366.078125
8990.0,145771.09375
9145.0,146063.1875
9300.0,146187.34375
9455.0,146340.484375
9610.0,146115.875
9765.0,145769.109375
9920.0,145658.84375
10075.0,145922.171875
10230.0,146089.671875
10385.0,145833.984375
10540.0,146070.515625
10695.0,145751.5
10850.0,145898.4375
11005.0,146394.53125
11160.0,146464.5
11315.0,146410.0
11470.0,146819.640625
11625.0,147703.84375
11780.0,148659.25
11935.0,146818.90625
12090.0,144697.203125
12245.0,144729.203125
12400.0,144707.703125
12555.0,144679.671875
12710.0,144645.5
12865.0,144615.140625
13020.0,144584.328125
13175.0,144549.484375
13330.0,144498.71875
13485.0,144473.40625
13640.0,144438.890625
13795.0,144420.28125
13950.0,144403.1875
14105.0,144349.734375
14260.0,144322.046875
14415.0,144455.546875
14570.0,144390.90625
14725.0,144619.96875
14880.0,144880.109375
15035.0,145884.359375
15190.0,147053.703125
15345.0,145544.765625
15500.0,144059.921875
15655.0,144038.609375
15810.0,144008.078125
15965.0,143979.609375
16120.0,143957.484375
16275.0,143916.375
16430.0,143884.3125
16585.0,143845.421875
16740.0,143817.578125
16895.0,143784.171875
17050.0,143759.65625
17205.0,143724.453125
17360.0,143983.375
17515.0,144100.984375
17670.0,145039.640625
17825.0,146200.78125
17980.0,146710.484375
18135.0,143540.59375
18290.0,143560.71875
18445.0,143540.203125
