time (ms),pressure (Pa)
0,98646.6
314,98644.5
628,98645.09
942,98646.79
1260,98635.49
1574,98646.87
1889,98641.82
2203,98624.29
2521,98640.95
2835,98638.84
3464,101426.33
3782,99754.69
4095,98647.2
4409,98638.91
4723,98655.05
5041,98650.5
5355,98653.49
5669,98650.25
5983,98647.95
6301,98640.63
6615,98630.33
6929,98632.08
7243,98651.07
7561,98642.91
7875,98659.44
8189,98650.88
8503,98654.51
8821,98644.53
9135,98651.22
9449,98644.31
9763,98644.89
10081,98646.51
10395,98649.3
10709,98634.68
11023,98656.01
11342,98646.55
11657,98636.8
11971,98650.5
12285,98649.24
12603,98638.45
12917,98637.19
13231,98651.48
13545,98648.12
13863,98647.63
14177,98645.13
14491,98650.72
14805,98654.27
15123,98645.87
15437,98659.31
15751,98650.27
16065,98648.61
16383,98646.64
16697,98631.78
17011,98631.92
17325,98651.31
17643,98637.95
17957,98642.43
18271,98644.07
18585,98659.8
18903,98655.15
19217,98650.42
19531,98618.7
19845,98610.87
20163,98604.87
20477,98656.56
20791,98645.13
21105,98642.72
21423,98652.72
21737,98660.46
22051,98645.52
22365,98636.84
22683,98633.0
22997,98617.69
23311,98630.94
23625,98651.09
23943,98649.6
24257,98654.41
24571,98655.95
24885,98656.3
25203,98632.79
25517,98630.9
25831,98643.99
26145,98656.91
26463,98664.37
26777,98658.8
27091,98670.41
27405,98639.38
27723,98632.02
28037,98624.48
28351,98642.2
28665,98653.52
28984,98648.12
29298,98652.95
29612,98654.18
29926,98639.62
30244,98628.39
30558,98620.02
30872,98660.73
31186,98648.7
31504,98657.52
31818,98643.73
32132,98649.0
32446,98643.13
32764,98641.79
33078,98649.71
33392,98649.07
33706,98649.95
34024,98650.25
34338,98659.79
34652,98643.13
34966,98637.49
35284,98637.7
35597,98641.22
35911,98646.45
36225,98651.63
36543,98652.4
36857,98644.76
37171,98645.2
37485,98635.51
37803,98641.18
38117,98656.21
38431,98654.86
38745,98648.94
39063,98645.2
39378,98632.13
39692,98641.38
40006,98660.28
40324,98644.05
40638,98594.57
40952,98546.83
41266,98634.5
41584,98654.83
41898,98660.37
42212,98662.81
42526,98656.67
42844,98638.29
43158,98632.86
43472,98614.49
43786,98641.88
44105,98647.63
44419,98649.07
44733,98680.12
45047,98653.63
45365,98567.56
45679,98499.71
45993,98518.55
46307,98638.65
46625,98648.27
46939,98642.38
47253,98680.38
47567,99324.26
47885,100909.41
48199,101846.19
48513,99376.08
48827,101254.55
49145,101640.63
49459,101519.38
49773,101441.93
50092,101848.3
50404,101571.63
50718,101536.84
51032,101307.66
51350,101301.8
51664,101174.62
51978,101113.91
52292,101084.39
52610,101110.48
52924,101534.33
53238,101536.26
53552,101626.67
53866,101946.28
54180,101616.38
54494,101419.16
54808,101137.75
55126,101020.9
55440,98919.8
55754,99377.22
56068,100317.56
56386,100320.95
56700,100120.35
57014,100242.31
57328,100175.78
57642,100247.99
57956,100152.99
58270,100150.22
58584,100141.66
58902,100052.0
59216,100080.56
59530,100077.37
59844,100233.02
60162,98675.02
60476,98757.49
60790,98639.41
61104,98646.31
61422,98641.18
61736,98779.11
62050,99274.8
62364,99428.43
62682,102292.29
62996,103440.65
63310,103204.63
