time (ms),pressure (Pa)
0,98634.12
314,98632.08
632,98639.09
946,98641.18
1260,98641.19
1574,98651.85
1892,98644.5
2206,98640.55
2520,98642.63
2834,98634.25
3466,98965.08
3780,98652.88
4094,98655.82
4423,98646.58
4737,98631.23
5051,98639.3
5365,98633.1
5683,98649.48
5997,98651.85
6311,98646.83
6625,98650.72
6943,98642.67
7257,98645.6
7571,98633.41
7885,98648.84
8203,98637.27
8517,98648.43
8831,98647.2
9145,98644.57
9475,98643.34
9789,98653.43
10103,98640.27
10417,98648.43
10735,98646.19
11049,98647.73
11363,98645.37
11677,98656.91
11995,98648.29
12309,98646.79
12623,98651.12
12937,98647.37
13255,98651.72
13569,98649.52
13883,98648.07
14197,98646.05
14515,98645.9
14829,98636.05
15143,98644.48
15457,98646.01
15775,98646.7
16089,98650.9
16403,98646.2
16717,98647.83
17035,98653.41
17349,98652.06
17663,98646.09
17977,98651.77
18295,98653.27
18609,98649.52
18923,98652.51
19237,98646.2
19555,98649.22
19869,98649.34
20183,98652.47
20497,98631.33
20815,98644.96
21129,98641.32
21443,98655.41
21757,98652.04
22075,98648.68
22389,98648.72
22703,98641.19
23017,98640.48
23335,98642.59
23649,98645.23
23963,98648.63
24277,98647.08
24595,98639.25
24909,98647.08
25223,98629.76
25537,98648.72
25855,98650.76
26169,98649.44
26483,98654.09
26797,98644.5
27115,98649.07
27429,98651.89
27743,98655.84
28057,98651.7
28375,98644.55
28689,98659.83
29003,98648.27
29317,98650.05
29635,98645.09
29949,98636.7
30263,98653.27
30577,98641.85
30895,98648.55
31209,98645.3
31523,98650.07
31837,98648.48
32155,98651.99
32469,98655.41
32783,98650.3
33097,98647.47
33415,98649.82
33729,98654.41
34043,98648.24
34357,98652.34
34675,98646.99
34989,98648.56
35303,98646.14
35617,98633.7
35935,98657.22
36249,98649.7
36563,98643.91
36877,98644.53
37195,98659.41
37509,98644.84
37823,98643.55
38137,98650.85
38455,98648.66
38769,98641.34
39083,98646.87
39397,98646.2
39715,98645.35
40029,98634.45
40343,98648.98
40657,98646.85
40975,98645.16
41289,99203.63
41603,100239.73
41917,100468.94
42235,100619.6
42549,100385.72
42863,100700.69
43177,101335.1
43495,102427.05
43809,102314.57
44123,102029.7
44437,101782.99
44755,102005.77
45069,101670.58
45383,102163.73
45701,100431.55
46015,101035.14
46329,101368.09
46643,100920.14
46961,101097.25
47275,101174.38
47589,101157.73
47903,101264.45
48221,102073.66
48535,99857.91
48849,100796.59
49163,100706.35
49481,100388.68
49795,100488.98
50109,100509.6
50423,100569.84
50741,100444.78
51055,101007.68
51369,100893.14
51683,100701.38
51997,100507.76
52312,100674.73
52626,100054.46
52940,98643.94
53258,98641.38
53572,98634.41
53886,98651.6
54200,98628.29
54518,98694.55
54832,98604.89
55146,98756.67
55460,98719.43
55778,98665.21
56092,98649.76
56406,98633.54
56720,98627.77
57038,98623.3
57352,98634.55
57666,98646.83
57980,98651.44
58298,98652.27
58612,98670.41
58926,98652.85
59240,98637.63
59558,98635.64
59872,98637.53
60186,98643.67
60500,98639.88
60818,98652.36
61132,98648.07
61446,98655.34
61760,98647.15
62078,98656.04
62392,98648.02
62706,98638.55
63020,98632.95
63338,98643.1
63652,98644.53
63966,98651.67
64280,98642.55
64598,98661.2
64912,98645.16
65226,98650.4
65540,98648.55
65858,98647.92
66172,98648.74
66486,98656.55
66800,98642.95
67118,98652.43
67432,98655.59
67746,98641.97
