time (ms),pressure (Pa)
0,98663.56
314,98659.93
628,98673.24
942,98675.55
1259,98645.2
1572,98660.73
1886,98677.7
2200,98643.45
2518,98659.46
2831,98684.51
3145,98681.22
3459,98681.08
3777,98677.05
4090,98670.58
4403,98663.34
4717,98669.55
5034,98680.7
5348,98667.09
5662,98669.29
6294,104901.49
6607,105518.62
6921,104593.66
7234,98662.06
7552,98673.36
7865,98678.13
8179,98712.43
8493,98678.7
8811,98678.8
9125,98676.65
9438,98670.28
9752,98660.55
10070,98667.19
10383,98655.88
10697,98670.19
11011,98671.66
11328,98664.95
11641,98669.2
11955,98665.02
12269,98669.09
12587,98665.84
12900,98659.16
13214,98664.66
13528,98688.98
13857,98667.66
14170,98658.16
14484,98672.73
14798,98659.89
15116,98663.56
15429,98657.29
15743,98648.27
16057,98601.97
16375,98659.66
16688,98669.36
17001,98678.46
17314,98674.02
17627,98676.59
17941,98669.38
18255,98660.02
18569,98637.56
18887,98646.08
19200,98660.98
19514,98683.91
19827,98674.84
20140,98668.84
20457,98678.77
20770,98661.01
21084,98661.17
21397,98658.49
21714,98656.24
22027,98649.57
22340,98666.04
22654,98668.62
22972,98672.29
23286,98662.03
23600,98667.03
23914,98667.15
24232,98667.22
24545,98661.77
24858,98663.63
25172,98655.19
25490,98683.87
25803,98665.84
26117,98674.13
26430,98662.26
26766,98670.73
27079,98664.14
27392,98667.83
27706,98653.41
28023,98635.39
28336,98652.49
28650,98671.2
28964,98663.6
29282,98682.8
29596,98670.51
29910,98669.36
30224,98659.08
30542,98672.48
30856,98651.47
31170,98656.42
31484,98661.7
31802,98674.07
32116,98666.8
32430,98671.2
32744,98651.19
33062,98658.8
33376,98657.79
33690,98644.38
34004,98651.31
34322,98659.44
34635,98671.08
34949,98670.94
35263,98660.59
35581,98664.14
35894,98665.71
36208,98647.24
36522,98658.61
36839,98649.13
37153,98664.55
37467,98666.71
37781,98659.7
38099,98661.9
38413,98665.58
38727,98651.19
39041,98653.59
39359,98659.89
39674,98659.66
39988,98666.2
40302,98659.99
40620,98660.28
40934,98643.86
41248,98637.19
41562,98661.61
41880,98667.59
42194,98640.27
42508,99230.52
42822,99802.56
43140,99882.59
43454,99532.2
43768,99731.98
44082,99721.68
44411,99737.29
44725,99937.22
45039,101195.39
45353,102416.2
45671,102726.49
45985,101418.84
46299,101650.98
46613,100606.04
46931,98676.21
47245,100444.98
47559,98803.02
47873,98692.67
48191,98692.84
48505,98655.34
48819,98648.45
49133,98656.94
49451,98663.86
49765,98812.7
50079,99426.29
50393,98657.29
50711,98665.3
51025,98664.45
51339,98642.05
51653,98641.02
51971,98668.75
52285,98665.59
52599,98676.78
52913,98664.16
53231,98664.45
53545,98662.98
53859,98651.8
54173,98634.78
54491,98660.02
54805,101115.71
55119,108154.86
55433,109622.58
55751,102187.47
56066,98664.04
56380,98672.58
56694,98660.53
57012,98666.13
57326,98658.29
57640,98665.84
