time(s),pressure (kPa)
605.303,99.519
605.617,99.51964
605.935,99.48238
606.248,100.21515
606.562,103.03318
606.88,102.80254
607.192,104.47945
607.505,100.88384
607.819,103.16534
608.137,104.73263
608.45,102.93498
608.764,102.26985
609.078,99.50506
609.396,99.52307
609.709,99.52291
610.022,99.51772
610.336,99.50956
610.656,99.47623
610.969,99.48467
611.283,100.01615
611.597,101.49596
611.915,102.21309
612.229,101.46681
612.543,100.80033
612.857,99.50536
613.171,99.50459
613.485,99.50009
613.799,99.45734
614.113,99.45545
614.427,99.49918
614.741,99.53787
615.055,99.52495
615.369,99.52532
