time(s),pressure (kPa)
418.945,99.50933
419.259,99.50331
419.576,99.52799
419.89,99.50784
420.204,99.48925
420.518,99.5013
420.835,99.50348
421.149,99.51914
421.463,99.50774
421.777,99.51383
422.095,99.50627
422.409,99.51683
422.723,99.4988
423.037,99.50237
423.354,99.50713
423.668,99.5117
423.982,99.50735
424.296,99.50816
424.622,99.51344
424.936,99.50835
425.25,99.48713
425.564,99.49359
425.881,99.50664
426.195,99.52009
426.509,99.50045
426.823,99.51194
427.141,99.50388
427.455,99.51485
427.769,99.5047
428.083,99.50388
428.401,99.50841
428.715,99.49066
429.029,99.50694
429.343,99.51014
429.661,99.50602
429.975,99.50487
430.289,99.50552
430.603,99.50745
430.921,99.4972
431.235,99.5008
431.549,99.50835
431.863,99.49123
432.181,99.50292
432.495,99.5114
432.809,99.52045
433.123,99.50774
433.441,99.51082
433.755,99.49635
434.069,99.50688
434.383,99.49204
434.707,99.49882
435.021,99.51525
435.335,99.51194
435.649,99.5287
435.977,99.51398
436.291,99.5184
436.605,99.49826
436.919,99.50003
437.237,99.50124
437.551,99.49898
437.865,99.51752
438.179,99.51846
438.496,99.51039
438.81,99.50953
439.124,99.50252
439.438,99.50684
439.755,99.48573
440.069,99.49357
440.383,99.51664
440.697,99.52391
441.015,99.51882
441.329,99.5172
441.643,99.5166
441.957,99.51222
442.275,99.50485
442.589,99.50295
442.903,99.50316
443.217,99.52885
443.535,99.51651
443.849,99.5207
444.163,99.51077
444.477,99.5056
444.801,99.49867
445.115,99.49359
445.429,99.5044
445.743,99.51103
446.06,99.52605
446.374,99.51814
446.688,99.51095
447.002,99.47559
447.32,101.31305
447.634,103.49872
447.948,102.88644
448.262,105.33755
448.58,107.67274
448.894,103.01948
449.208,105.27447
449.526,103.50983
449.838,99.45318
450.152,101.86065
450.466,99.50706
450.784,102.47438
451.097,99.50359
451.411,100.43426
451.725,100.22391
452.043,108.94833
452.357,105.67305
452.671,100.2519
452.985,100.63786
453.303,99.4808
453.616,99.48605
453.93,99.58831
454.244,99.71675
454.569,99.49553
454.882,99.50898
455.196,100.32507
455.51,99.50756
455.828,99.51084
456.142,101.13542
456.456,99.74634
456.77,99.5119
457.088,99.5387
457.402,99.51679
457.716,99.49993
458.03,99.51153
458.37,99.52688
458.684,99.51098
