Tst7.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
195736  00382.08, 00060.55, 01078.61, 00023.63,-00077.46, 00026.06, 00000.00, 00000.00, 00000.00, 00033.88,99510.18,14.43,0.98
196049  00377.69, 00277.34, 00829.10,-00011.05,-00010.15,-00003.69, 00000.00, 00000.00, 00000.00, 00034.02,99505.00,14.43,0.98
196363  00316.41, 00302.00, 00848.39,-00002.95, 00009.85,-00011.11, 00000.00, 00000.00, 00000.00, 00034.02,99519.10,14.43,0.98
196677  00422.61, 00348.88, 00863.53,-00004.83,-00005.59,-00001.87, 00000.00, 00000.00, 00000.00, 00033.88,99509.84,14.43,0.98
196995  00356.45, 00329.35, 00911.87,-00011.60, 00002.27,-00007.74, 00000.00, 00000.00, 00000.00, 00034.12,99506.45,14.43,0.98
197309  00228.52, 00332.52, 00841.06, 00006.26,-00018.85,-00002.34, 00000.00, 00000.00, 00000.00, 00033.97,99498.79,14.43,0.98
197623  00234.62, 00362.30, 00886.72, 00000.90, 00001.23,-00004.78, 00000.00, 00000.00, 00000.00, 00033.88,99513.91,14.43,0.98
197937  00239.01, 00401.86, 00882.57, 00002.33,-00004.89, 00009.45, 00000.00, 00000.00, 00000.00, 00033.97,99513.22,14.43,0.98
198255  00310.55, 00217.53, 00918.95,-00043.63,-00007.31, 00005.50, 00000.00, 00000.00, 00000.00, 00033.83,99497.41,14.43,0.98
198569  00238.77, 00302.49, 00867.92, 00013.58, 00004.70, 00018.85, 00000.00, 00000.00, 00000.00, 00033.78,99498.02,14.43,0.98
198883  00214.36, 00572.27, 00854.25, 00038.67,-00006.82, 00004.79, 00000.00, 00000.00, 00000.00, 00033.88,99524.50,14.43,0.98
199197  00298.10, 00489.75, 00799.32, 00022.53,-00002.26,-00029.37, 00000.00, 00000.00, 00000.00, 00033.59,99532.20,14.43,0.98
199515  00322.02, 00654.54, 00691.65, 00002.04, 00001.93, 00000.47, 00000.00, 00000.00, 00000.00, 00033.88,99509.47,14.43,0.98
199829  00321.29, 00664.31, 00678.96, 00004.43, 00000.55,-00002.21, 00000.00, 00000.00, 00000.00, 00033.83,99508.34,14.43,0.98
200143  00310.79, 00649.90, 00649.17,-00003.42, 00002.24, 00000.45, 00000.00, 00000.00, 00000.00, 00033.97,99489.54,14.43,0.98
200457  00323.24, 00647.71, 00639.65, 00003.74, 00004.33,-00005.14, 00000.00, 00000.00, 00000.00, 00033.64,100464.73,14.60,1.00
200775  00314.21, 00698.00, 00612.06, 00008.15, 00003.66, 00004.28, 00000.00, 00000.00, 00000.00, 00033.97,108191.11,15.69,1.07
201088  00471.92, 00677.25, 00628.66, 00010.65,-00011.98,-00011.15, 00000.00, 00000.00, 00000.00, 00033.97,106488.17,15.44,1.05
201402  00343.02, 00812.01, 00618.90, 00044.56, 00021.13,-00011.60, 00000.00, 00000.00, 00000.00, 00033.97,105863.23,15.35,1.04
201716  00309.08, 00306.40, 00396.24, 00045.20,-00001.90,-00032.22, 00000.00, 00000.00, 00000.00, 00033.88,99546.47,14.44,0.98
202034  00264.16, 00757.57, 00554.93, 00000.45, 00001.73,-00000.66, 00000.00, 00000.00, 00000.00, 00033.88,99529.38,14.43,0.98
202347  00307.86, 00756.59, 00462.65, 00013.39,-00008.53, 00001.64, 00000.00, 00000.00, 00000.00, 00034.02,99531.42,14.44,0.98
202661  00311.52, 00743.16, 00449.71, 00011.32, 00005.19,-00007.47, 00000.00, 00000.00, 00000.00, 00033.78,99568.16,14.44,0.98
202975  00340.82, 00794.43, 00479.74,-00006.37,-00001.78, 00001.76, 00000.00, 00000.00, 00000.00, 00034.12,99610.33,14.45,0.98
