Test9.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
414539  00383.79, 00619.38, 00723.63, 00008.37,-00001.37, 00001.71, 00000.00, 00000.00, 00000.00, 00034.31,99501.44,14.43,0.98
414853  00399.90, 00585.45, 00604.49,-00013.14,-00001.69,-00002.79, 00000.00, 00000.00, 00000.00, 00034.50,99504.11,14.43,0.98
415167  00424.80, 00608.40, 00628.42,-00015.75,-00004.38,-00000.67, 00000.00, 00000.00, 00000.00, 00034.40,99501.99,14.43,0.98
415481  00325.93, 00655.27, 00620.61, 00007.73, 00015.78, 00008.99, 00000.00, 00000.00, 00000.00, 00034.36,99502.13,14.43,0.98
415798  00394.04, 00666.26, 00613.28,-00004.65,-00009.56,-00001.79, 00000.00, 00000.00, 00000.00, 00034.21,99504.55,14.43,0.98
416112  00347.66, 00648.93, 00648.68,-00006.66,-00002.57, 00002.00, 00000.00, 00000.00, 00000.00, 00034.40,99494.55,14.43,0.98
416426  00416.50, 00677.73, 00675.29, 00014.02,-00001.74, 00014.47, 00000.00, 00000.00, 00000.00, 00034.50,99498.51,14.43,0.98
416740  00416.99, 00638.43, 00604.98,-00010.03,-00002.41, 00005.96, 00000.00, 00000.00, 00000.00, 00034.50,99502.81,14.43,0.98
417058  00379.88, 00612.30, 00673.83, 00003.15, 00003.16, 00004.14, 00000.00, 00000.00, 00000.00, 00034.31,99500.32,14.43,0.98
417372  00491.94, 00621.83, 00649.90,-00013.70,-00003.28, 00002.73, 00000.00, 00000.00, 00000.00, 00034.55,99501.05,14.43,0.98
417686  00383.54, 00553.96, 00491.46, 00012.27, 00015.44,-00011.45, 00000.00, 00000.00, 00000.00, 00034.21,99499.99,14.43,0.98
418000  00236.08, 00675.54, 00812.50,-00002.23,-00013.37,-00013.19, 00000.00, 00000.00, 00000.00, 00034.12,106794.66,15.52,1.06
418317  00275.39, 00576.90, 00630.86, 00039.48, 00003.60,-00015.30, 00000.00, 00000.00, 00000.00, 00034.50,107934.59,15.64,1.06
418631  00298.10, 00668.21, 00551.76, 00007.40, 00008.22,-00004.55, 00000.00, 00000.00, 00000.00, 00034.40,104316.41,15.10,1.03
418945  00328.61, 00641.60, 00451.42, 00024.61, 00032.24,-00001.88, 00000.00, 00000.00, 00000.00, 00034.64,99509.33,14.43,0.98
419259  00421.87, 00768.55, 00534.91,-00009.91, 00007.82,-00009.69, 00000.00, 00000.00, 00000.00, 00034.40,99503.31,14.43,0.98
419576  00386.72, 00906.49, 00642.33, 00002.76,-00011.81, 00018.34, 00000.00, 00000.00, 00000.00, 00034.40,99527.99,14.44,0.98
