time(s),pressure (kPa)
585.226,99.49066
585.54,99.4946
585.854,99.4916
586.172,100.30239
586.485,99.48884
586.799,100.54521
587.114,99.53081
587.432,99.45462
587.746,100.56116
588.059,99.49207
588.373,101.13591
588.692,99.49136
589.005,101.77483
589.32,99.47119
589.634,101.09081
589.959,99.43065
590.273,102.35741
590.587,99.92704
590.904,101.12124
591.217,99.48102
591.531,101.88846
591.845,100.71311
592.162,99.48738
592.476,100.5345
592.791,99.89977
593.105,100.03004
593.422,100.11517
593.736,99.48642
594.05,100.24231
594.365,99.48756
594.683,99.6777
594.997,99.44431
595.311,99.49233
595.624,100.55549
595.942,99.49263
596.256,100.34943
596.571,100.87571
596.885,100.56049
597.203,101.44798
597.517,100.39857
597.831,99.52612
598.145,100.35373
598.463,99.49213
598.777,100.61954
599.091,99.48152
599.405,100.81789
599.73,99.9888
600.044,99.474
600.358,100.80843
600.672,100.52756
600.99,99.48996
601.304,100.87702
601.618,99.49665
601.932,100.20573
602.25,101.11948
602.564,99.49993
602.878,100.82665
603.192,99.4948
603.51,99.48228
603.823,99.49522
604.137,99.48845
604.451,99.4868
604.769,99.48766
605.084,99.49178
605.398,99.48658
605.711,99.48954
606.029,99.48916
606.344,99.49404
