time(s),pressure (kPa)
131.004,99.49423
131.318,99.49379
131.636,99.47165
131.95,99.51907
132.264,99.50887
132.579,99.5017
132.897,99.4978
133.211,99.49405
133.525,99.51525
133.839,99.50804
134.157,99.4961
134.471,99.49784
134.785,99.50886
135.099,99.51986
135.426,99.50681
135.74,99.5023
136.054,99.49805
136.368,99.5027
136.686,99.51919
137.0,99.50363
137.315,99.5063
137.629,99.49694
137.947,99.4876
138.261,99.51846
138.575,99.51647
138.889,99.50733
139.207,99.48696
139.521,99.49391
139.835,99.51528
140.149,99.51077
140.467,99.51471
140.781,99.50652
141.095,99.49151
141.409,99.51516
141.727,99.50494
142.041,99.50559
142.355,99.50117
142.669,99.50236
142.987,99.51299
143.301,99.50688
143.615,99.50484
143.929,99.4797
144.247,99.49672
144.561,99.50633
144.875,99.5182
145.189,99.51096
145.514,99.48526
145.828,99.49366
146.142,99.50563
146.456,99.51746
146.774,99.49584
147.088,99.49404
147.402,99.50405
147.716,99.51073
148.034,99.49973
148.348,99.50213
148.662,99.48589
148.976,99.48868
149.294,99.49277
149.608,99.50863
149.922,99.50134
150.236,99.47891
150.554,99.49117
150.868,99.51409
151.182,99.51649
151.496,99.51868
151.814,99.48941
152.128,99.49597
152.442,99.51495
152.756,99.51555
153.074,99.48477
153.388,99.48309
153.702,99.49112
154.016,99.50115
154.334,99.50939
154.648,99.49552
154.962,99.48388
155.276,99.48934
155.601,99.51923
155.915,99.50457
156.229,99.51245
156.543,99.50073
156.861,99.49717
157.175,99.51184
157.489,99.51138
157.803,99.50125
158.121,99.50062
158.435,99.50475
158.749,99.50152
159.063,99.49917
159.381,99.97049
159.695,99.49102
160.009,99.59869
160.323,100.92432
160.641,100.02784
160.955,100.76236
161.269,100.2864
161.583,99.49261
161.901,99.50147
162.215,100.22171
162.529,99.50542
162.844,100.17262
163.162,99.48245
163.476,99.5733
163.79,99.50111
164.108,99.95426
164.42,99.97221
164.734,99.99919
165.048,99.50067
165.366,100.17216
165.686,99.49464
166.0,100.26782
166.314,99.86359
166.632,99.50404
166.946,99.93384
167.26,99.50745
167.574,100.51571
167.892,99.50314
168.206,100.94725
168.52,100.70229
168.834,100.71042
169.148,99.98906
169.462,100.85767
169.776,100.80222
170.09,99.93434
170.408,99.49591
170.722,99.57033
171.036,99.49451
171.35,99.50972
171.668,99.9914
171.982,99.5119
172.296,99.60823
172.61,100.48369
172.928,99.48293
173.242,100.9348
173.556,99.51245
173.87,100.3719
174.188,99.88495
174.502,99.50729
174.816,99.50889
175.13,99.49505
175.455,99.50204
