Tst3.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
336445  00309.33,-00349.37, 00909.18,-00007.06,-00013.80,-00011.08, 00000.00, 00000.00, 00000.00, 00033.59,99506.17,14.43,0.98
336760  00321.04,-00303.47, 00885.99,-00000.71,-00003.58,-00005.79, 00000.00, 00000.00, 00000.00, 00033.83,99512.29,14.43,0.98
337074  00322.51,-00271.73, 00875.49,-00006.07,-00001.02,-00012.10, 00000.00, 00000.00, 00000.00, 00033.78,99484.47,14.43,0.98
337388  00376.22,-00306.64, 00879.88,-00001.70,-00000.79, 00001.08, 00000.00, 00000.00, 00000.00, 00033.68,99477.93,14.43,0.98
337706  00270.75,-00366.21, 00919.68,-00013.24,-00004.90, 00000.02, 00000.00, 00000.00, 00000.00, 00033.78,99509.76,14.43,0.98
338020  00212.89,-00409.67, 00874.51,-00011.03, 00002.83, 00013.68, 00000.00, 00000.00, 00000.00, 00033.78,99513.02,14.43,0.98
338334  00314.70,-00247.07, 01014.40, 00005.87,-00008.49,-00012.44, 00000.00, 00000.00, 00000.00, 00033.97,99506.14,14.43,0.98
338648  00218.75,-00437.74, 00830.57,-00016.27, 00003.24, 00003.83, 00000.00, 00000.00, 00000.00, 00034.02,99439.03,14.42,0.98
338966  00216.31,-00482.67, 00854.98,-00014.08,-00000.18, 00004.77, 00000.00, 00000.00, 00000.00, 00033.88,101168.96,14.70,1.00
339280  00300.05,-00526.86, 00825.20, 00001.49, 00004.44,-00023.00, 00000.00, 00000.00, 00000.00, 00034.12,104242.09,15.12,1.03
339594  00282.96,-00506.59, 00804.93, 00000.80, 00007.94, 00002.10, 00000.00, 00000.00, 00000.00, 00033.88,103294.13,14.97,1.02
339908  00376.46,-00593.75, 00834.23, 00025.13, 00003.98,-00000.87, 00000.00, 00000.00, 00000.00, 00033.97,99501.15,14.43,0.98
340226  00219.97,-00527.83, 00826.42,-00018.30,-00012.04, 00022.67, 00000.00, 00000.00, 00000.00, 00033.78,99498.93,14.43,0.98
340540  00169.43,-00666.26, 00746.83,-00004.78,-00008.18, 00005.03, 00000.00, 00000.00, 00000.00, 00033.88,99504.46,14.43,0.98
340854  00177.00,-00761.23, 00641.60,-00028.37, 00006.38, 00002.39, 00000.00, 00000.00, 00000.00, 00033.59,99493.43,14.43,0.98
341168  00241.46,-00830.08, 00621.58,-00011.61,-00004.78, 00000.95, 00000.00, 00000.00, 00000.00, 00033.97,99485.93,14.43,0.98
341486  00249.76,-00804.44, 00588.13,-00003.95, 00007.50, 00003.70, 00000.00, 00000.00, 00000.00, 00034.02,99503.50,14.43,0.98
341800  00189.21,-00731.93, 00641.60, 00034.26, 00000.69,-00006.11, 00000.00, 00000.00, 00000.00, 00033.88,99516.76,14.43,0.98
342114  00202.64,-00439.45, 00870.12, 00045.09,-00000.59, 00000.79, 00000.00, 00000.00, 00000.00, 00033.68,99506.20,14.43,0.98
