Test4.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
431766  00275.88, 00056.15, 00955.81, 00000.14, 00003.61,-00013.20, 00000.00, 00000.00, 00000.00, 00033.49,99516.13,14.43,0.98
432081  00221.92, 00084.96, 00946.29,-00007.53,-00003.12,-00016.12, 00000.00, 00000.00, 00000.00, 00033.35,99509.63,14.43,0.98
432394  00304.44, 00051.03, 00911.13,-00008.47,-00006.91,-00016.32, 00000.00, 00000.00, 00000.00, 00033.64,99491.15,14.43,0.98
432709  00335.45, 00072.51, 00897.22,-00010.02,-00015.98,-00000.89, 00000.00, 00000.00, 00000.00, 00033.64,99471.05,14.43,0.98
433027  00326.66, 00021.48, 00967.04,-00002.52,-00004.70,-00005.12, 00000.00, 00000.00, 00000.00, 00033.44,99504.85,14.43,0.98
433341  00114.75,-00015.63, 01068.60,-00107.27, 00026.76, 00008.33, 00000.00, 00000.00, 00000.00, 00033.59,99511.70,14.43,0.98
433654  00291.50,-00026.61, 00832.28,-00021.12, 00015.67, 00015.00, 00000.00, 00000.00, 00000.00, 00033.64,99497.00,14.43,0.98
433968  00260.99,-00103.52, 00956.05, 00009.96,-00026.37,-00018.81, 00000.00, 00000.00, 00000.00, 00033.78,99477.04,14.43,0.98
434286  00356.45, 00003.91, 01041.02,-00017.33,-00031.43,-00018.95, 00000.00, 00000.00, 00000.00, 00033.49,99416.25,14.42,0.98
434601  00197.75,-00007.81, 00965.58,-00004.21,-00005.23,-00006.33, 00000.00, 00000.00, 00000.00, 00033.35,103216.09,14.98,1.02
434915  00301.27,-00068.85, 00942.87,-00004.21, 00003.99, 00008.66, 00000.00, 00000.00, 00000.00, 00033.49,103569.99,15.01,1.02
435228  00227.54,-00231.20, 00970.21,-00040.79, 00020.18, 00003.18, 00000.00, 00000.00, 00000.00, 00033.68,99477.33,14.43,0.98
435546  00148.44,-00436.52, 00795.90,-00051.98,-00000.44, 00004.02, 00000.00, 00000.00, 00000.00, 00033.64,99520.48,14.44,0.98
435860  00212.65,-00596.68, 00806.40,-00002.53,-00010.31,-00013.27, 00000.00, 00000.00, 00000.00, 00033.59,99507.38,14.43,0.98
436174  00181.40,-00671.63, 00738.53,-00002.82, 00010.31, 00004.56, 00000.00, 00000.00, 00000.00, 00033.83,99506.53,14.43,0.98
436488  00243.90,-00635.99, 00802.25, 00001.98,-00001.85,-00006.73, 00000.00, 00000.00, 00000.00, 00033.44,99489.87,14.43,0.98
436806  00228.03,-00482.91, 00792.97, 00062.97, 00010.46,-00000.11, 00000.00, 00000.00, 00000.00, 00033.44,99497.33,14.43,0.98
437120  00199.95,-00100.10, 00955.81, 00053.67,-00000.16,-00002.11, 00000.00, 00000.00, 00000.00, 00033.64,99511.85,14.43,0.98
