time(s),pressure (kPa)
549.608,99.50652000000001
549.923,99.47228
550.237,99.46711
550.551,99.50566
550.869,99.49573
551.182,99.48286
551.496,99.47167999999999
551.811,104.45238
552.129,104.98326
552.443,99.44525
552.757,99.46888
553.071,99.46242
553.389,99.49102
553.702,99.49044
554.017,99.49263
554.33,99.51292
554.648,99.49439
554.962,99.48248
555.276,99.49253999999999
555.591,99.50158
555.908,99.50880000000001
556.223,99.49963000000001
556.537,99.49064999999999
556.851,99.47300999999999
557.169,99.48471
557.482,99.47962
557.797,99.49130000000001
558.11,99.49489
558.428,99.49099000000001
558.743,99.49233
559.057,99.4633
559.371,99.49208
559.697,99.48698
560.012,99.49677
560.325,99.67869999999999
560.64,99.49983
560.958,99.50821
561.272,99.48934
561.586,99.49217
561.9,99.47027
562.218,99.46813
562.531,99.49222999999999
562.845,99.5024
563.159,99.49971000000001
563.478,99.49975
563.791,99.49616999999999
564.106,99.49464
564.42,99.49119
564.738,99.48706
565.052,99.48411
565.365,99.48674000000001
565.679,99.48948
565.997,99.50179
566.311,99.49498
566.625,99.47969
566.94,99.50094
567.258,99.49730000000001
567.572,99.47633
567.886,99.48414
568.2,99.48964
568.518,99.49089
568.831,99.49873
569.146,99.50643
569.459,99.49166000000001
569.785,99.49668
570.099,99.48121
570.413,99.49286000000001
570.726,99.5043
571.044,99.50163
571.359,99.50545
571.673,99.49543
571.987,99.48168
572.305,99.48596
572.619,99.46655
572.933,99.51146
573.247,99.49539
573.564,99.50692
573.878,99.49174000000001
574.193,99.4885
574.507,99.48586999999999
574.825,99.48875
575.139,99.48599
575.453,99.48584
575.767,99.48235000000001
576.085,99.48875
576.398,99.48795
576.713,99.48641
577.026,99.49136
577.345,99.46078
577.659,99.51089999999999
577.973,99.48772
578.286,99.51404
578.605,99.50361
578.918,99.49616999999999
579.232,99.51565
579.546,99.49472999999999
579.871,99.50927
580.186,99.50050999999999
580.5,99.49946000000001
580.813,99.48423
581.132,99.48792
581.445,99.48973
581.76,99.50739
582.073,99.49280999999999
582.392,99.4799
582.705,99.48519
583.02,99.49925
583.334,99.49258999999999
583.652,99.5023
583.965,99.48925
584.28,99.47458
584.594,99.49188000000001
584.912,99.49892999999999
585.226,99.49066
585.54,99.4946
585.854,99.4916
586.172,100.30239
586.485,99.48884
586.799,100.54521000000001
587.114,99.53081
587.432,99.45461999999999
587.746,100.56116
588.059,99.49207000000001
588.373,101.13591000000001
588.692,99.49136
589.005,101.77483000000001
589.32,99.47119
589.634,101.09081
589.959,99.43065
590.273,102.35741
590.587,99.92703999999999
590.904,101.12124
591.217,99.48102
591.531,101.88846000000001
591.845,100.71311
592.162,99.48738
592.476,100.5345
592.791,99.89977
593.105,100.03004
593.422,100.11516999999999
593.736,99.48642
594.05,100.24231
594.365,99.48756
594.683,99.6777
594.997,99.44431
595.311,99.49233
595.624,100.55549
595.942,99.49263
596.256,100.34943
596.571,100.87571000000001
596.885,100.56049
597.203,101.44798
597.517,100.39857
597.831,99.52611999999999
598.145,100.35373
598.463,99.49213
598.777,100.61954
599.091,99.48152
599.405,100.81789
599.73,99.9888
600.044,99.474
600.358,100.80842999999999
600.672,100.52756
600.99,99.48996000000001
601.304,100.87702
601.618,99.49664999999999
601.932,100.20573
602.25,101.11948
602.564,99.49992999999999
602.878,100.82665
603.192,99.4948
603.51,99.48228
603.823,99.49522
604.137,99.48845
604.451,99.4868
604.769,99.48766
605.084,99.49178
605.398,99.48658
605.711,99.48953999999999
606.029,99.48916
606.344,99.49404
