time(s),pressure (kPa)
202.577,99.29402
202.891,99.223
203.205,99.2264799999999
203.519,99.22277
203.837,99.18856
204.151,99.21231
204.464,99.22267
204.778,99.20414
205.097,99.21652
205.411,99.2164599999999
205.725,99.21444
206.039,99.2181499999999
206.357,99.22471
206.671,99.19808999999992
206.986,99.22934
207.3,99.21341
207.618,99.2301999999999
207.9319999999999,99.24217
208.246,99.22188
208.56,99.22293
208.8779999999999,99.21517
209.192,99.22315
209.506,99.20149
209.82,99.18783
210.147,99.29355
210.461,102.73741
210.775,102.0234399999999
211.089,99.22443
211.407,99.23496
211.721,99.22587
212.035,99.2235
212.3489999999999,99.22655
212.667,99.23145
212.981,99.22478
213.2949999999999,99.22159
213.609,99.23749
213.94,99.22991
214.254,99.22939
214.568,99.22687999999992
214.882,99.22677
215.2,99.22913
215.514,99.22571
215.828,99.22101
216.142,99.20405
216.46,99.22235
216.774,99.22565
217.089,99.24202
217.404,99.22761
217.723,99.22799
218.037,99.23985
218.351,99.23509
218.665,99.23158
218.983,99.22327
219.297,99.22862
219.611,99.22881
219.925,99.20701
220.25,99.23533
220.5639999999999,99.23868
220.878,99.22709
221.192,99.23185
221.5099999999999,99.2155099999999
221.824,99.23613
222.139,99.22823
222.454,99.23823
222.772,99.2382
223.086,99.23475
223.4,99.22843
223.714,99.23859
224.032,99.22763
224.346,99.2261
224.66,99.22428
224.9739999999999,99.23836
225.292,99.22642
225.606,99.22934
225.9199999999999,99.22518
226.234,99.22473
226.552,99.23546
226.866,99.22936
227.181,99.22844
227.495,99.22737999999993
227.813,99.22177
228.127,99.2208
228.441,99.23192
228.755,99.2137
229.073,99.22423
229.387,99.22879
229.701,99.22686
230.015,99.23436
230.33999999999995,99.22565
230.654,99.22778
230.9679999999999,99.23018
231.282,99.22524
231.6,99.21893
231.9139999999999,99.22747
232.229,99.24073
232.544,99.23227
232.863,99.21523
233.177,99.22374
233.491,99.23077
233.805,99.22198
234.123,99.22658
234.437,99.2242
234.751,99.21809
235.065,99.2235
235.383,99.22734
235.697,99.23515999999992
236.012,99.22284
236.3259999999999,99.22902
236.644,99.22973
236.958,99.22889
237.2729999999999,99.22537
237.588,99.2346
237.907,99.23198
238.221,99.23638
238.535,99.22879
238.8489999999999,99.2304599999999
239.167,99.23044
239.481,99.22658
239.7949999999999,99.22185
240.109,99.22636
240.434,99.22722
240.748,99.22409
241.062,99.22888
241.3789999999999,99.22795
241.694,99.2292999999999
242.0089999999999,99.2373
242.324,99.22597
242.643,99.22327
242.957,99.22848999999992
243.271,99.22287
243.585,99.22516
243.9029999999999,99.2207
244.217,99.22737999999993
244.531,99.2348
244.845,99.23612
245.163,99.22683
245.477,99.21916
245.791,99.22943
246.105,99.23185
246.423,99.22389
246.7369999999999,99.2269
247.051,99.2287
247.366,99.22902
247.685,99.2252699999999
247.999,99.23482
248.3129999999999,99.23645
248.627,99.22946
248.945,99.22405
249.2589999999999,99.22012
249.573,99.21984
249.887,99.23093
250.211,99.2330999999999
250.52600000000004,99.22462
250.84,99.23753
251.154,99.23801
251.472,99.21893
251.786,99.22613
252.1,99.23598
252.41399999999993,99.2257699999999
252.732,99.22398
253.046,99.2296199999999
253.36,99.22799
253.674,99.21982
253.992,99.21966
254.306,99.23368
254.62,99.23163
254.934,99.23674
255.252,99.2257699999999
255.565,99.81363
255.88,101.03234
256.19399999999996,101.97508
256.512,102.45993
256.826,102.92323
257.14,103.00553
257.454,102.40922
257.772,102.17688
258.08599999999996,102.05652
258.3999999999999,102.0572
258.714,100.89928
259.032,99.11116
259.346,101.62177
259.66,102.15747
259.974,102.19629
260.299,102.6055999999999
260.613,102.70111
260.927,102.71946
261.241,102.53665
261.55899999999997,101.47835999999992
261.87299999999993,99.22261
262.187,99.83284
262.501,100.87805
262.819,101.13723
263.133,101.1443
263.446,101.11818
263.761,101.15357
264.079,101.20173
264.393,101.43779
264.70699999999994,99.31009
265.021,99.21751999999992
265.339,99.18774
265.65299999999996,99.18309
265.967,99.74359
266.281,100.15188
266.599,99.4852
266.913,99.2408499999999
267.226,99.24416
267.541,99.21249
267.8589999999999,99.23569
268.173,99.49541
268.48699999999997,99.41416
268.801,99.31395
269.11799999999994,99.28961
269.433,99.29275
269.747,99.30738
270.061,99.36756
270.386,99.64879
270.7,99.38174
271.01399999999995,99.3060799999999
271.3279999999999,99.28648
271.646,99.23791
271.96,99.14526
272.275,99.19489
272.594,99.17292
272.9069999999999,99.02284
273.221,99.30423
273.53499999999997,99.26163
273.853,99.19501
274.167,99.21634
274.481,99.23857
274.795,99.22555
275.113,99.24366
275.42699999999996,99.19523
275.74099999999993,99.24282
276.055,99.22377
276.36899999999997,99.10018
276.683,99.30898
276.99799999999993,99.27525
277.312,99.32237
277.6309999999999,99.32477
277.945,99.22471
278.25899999999996,99.21491
278.5729999999999,99.22206
278.903,99.2448
279.217,99.22315
279.53099999999995,99.21759
279.845,99.17604
280.16999999999996,99.22653
280.4839999999999,99.03657
280.798,99.19197
281.11199999999997,99.27146
281.43,99.3101
281.74399999999997,99.23153
282.059,99.2023
282.374,99.18944
282.692,99.22642
283.006,99.20222
283.32,99.22891
283.634,99.20973
283.952,99.21966
284.266,99.21048
