time(s),pressure (kPa)
944.798,99.15138
945.112,99.1527
945.426,99.14416
945.74,99.14384
946.058,99.15317
946.372,99.17853
946.686,99.218
947.0,99.1566399999999
947.318,99.68756
947.632,104.64433
947.946,108.20204
948.26,99.15940999999992
948.574,99.14374
948.888,99.13204
949.202,99.15295
949.516,99.1441
949.834,99.15733
950.148,99.13507
950.462,99.13812
950.776,99.22184
951.094,99.24089
951.408,99.15648
951.722,99.15852
952.036,99.14302
952.354,99.1468299999999
952.668,99.1617499999999
952.982,99.15233
953.296,99.1517
953.614,99.15278
953.928,99.14404
954.242,99.13496999999992
954.556,99.15014
954.874,99.15769
955.188,99.14759
955.502,99.14639
955.816,99.16488
956.134,99.1870399999999
956.448,99.31299
956.762,99.34459
957.076,99.12188
957.394,99.15937
957.708,99.15084
958.022,99.17676
958.336,99.17588999999992
958.654,99.30795
958.968,99.16745
959.282,99.81
959.596,99.12409
959.926,99.13523
960.24,99.14785
960.554,99.14805
960.868,99.1435599999999
961.186,99.13202
961.5,99.15343
961.814,99.15617
962.128,99.15683
962.446,99.15788
962.76,99.1498
963.074,99.16327
963.388,99.14861
963.706,99.16094
964.02,99.1682
964.334,99.16347
964.648,99.17012
964.966,99.17382
965.28,99.16466
965.594,99.158
965.908,99.17895
966.226,99.16516
966.54,99.14604
966.854,99.16994
967.168,99.16459
967.486,99.15733
967.8,99.1439799999999
968.114,99.16847
968.428,99.15868
968.746,99.1677
969.06,99.15937
969.374,99.16048
969.688,99.14355
970.006,99.16827
970.32,99.1490199999999
970.634,99.15795
970.948,99.16088
971.266,99.15889
971.58,99.16388
971.894,99.1699799999999
972.208,99.1563
972.526,99.1572699999999
972.84,99.16042
973.154,99.17116
973.468,99.14977
973.786,99.16199
974.1,99.15698999999992
974.414,99.1564
974.728,99.1584299999999
975.046,99.15362
975.36,99.16974999999992
975.674,99.15709
975.988,99.17273
976.306,99.15940999999992
976.62,99.16164999999992
976.934,99.15958
977.248,99.1701
977.566,99.20739
977.88,99.53138
978.194,99.49668
978.508,99.42517
978.826,99.40309
979.14,99.41363
979.454,101.49437
979.768,99.14266
980.086,99.14237
980.4,99.80871
980.714,99.56719
981.028,99.45245
981.346,99.81648
981.66,99.55162
981.974,99.14048
982.292,99.14495
982.604,99.38105
982.918,99.62873
983.232,100.24512
983.55,101.703
983.864,101.02994
984.178,100.63085
984.492,99.40471
984.806,99.13245
985.12,100.15162
985.434,100.43544
985.748,100.55065
986.066,100.44494
986.38,100.38752
986.694,100.46131
987.008,99.11771
987.326,101.08721
987.64,101.1273
987.954,99.30791
988.268,100.77199
988.586,102.36467
988.9,103.10232
989.214,102.22856
989.528,102.69726
989.846,103.50784
990.16,99.85982
990.474,99.4807799999999
990.788,101.80145
991.106,103.10966
991.42,103.50301
991.734,103.67047
992.048,103.29613
992.366,102.75029
992.68,101.51314
992.994,100.12752
993.308,99.11807
993.626,99.12023
993.94,99.1326
994.254,100.51911
994.568,102.84866
994.886,102.7584399999999
995.2,102.87531
995.514,104.02459
995.828,103.35518
996.146,100.65615
996.46,99.17832
996.774,99.14179
997.088,99.13115
997.406,99.12668999999993
997.72,99.15877
998.034,99.15551
998.348,99.13549999999992
998.666,99.14788
998.98,99.12774
999.294,99.1411
999.608,99.17806
999.926,99.10902
1000.24,99.10411999999992
1000.554,99.14363
1000.868,99.13088
1001.186,99.29119
1001.5,99.16648
1001.814,99.15437
1002.128,99.1425299999999
1002.446,99.12995
