time (ms),pressure (Pa)
0,98648.27
314,98642.38
628,98680.38
942,99324.26
1260,100909.41
1574,101846.19
1888,99376.08
2202,101254.55
2520,101640.63
2834,101519.38
3148,101441.93
3467,101848.3
3779,101571.63
4093,101536.84
4407,101307.66
4725,101301.8
5039,101174.62
5353,101113.91
5667,101084.39
5985,101110.48
6299,101534.33
6613,101536.26
6927,101626.67
7241,101946.28
7555,101616.38
7869,101419.16
8183,101137.75
8501,101020.9
8815,98919.8
9129,99377.22
9443,100317.56
9761,100320.95
10075,100120.35
10389,100242.31
10703,100175.78
11017,100247.99
11331,100152.99
11645,100150.22
11959,100141.66
12277,100052.0
12591,100080.56
12905,100077.37
13219,100233.02
13537,98675.02
13851,98757.49
14165,98639.41
14479,98646.31
14797,98641.18
15111,98779.11
15425,99274.8
15739,99428.43
16999,98641.03
