time (s),pressure (kPa)
268.93,98.6466
269.244,98.6445
269.558,98.64509
269.872,98.64679
270.19,98.63549
270.504,98.64686999999999
270.819,98.64182000000001
271.133,98.62428999999999
271.451,98.64095
271.765,98.63884
273.025,98.6472
273.339,98.63891000000001
273.653,98.65505
273.971,98.6505
274.285,98.65349
274.599,98.65025
274.913,98.64795
275.231,98.64063
275.545,98.63033
275.859,98.63208
276.173,98.65107
276.491,98.64291
276.805,98.65944
277.119,98.65088
277.433,98.65450999999999
277.751,98.64453
278.065,98.65122
278.379,98.64431
278.693,98.64489
279.011,98.64650999999999
279.325,98.6493
279.639,98.63467999999999
279.953,98.65601
280.272,98.64655
280.587,98.63680000000001
280.901,98.6505
281.215,98.64924
281.533,98.63844999999999
281.847,98.63719
282.161,98.65147999999999
282.475,98.64811999999999
282.793,98.64763
283.107,98.64513000000001
283.421,98.65072
283.735,98.65427000000001
284.053,98.64587
284.367,98.65930999999999
284.681,98.65027
284.995,98.64861
285.313,98.64664
285.627,98.63177999999999
285.941,98.63192
286.255,98.65131
286.573,98.63795
286.887,98.64242999999999
287.201,98.64407000000001
287.515,98.6598
287.833,98.65514999999999
288.147,98.65042
288.461,98.6187
288.775,98.61086999999999
289.093,98.60486999999999
289.407,98.65656
289.721,98.64513000000001
290.035,98.64272
290.353,98.65272
290.667,98.66046
290.981,98.64552
291.295,98.63683999999999
291.613,98.633
291.927,98.61769
292.241,98.63094
292.555,98.65109
292.873,98.6496
293.187,98.65441
293.501,98.65594999999999
293.815,98.6563
294.133,98.63279
294.447,98.6309
294.761,98.64399
295.075,98.65691000000001
295.393,98.66436999999999
295.707,98.6588
296.021,98.67041
296.335,98.63938
296.653,98.63202
296.967,98.62447999999999
297.281,98.6422
297.595,98.65352
297.914,98.64811999999999
298.228,98.65295
298.542,98.65418
298.856,98.63962
299.174,98.62839
299.488,98.62002000000001
299.802,98.66073
300.116,98.64869999999999
300.434,98.65752
300.748,98.64372999999999
301.062,98.649
301.376,98.64313
301.694,98.64179
302.008,98.64971000000001
302.322,98.64907000000001
302.636,98.64995
302.954,98.65025
303.268,98.65978999999999
303.582,98.64313
303.896,98.63749
304.214,98.6377
304.527,98.64122
304.841,98.64645
305.155,98.65163000000001
305.473,98.6524
305.787,98.64475999999999
306.101,98.6452
306.415,98.63551
306.733,98.64117999999999
307.047,98.65621
307.361,98.65486
307.675,98.64894
307.993,98.6452
308.308,98.63213
308.622,98.64138
308.936,98.66028
309.254,98.64405000000001
309.568,98.59457
309.882,98.54683
310.196,98.6345
310.514,98.65483
310.828,98.66037
311.142,98.66281
311.456,98.65666999999999
311.774,98.63829
312.088,98.63286
312.402,98.61449
312.716,98.64188
313.035,98.64763
313.349,98.64907000000001
313.663,98.68012
313.977,98.65363
314.295,98.56756
314.609,98.49971000000001
314.923,98.51855
315.237,98.63865
315.555,98.64827000000001
315.869,98.64238
316.183,98.68038
316.497,99.32426
316.815,100.90941000000001
317.129,101.84619
317.443,99.37608
317.757,101.25455000000001
318.075,101.64063
318.389,101.51938
318.703,101.44193
319.022,101.84830000000001
319.334,101.57163
319.648,101.53684
319.962,101.30766
320.28,101.3018
320.594,101.17461999999999
320.908,101.11391
321.222,101.08439
321.54,101.11048
321.854,101.53433
322.168,101.53626
322.482,101.62667
322.796,101.94628
323.11,101.61638
323.424,101.41916
323.738,101.13775
324.056,101.0209
324.37,98.91980000000001
324.684,99.37722
324.998,100.31756
325.316,100.32095
325.63,100.12035
325.944,100.24231
326.258,100.17578
326.572,100.24799
326.886,100.15299
327.2,100.15022
327.514,100.14166
327.832,100.052
328.146,100.08055999999999
328.46,100.07737
328.774,100.23302000000001
329.092,98.67502
329.406,98.75749
329.72,98.63941
330.034,98.64631
330.352,98.64117999999999
330.666,98.77911
330.98,99.2748
331.294,99.42842999999999
331.612,102.29229
331.926,103.44064999999999
332.24,103.20463000000001
332.554,98.64103
