time (ms),pressure (Pa)
0,98648.98
314,98646.85
632,98645.16
946,99203.63
1260,100239.73
1574,100468.94
1892,100619.6
2206,100385.72
2520,100700.69
2834,101335.1
3152,102427.05
3466,102314.57
3780,102029.7
4094,101782.99
4412,102005.77
4726,101670.58
5040,102163.73
5358,100431.55
5672,101035.14
5986,101368.09
6300,100920.14
6618,101097.25
6932,101174.38
7246,101157.73
7560,101264.45
7878,102073.66
8192,99857.91
8506,100796.59
8820,100706.35
9138,100388.68
9452,100488.98
9766,100509.6
10080,100569.84
10398,100444.78
10712,101007.68
11026,100893.14
11340,100701.38
11654,100507.76
11969,100674.73
12283,100054.46
12597,98643.94
12915,98641.38
13229,98634.41
