time (s),pressure (kPa)
523.415,98.63412
523.729,98.63208
524.047,98.63909
524.361,98.64117999999999
524.675,98.64119000000001
524.989,98.65185000000001
525.307,98.6445
525.621,98.64055
525.935,98.64263000000001
526.249,98.63425
526.881,98.96508
527.195,98.65288000000001
527.509,98.65582
527.838,98.64658
528.152,98.63123
528.466,98.6393
528.78,98.6331
529.098,98.64948
529.412,98.65185000000001
529.726,98.64683000000001
530.04,98.65072
530.358,98.64267
530.672,98.6456
530.986,98.63341
531.3,98.64883999999999
531.618,98.63727
531.932,98.64842999999999
532.246,98.6472
532.56,98.64457
532.89,98.64334
533.204,98.65342999999999
533.518,98.64027
533.832,98.64842999999999
534.15,98.64619
534.464,98.64773
534.778,98.64537
535.092,98.65691000000001
535.41,98.64828999999999
535.724,98.64679
536.038,98.65111999999999
536.352,98.64737
536.67,98.65172
536.984,98.64952000000001
537.298,98.64807
537.612,98.64605
537.93,98.6459
538.244,98.63605
538.558,98.64448
538.872,98.64600999999999
539.19,98.6467
539.504,98.6509
539.818,98.6462
540.132,98.64783
540.45,98.65341000000001
540.764,98.65205999999999
541.078,98.64609
541.392,98.65177
541.71,98.65327
542.024,98.64952000000001
542.338,98.65250999999999
542.652,98.6462
542.97,98.64922
543.284,98.64934
543.598,98.65247000000001
543.912,98.63133
544.23,98.64496000000001
544.544,98.64132000000001
544.858,98.65541
545.172,98.65204
545.49,98.64868
545.804,98.64872
546.118,98.64119000000001
546.432,98.64048
546.75,98.64259
547.064,98.64523
547.378,98.64863000000001
547.692,98.64708
548.01,98.63925
548.324,98.64708
548.638,98.62975999999999
548.952,98.64872
549.27,98.65075999999999
549.584,98.64944
549.898,98.65409
550.212,98.6445
550.53,98.64907000000001
550.844,98.65189
551.158,98.65584
551.472,98.65169999999999
551.79,98.64455000000001
552.104,98.65983
552.418,98.64827000000001
552.732,98.65005000000001
553.05,98.64509
553.364,98.63669999999999
553.678,98.65327
553.992,98.64185
554.31,98.64855
554.624,98.6453
554.938,98.65007000000001
555.252,98.64847999999999
555.57,98.65199000000001
555.884,98.65541
556.198,98.6503
556.512,98.64747
556.83,98.64982
557.144,98.65441
557.458,98.64824
557.772,98.65234
558.09,98.64699
558.404,98.64856
558.718,98.64614
559.032,98.63369999999999
559.35,98.65722
559.664,98.6497
559.978,98.64391
560.292,98.64453
560.61,98.65941000000001
560.924,98.64484
561.238,98.64355
561.552,98.65085
561.87,98.64866
562.184,98.64134
562.498,98.64686999999999
562.812,98.6462
563.13,98.64535000000001
563.444,98.63445
563.758,98.64898
564.072,98.64685
564.39,98.64516
564.704,99.20363
565.018,100.23973
565.332,100.46894
565.65,100.6196
565.964,100.38572
566.278,100.70069000000001
566.592,101.33510000000001
566.91,102.42705000000001
567.224,102.31457
567.538,102.02969999999999
567.852,101.78299000000001
568.17,102.00577
568.484,101.67058
568.798,102.16373
569.116,100.43155
569.43,101.03514
569.744,101.36809
570.058,100.92014
570.376,101.09725
570.69,101.17438
571.004,101.15773
571.318,101.26445
571.636,102.07366
571.95,99.85791
572.264,100.79659
572.578,100.70635
572.896,100.38868
573.21,100.48898
573.524,100.5096
573.838,100.56984
574.156,100.44478
574.47,101.00768
574.784,100.89314
575.098,100.70138
575.412,100.50775999999999
575.727,100.67473
576.041,100.05446
576.355,98.64394
576.673,98.64138
576.987,98.63441
577.301,98.6516
577.615,98.62828999999999
577.933,98.69455
578.247,98.60489
578.561,98.75667
578.875,98.71942999999999
579.193,98.66521
579.507,98.64976
579.821,98.63354
580.135,98.62777
580.453,98.6233
580.767,98.63455
581.081,98.64683000000001
581.395,98.65144000000001
581.713,98.65227
582.027,98.67041
582.341,98.65285
582.655,98.63763
582.973,98.63564
583.287,98.63753
583.601,98.64367
583.915,98.63988
584.233,98.65236
584.547,98.64807
584.861,98.65534
585.175,98.64715
585.493,98.65603999999999
585.807,98.64802
586.121,98.63855000000001
586.435,98.63295
586.753,98.6431
587.067,98.64453
587.381,98.65167
587.695,98.64255
588.013,98.6612
588.327,98.64516
588.641,98.65039999999999
588.955,98.64855
589.273,98.64792
589.587,98.64874
589.901,98.65655000000001
590.215,98.64295
590.533,98.65243
590.847,98.65558999999999
591.161,98.64197
