time (ms),pressure (Pa)
0.0,98440.4375
155.0,98441.9609375
310.0,98443.953125
465.0,98450.5703125
620.0,98440.578125
775.0,98452.921875
930.0,98452.078125
1085.0,98450.546875
1240.0,98441.5703125
1395.0,98439.546875
1550.0,98445.859375
1705.0,98443.4921875
1860.0,98441.3984375
2015.0,98446.984375
2170.0,98434.7265625
2325.0,98456.7421875
2480.0,98440.8984375
2635.0,98445.59375
2790.0,98447.2421875
2945.0,98439.8046875
3100.0,98447.6796875
3255.0,98445.40625
3410.0,98446.203125
3565.0,98444.4453125
3720.0,98435.3125
3875.0,98443.015625
4030.0,98446.4140625
4185.0,98448.8359375
4340.0,98445.84375
4495.0,98454.453125
4650.0,98443.3125
4805.0,98443.6328125
4960.0,98437.5390625
5115.0,98441.375
5270.0,98451.1015625
5425.0,98439.1875
5580.0,98443.109375
5735.0,98448.8359375
5890.0,98439.578125
6045.0,98447.875
6200.0,98449.3828125
6355.0,98473.8203125
6510.0,109033.140625
6665.0,134758.984375
6820.0,148170.5625
6975.0,155837.53125
7130.0,157959.921875
7285.0,157165.328125
7440.0,156769.671875
7595.0,156515.65625
7750.0,156321.34375
7905.0,156145.359375
8060.0,155997.125
8215.0,155865.078125
8370.0,155753.25
8525.0,155656.25
8680.0,155541.4375
8835.0,155448.453125
8990.0,155370.046875
9145.0,155281.609375
9300.0,155218.984375
9455.0,155126.59375
9610.0,155053.453125
9765.0,154979.40625
9920.0,154910.953125
10075.0,154842.3125
10230.0,154798.765625
10385.0,154712.1875
10540.0,154644.25
10695.0,154584.109375
10850.0,154525.890625
11005.0,154471.859375
11160.0,154399.359375
11315.0,154355.140625
11470.0,154284.046875
11625.0,154236.390625
11780.0,154171.359375
11935.0,154126.96875
12090.0,154068.53125
12245.0,154005.015625
12400.0,153953.453125
12555.0,153908.109375
12710.0,153864.421875
12865.0,153802.640625
13020.0,153757.90625
13175.0,153706.953125
13330.0,153672.5
13485.0,153605.359375
13640.0,153555.5
13795.0,153501.40625
13950.0,153462.4375
14105.0,153414.703125
14260.0,153359.15625
14415.0,153315.5625
14570.0,153266.4375
14725.0,153225.3125
14880.0,153163.484375
15035.0,153118.765625
15190.0,153078.875
15345.0,153018.875
15500.0,152981.015625
15655.0,152941.21875
15810.0,152888.3125
15965.0,152841.546875
16120.0,152800.71875
16275.0,152753.5
16430.0,152707.71875
16585.0,152668.671875
16740.0,152622.84375
16895.0,152584.671875
17050.0,152536.125
17205.0,152491.171875
17360.0,152443.140625
17515.0,152410.359375
17670.0,152358.203125
17825.0,152321.5
17980.0,152282.578125
18135.0,152225.28125
18290.0,152189.484375
18445.0,152149.75
