time (ms),pressure (Pa)
0.0,99201.4375
155.0,99192.4375
310.0,99206.3671875
465.0,99197.0546875
620.0,99204.921875
775.0,99207.6484375
930.0,99209.359375
1085.0,99208.7109375
1240.0,99207.6796875
1395.0,99205.09375
1550.0,99208.7421875
1705.0,99235.1171875
1860.0,98978.7578125
2015.0,96478.125
2170.0,97032.53125
2325.0,96974.75
2480.0,95418.859375
2635.0,94789.203125
2790.0,94456.9375
2945.0,94261.2578125
3100.0,93155.2421875
3255.0,93829.5625
3410.0,96276.6171875
3565.0,97923.3828125
3720.0,98634.140625
3875.0,99264.40625
4030.0,100139.078125
4185.0,100051.1015625
4340.0,100534.6875
4495.0,97974.015625
4650.0,92555.9296875
4805.0,92615.3671875
4960.0,92752.4609375
5115.0,92739.9140625
5270.0,92800.359375
5425.0,92754.46875
5580.0,92824.3046875
5735.0,92939.71875
5890.0,92905.703125
6045.0,92943.7109375
6200.0,93092.28125
6355.0,93133.828125
6510.0,93112.703125
6665.0,93184.1953125
6820.0,93239.921875
6975.0,93259.234375
7130.0,93303.078125
7285.0,93332.6953125
7440.0,93367.4609375
7595.0,93392.2265625
7750.0,93442.4765625
7905.0,93498.8125
8060.0,93571.390625
8215.0,93630.0234375
8370.0,93643.46875
8525.0,93686.9140625
8680.0,93679.9296875
8835.0,93692.28125
8990.0,93627.703125
9145.0,93764.8125
9300.0,93743.7890625
9455.0,93794.125
9610.0,93880.8828125
9765.0,93903.0546875
9920.0,94077.203125
10075.0,94095.3125
10230.0,94183.78125
10385.0,94169.515625
10540.0,103303.7734375
10695.0,108502.0234375
10850.0,115750.53125
11005.0,124580.9140625
11160.0,129232.7265625
11315.0,128507.515625
11470.0,127370.03125
11625.0,127152.203125
11780.0,126453.7578125
11935.0,126135.453125
12090.0,125956.5546875
12245.0,125846.2578125
12400.0,126114.703125
12555.0,126961.875
12710.0,126650.78125
12865.0,127487.953125
13020.0,127863.0625
13175.0,128024.9609375
13330.0,127772.5625
13485.0,126987.9921875
13640.0,126431.375
13795.0,126112.203125
13950.0,126221.6484375
14105.0,125764.3203125
14260.0,127075.1015625
14415.0,128775.578125
14570.0,134467.96875
14725.0,149398.515625
14880.0,139871.1875
15035.0,129149.7265625
15190.0,148027.640625
15345.0,159800.90625
