time (ms), Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, pressure (Pa), PSI, atm
60870, -00384.77,-00604.00, 00659.67,-00004.24,-00001.45,-00002.62,-00036.45,-00003.30, 00049.95, 00033.88,98663.56,14.31,0.97
61184, -00395.51,-00602.05, 00721.19,-00007.89, 00000.86, 00004.02,-00036.15,-00003.45, 00050.10, 00033.64,98659.93,14.31,0.97
61498, -00382.32,-00594.24, 00638.18, 00004.34,-00000.63,-00003.98,-00035.85,-00005.55, 00049.35, 00033.78,98673.24,14.31,0.97
61812, -00353.03,-00674.80, 00660.64,-00007.91,-00018.72,-00006.68,-00037.50,-00006.90, 00048.45, 00034.02,98675.55,14.31,0.97
62129, -00344.24,-00590.33, 00701.66,-00009.93,-00012.30,-00006.57,-00040.20,-00008.85, 00047.25, 00033.88,98645.20,14.31,0.97
62442, -00307.62,-00666.02, 00640.62,-00008.15, 00000.32, 00016.26,-00039.30,-00012.30, 00044.85, 00034.21,98660.73,14.31,0.97
62756, -00487.79,-00794.92, 00671.39, 00004.06, 00011.85,-00014.81,-00035.10,-00015.00, 00043.35, 00033.88,98677.70,14.31,0.97
63070, -00441.89,-00705.08, 00410.16,-00017.54,-00025.50,-00016.91,-00037.50,-00020.10, 00037.80, 00034.21,98643.45,14.31,0.97
63388, -00310.06,-00794.92, 00446.29, 00008.11, 00001.43,-00000.77,-00040.35,-00020.70, 00036.60, 00033.97,98659.46,14.31,0.97
63701, -00435.06,-00667.48, 00598.14,-00010.37, 00006.27,-00018.40,-00040.35,-00018.30, 00039.90, 00034.02,98684.51,14.31,0.97
64015, -00391.11,-00693.36, 00592.29,-00014.21, 00004.33, 00025.00,-00041.25,-00017.85, 00039.60, 00033.88,98681.22,14.31,0.97
64329, -00388.67,-00627.93, 00692.87, 00006.05,-00016.23,-00000.31,-00040.65,-00016.05, 00041.55, 00034.12,98681.08,14.31,0.97
64647, -00355.96,-00693.36, 00555.66,-00044.67,-00043.63,-00012.20,-00041.70,-00018.45, 00042.00, 00033.78,98677.05,14.31,0.97
64960, -00300.29,-00756.35, 00584.47, 00042.21, 00015.91, 00008.27,-00042.15,-00019.20, 00040.05, 00033.88,98670.58,14.31,0.97
65273, -00403.81,-00456.54, 00871.09, 00118.21,-00005.95,-00011.46,-00043.65,-00002.55, 00049.20, 00033.88,98663.34,14.31,0.97
65587, -00295.41,-00042.48, 00952.15, 00031.76,-00055.89,-00031.39,-00043.65, 00020.10, 00052.50, 00033.59,98669.55,14.31,0.97
65904, -00358.40, 00333.50, 00943.85, 00039.18, 00003.00,-00004.12,-00043.80, 00039.30, 00045.60, 00033.68,98680.70,14.31,0.97
66218, -00352.05, 00345.70, 00857.91,-00003.55,-00004.91, 00003.85,-00042.75, 00037.05, 00045.90, 00034.02,98667.09,14.31,0.97
66532, -00337.40, 00279.30, 00891.60,-00004.89, 00006.86,-00000.69,-00042.15, 00037.95, 00048.00, 00034.02,98669.29,14.31,0.97
66846, -00394.53, 00191.41, 00892.58,-00008.87,-00005.66, 00008.80,-00042.30, 00034.95, 00049.35, 00033.97,99526.22,14.46,0.99
