time (ms),pressure (kPa)
277.022,98.67034
277.335,98.67101
277.649,98.66167
277.963,98.6722
278.281,98.6492
278.595,98.64845
278.909,98.66245
279.223,98.6598
279.541,98.66746
279.855,98.65576
280.169,98.66727
280.483,98.66248
280.801,98.66046
281.115,98.64683
283.321,98.66495
283.635,98.66117
283.949,98.63208
284.263,98.63574
284.581,98.66123
284.895,98.67448
285.209,98.6712
285.523,98.67975
285.841,98.66813
286.155,98.65493
286.469,98.6487
286.783,98.6482
287.101,98.66384
287.415,98.65409
287.729,98.65855
288.043,98.67174
288.361,98.66542
288.675,98.6711
288.989,98.65231
289.303,98.65265
289.621,98.67013
289.935,98.67324
290.249,98.66234
290.563,98.66716
290.882,98.67029
291.196,98.66785
291.51,98.64609
291.824,98.60706
292.142,98.78626
292.456,98.71345
292.77,98.70044
293.084,98.66738
293.402,98.67409
293.716,98.65987
294.03,98.65551
294.344,98.66779
294.662,98.67441
294.976,98.67653
295.29,98.67534
295.604,98.67166
295.922,98.66101
296.236,98.66584
296.55,98.64605
296.864,98.64105
297.182,98.66641
297.496,98.6629
297.81,98.6597
298.124,98.6695
298.442,98.67578
298.756,98.65941
299.07,98.67302
299.384,98.66286
299.702,98.67562
300.016,98.66482
300.33,98.61575
300.644,98.62277
300.962,98.64831
301.276,98.66792
301.59,98.66319
301.904,98.65738
302.222,98.65916
302.536,98.65848
302.85,98.66281
303.164,98.66834
303.482,98.67388
303.796,98.66381
304.11,98.67471
304.424,98.67084
304.742,98.6619
305.056,98.65208
305.37,98.66039
305.684,98.67719
306.002,98.66495
306.316,98.67455
306.63,98.66891
30.694,98.66486
307.274,98.67082
307.588,98.65736
307.902,98.67082
308.216,98.66722
308.534,98.67471
308.848,98.66043
309.162,98.66763
309.476,98.65614
309.794,98.67114
310.108,98.65592
310.422,98.6563
310.736,98.66932
311.054,98.65571
311.368,98.66719
311.682,98.66356
311.996,98.65953
312.314,98.66638
312.628,98.67082
312.942,98.6682
313.256,98.65249
313.574,98.66821
313.888,98.64317
314.202,98.62525
314.516,98.64432
314.834,98.66427
315.148,98.67082
315.462,98.66116
315.776,98.6695
316.094,98.66165
316.408,98.66633
316.722,98.64831
317.036,98.64141
317.353,98.65541
317.667,98.66141
