time (ms),pressure (Pa)
277022,98670.34
277335,98671.01
277649,98661.67
277963,98672.2
278281,98649.2
278595,98648.45
278909,98662.45
279223,98659.8
279541,98667.46
279855,98655.76
280169,98667.27
280483,98662.48
280801,98660.46
281115,98646.83
283321,98664.95
283635,98661.17
283949,98632.08
284263,98635.74
284581,98661.23
284895,98674.48
285209,98671.2
285523,98679.75
285841,98668.13
286155,98654.93
286469,98648.7
286783,98648.2
287101,98663.84
287415,98654.09
287729,98658.55
288043,98671.74
288361,98665.42
288675,98671.1
288989,98652.31
289303,98652.65
289621,98670.13
289935,98673.24
290249,98662.34
290563,98667.16
290882,98670.29
291196,98667.85
291510,98646.09
291824,98607.06
292142,98786.26
292456,98713.45
292770,98700.44
293084,98667.38
293402,98674.09
293716,98659.87
294030,98655.51
294344,98667.79
294662,98674.41
294976,98676.53
295290,98675.34
295604,98671.66
295922,98661.01
296236,98665.84
296550,98646.05
296864,98641.05
297182,98666.41
297496,98662.9
297810,98659.7
298124,98669.5
298442,98675.78
298756,98659.41
299070,98673.02
299384,98662.86
299702,98675.62
300016,98664.82
300330,98615.75
300644,98622.77
300962,98648.31
301276,98667.92
301590,98663.19
301904,98657.38
302222,98659.16
302536,98658.48
302850,98662.81
303164,98668.34
303482,98673.88
303796,98663.81
304110,98674.71
304424,98670.84
304742,98661.9
305056,98652.08
305370,98660.39
305684,98677.19
306002,98664.95
306316,98674.55
306630,98668.91
30694,98664.86
307274,98670.82
307588,98657.36
307902,98670.82
308216,98667.22
308534,98674.71
308848,98660.43
309162,98667.63
309476,98656.14
309794,98671.14
310108,98655.92
310422,98656.3
310736,98669.32
311054,98655.71
311368,98667.19
311682,98663.56
311996,98659.53
312314,98666.38
312628,98670.82
312942,98668.2
313256,98652.49
313574,98668.21
313888,98643.17
314202,98625.25
314516,98644.32
314834,98664.27
315148,98670.82
315462,98661.16
315776,98669.5
316094,98661.65
316408,98666.33
316722,98648.31
317036,98641.41
317353,98655.41
317667,98661.41
317981,99197.6
318295,99472.81
318613,99713.95
318927,99687.85
319241,99764.91
319555,102452.38
319873,105480.3
320187,105318.78
320501,103415.22
320815,100820.89
321133,102347.55
321447,102957.68
321761,104437.57
322079,103307.59
322393,98655.34
322707,98663.34
323021,98650.85
323339,98647.2
323653,98644.38
323967,98694.95
324281,98911.73
324600,98686.5
324914,102543.43
325228,103990.66
325542,98603.02
325856,98673.38
326170,102317.75
326484,102711.32
326798,102435.6
327116,101406.13
327430,98672.09
327744,98654.66
328058,98641.22
328376,98672.28
328690,98642.23
329004,98665.48
329318,98668.59
329636,98667.67
