Time,Pa,P1
0,99498,0.02
1000,99466,0.02
1000,99481,0.02
2000,99482,0.02
2000,99479,0.02
3000,99477,0.02
4000,99486,0.02
4000,99476,0.02
5000,99477,0.02
5000,99472,0.02
6000,99479,0.02
7000,99486,0.02
7000,99484,0.02
8000,99487,0.02
9000,99493,0.02
9000,99499,0.02
10000,99492,0.02
10000,99492,0.02
11000,99493,0.02
12000,99500,0.02
12000,99486,0.02
13000,99491,0.02
13000,99494,0.02
14000,99494,0.02
15000,99490,0.02
15000,103827,0.49
16000,107886,0.93
17000,99491,0.02
17000,99498,0.02
18000,99492,0.02
18000,99478,0.02
19000,99472,0.02
20000,99476,0.02
20000,99480,0.02
21000,99489,0.02
22000,99482,0.02
22000,99478,0.02
23000,99466,0.02
23000,99486,0.02
24000,99482,0.02
25000,99481,0.02
25000,99479,0.02
26000,99472,0.02
26000,99480,0.02
27000,99484,0.02
28000,99475,0.02
28000,99481,0.02
29000,99472,0.02
29000,99478,0.02
30000,99494,0.02
31000,99482,0.02
31000,99477,0.02
32000,99469,0.02
33000,99492,0.02
33000,99483,0.02
34000,99476,0.02
35000,99458,0.01
35000,99487,0.02
36000,99487,0.02
36000,99483,0.02
37000,99464,0.01
38000,99469,0.02
38000,99481,0.02
39000,99484,0.02
40000,99488,0.02
41000,99477,0.02
41000,99489,0.02
42000,99492,0.02
43000,99471,0.02
44000,99485,0.02
45000,99472,0.02
45000,99475,0.02
46000,99451,0.01
46000,99468,0.02
47000,99480,0.02
48000,99476,0.02
48000,99477,0.02
49000,99460,0.01
50000,99486,0.02
51000,99486,0.02
52000,99477,0.02
52000,99479,0.02
53000,99487,0.02
54000,99486,0.02
55000,99475,0.02
55000,99483,0.02
56000,99489,0.02
57000,99485,0.02
58000,99466,0.02
59000,99496,0.02
59000,99477,0.02
60000,99458,0.01
61000,99468,0.02
61000,99485,0.02
62000,99485,0.02
63000,99477,0.02
63000,99438,0.01
64000,99466,0.02
64000,100462,0.12
65000,101449,0.23
65000,101098,0.19
66000,102496,0.35
67000,101366,0.22
67000,108071,0.95
68000,104424,0.56
68000,100724,0.15
69000,99514,0.02
69000,99514,0.02
70000,105182,0.64
71000,101987,0.29
71000,99464,0.01
72000,99467,0.02
73000,99470,0.02
73000,99476,0.02
74000,99445,0.01
76000,107955,0.94
76000,108494,1.0
77000,103223,0.43
78000,99463,0.01
78000,99465,0.02
79000,99448,0.01
79000,99472,0.02
80000,99465,0.02
81000,99501,0.02
