Time, Pa
"Friday,-August-30-2024-17:32:59",99515
"Friday,-August-30-2024-17:32:59",99515
"Friday,-August-30-2024-17:33:00",99511
"Friday,-August-30-2024-17:33:01",99524
"Friday,-August-30-2024-17:33:01",99497
"Friday,-August-30-2024-17:33:02",99516
"Friday,-August-30-2024-17:33:02",99514
"Friday,-August-30-2024-17:33:03",99512
"Friday,-August-30-2024-17:33:04",99495
"Friday,-August-30-2024-17:33:04",99501
"Friday,-August-30-2024-17:33:05",99515
"Friday,-August-30-2024-17:33:06",99519
"Friday,-August-30-2024-17:33:06",99524
"Friday,-August-30-2024-17:33:07",99510
"Friday,-August-30-2024-17:33:07",99517
"Friday,-August-30-2024-17:33:08",99515
"Friday,-August-30-2024-17:33:09",99505
"Friday,-August-30-2024-17:33:09",99510
"Friday,-August-30-2024-17:33:10",99505
"Friday,-August-30-2024-17:33:11",99525
"Friday,-August-30-2024-17:33:11",99519
"Friday,-August-30-2024-17:33:12",99524
"Friday,-August-30-2024-17:33:13",99508
"Friday,-August-30-2024-17:33:14",99516
"Friday,-August-30-2024-17:33:15",99519
"Friday,-August-30-2024-17:33:15",99516
"Friday,-August-30-2024-17:33:16",99523
"Friday,-August-30-2024-17:33:17",99536
"Friday,-August-30-2024-17:33:18",99509
"Friday,-August-30-2024-17:33:18",99517
"Friday,-August-30-2024-17:33:19",99500
"Friday,-August-30-2024-17:33:20",108742
"Friday,-August-30-2024-17:33:20",99518
"Friday,-August-30-2024-17:33:21",99521
"Friday,-August-30-2024-17:33:21",99530
"Friday,-August-30-2024-17:33:22",99517
"Friday,-August-30-2024-17:33:23",99497
"Friday,-August-30-2024-17:33:23",99514
"Friday,-August-30-2024-17:33:24",99514
"Friday,-August-30-2024-17:33:24",99514
"Friday,-August-30-2024-17:33:25",99515
"Friday,-August-30-2024-17:33:26",99492
"Friday,-August-30-2024-17:33:26",99520
"Friday,-August-30-2024-17:33:27",99510
"Friday,-August-30-2024-17:33:27",99517
"Friday,-August-30-2024-17:33:28",99506
"Friday,-August-30-2024-17:33:29",99519
"Friday,-August-30-2024-17:33:29",99519
"Friday,-August-30-2024-17:33:30",99510
"Friday,-August-30-2024-17:33:31",99511
"Friday,-August-30-2024-17:33:31",99507
"Friday,-August-30-2024-17:33:32",99502
"Friday,-August-30-2024-17:33:32",99522
"Friday,-August-30-2024-17:33:33",99515
"Friday,-August-30-2024-17:33:34",99510
"Friday,-August-30-2024-17:33:34",99503
"Friday,-August-30-2024-17:33:35",99513
"Friday,-August-30-2024-17:33:35",99514
"Friday,-August-30-2024-17:33:36",99514
"Friday,-August-30-2024-17:33:37",99512
"Friday,-August-30-2024-17:33:37",99504
"Friday,-August-30-2024-17:33:38",99510
"Friday,-August-30-2024-17:33:38",99508
"Friday,-August-30-2024-17:33:39",99514
"Friday,-August-30-2024-17:33:40",99503
"Friday,-August-30-2024-17:33:40",99513
"Friday,-August-30-2024-17:33:42",99512
"Friday,-August-30-2024-17:33:43",99512
"Friday,-August-30-2024-17:33:44",99514
"Friday,-August-30-2024-17:33:44",99505
"Friday,-August-30-2024-17:33:45",99511
"Friday,-August-30-2024-17:33:45",99509
"Friday,-August-30-2024-17:33:46",99517
"Friday,-August-30-2024-17:33:47",99514
"Friday,-August-30-2024-17:33:47",99512
"Friday,-August-30-2024-17:33:48",99506
"Friday,-August-30-2024-17:33:49",99511
"Friday,-August-30-2024-17:33:49",99519
"Friday,-August-30-2024-17:33:50",99517
"Friday,-August-30-2024-17:33:50",99515
"Friday,-August-30-2024-17:33:51",99824
"Friday,-August-30-2024-17:33:52",101527
"Friday,-August-30-2024-17:33:52",102521
"Friday,-August-30-2024-17:33:53",102492
"Friday,-August-30-2024-17:33:53",101378
"Friday,-August-30-2024-17:33:54",99539
"Friday,-August-30-2024-17:33:55",105456
"Friday,-August-30-2024-17:33:55",102165
"Friday,-August-30-2024-17:33:56",99512
"Friday,-August-30-2024-17:33:57",99509
"Friday,-August-30-2024-17:33:57",99507
"Friday,-August-30-2024-17:33:58",99515
"Friday,-August-30-2024-17:33:59",99519
"Friday,-August-30-2024-17:34:00",99528
"Friday,-August-30-2024-17:34:00",99517
"Friday,-August-30-2024-17:34:01",99513
"Friday,-August-30-2024-17:34:02",99533
"Friday,-August-30-2024-17:34:03",99525
"Friday,-August-30-2024-17:34:04",99529
"Friday,-August-30-2024-17:34:04",99528
"Friday,-August-30-2024-17:34:05",99523
"Friday,-August-30-2024-17:34:06",99511
"Friday,-August-30-2024-17:34:07",100160
"Friday,-August-30-2024-17:34:08",101587
"Friday,-August-30-2024-17:34:09",99494
"Friday,-August-30-2024-17:34:09",99522
"Friday,-August-30-2024-17:34:10",99526
"Friday,-August-30-2024-17:34:11",99523
"Friday,-August-30-2024-17:34:12",99517
"Friday,-August-30-2024-17:34:13",99504
"Friday,-August-30-2024-17:34:14",99525
"Friday,-August-30-2024-17:34:14",99519
"Friday,-August-30-2024-17:34:15",99517
"Friday,-August-30-2024-17:34:16",99525
"Friday,-August-30-2024-17:34:17",99515
"Friday,-August-30-2024-17:34:18",99510
"Friday,-August-30-2024-17:34:18",99505
"Friday,-August-30-2024-17:34:19",99504
"Friday,-August-30-2024-17:34:20",99511
"Friday,-August-30-2024-17:34:20",99516
"Friday,-August-30-2024-17:34:21",99505
"Friday,-August-30-2024-17:34:22",99500
"Friday,-August-30-2024-17:34:22",99508
"Friday,-August-30-2024-17:34:23",99502
"Friday,-August-30-2024-17:34:24",99509
"Friday,-August-30-2024-17:34:24",99492
"Friday,-August-30-2024-17:34:25",99513
"Friday,-August-30-2024-17:34:26",99513
"Friday,-August-30-2024-17:34:26",99497
"Friday,-August-30-2024-17:34:27",99505
"Friday,-August-30-2024-17:34:27",99510
"Friday,-August-30-2024-17:34:28",99517
"Friday,-August-30-2024-17:34:29",99515
"Friday,-August-30-2024-17:34:29",99497
"Friday,-August-30-2024-17:34:30",99519
"Friday,-August-30-2024-17:34:31",99501
"Friday,-August-30-2024-17:34:31",99513
"Friday,-August-30-2024-17:34:32",99509
"Friday,-August-30-2024-17:34:32",99508
"Friday,-August-30-2024-17:34:33",99509
"Friday,-August-30-2024-17:34:34",99517
"Friday,-August-30-2024-17:34:34",99504
"Friday,-August-30-2024-17:34:35",99505
"Friday,-August-30-2024-17:34:35",99504
"Friday,-August-30-2024-17:34:36",99505
"Friday,-August-30-2024-17:34:37",99515
"Friday,-August-30-2024-17:34:37",99510
"Friday,-August-30-2024-17:34:38",99505
"Friday,-August-30-2024-17:34:38",99500
"Friday,-August-30-2024-17:34:39",99505
"Friday,-August-30-2024-17:34:40",99503
"Friday,-August-30-2024-17:34:41",99495
"Friday,-August-30-2024-17:34:41",99491
"Friday,-August-30-2024-17:34:42",99464
"Friday,-August-30-2024-17:34:42",99466
"Friday,-August-30-2024-17:34:43",99508
"Friday,-August-30-2024-17:34:44",99505
"Friday,-August-30-2024-17:34:44",99511
"Friday,-August-30-2024-17:34:45",99507
"Friday,-August-30-2024-17:34:45",99515
"Friday,-August-30-2024-17:34:46",99516
"Friday,-August-30-2024-17:34:47",99519
