Time,Pa,P1,first_derivative,second_derivative
0,99514,0.01,,
1000,99531,0.01,17.0,
2000,99510,0.01,-21.0,-38.0
3000,99516,0.01,6.0,27.0
3000,99517,0.01,1.0,-5.0
4000,99530,0.01,13.0,12.0
5000,99522,0.01,-8.0,-21.0
5000,99509,0.01,-13.0,-5.0
6000,99526,0.01,17.0,30.0
6000,99514,0.01,-12.0,-29.0
7000,99524,0.01,10.0,22.0
8000,99514,0.01,-10.0,-20.0
8000,99505,0.01,-9.0,1.0
9000,99508,0.01,3.0,12.0
9000,99503,0.0,-5.0,-8.0
10000,99515,0.01,12.0,17.0
11000,99507,0.01,-8.0,-20.0
11000,99511,0.01,4.0,12.0
12000,99514,0.01,3.0,-1.0
13000,99515,0.01,1.0,-2.0
13000,99500,0.0,-15.0,-16.0
14000,99501,0.0,1.0,16.0
14000,99512,0.01,11.0,10.0
15000,99509,0.01,-3.0,-14.0
16000,99502,0.0,-7.0,-4.0
16000,99503,0.0,1.0,8.0
17000,99510,0.01,7.0,6.0
17000,99514,0.01,4.0,-3.0
18000,99514,0.01,0.0,-4.0
19000,99505,0.01,-9.0,-9.0
19000,99495,0.0,-10.0,-1.0
20000,99513,0.01,18.0,28.0
21000,99510,0.01,-3.0,-21.0
21000,99511,0.01,1.0,4.0
22000,99501,0.0,-10.0,-11.0
22000,99511,0.01,10.0,20.0
23000,99510,0.01,-1.0,-11.0
24000,99504,0.01,-6.0,-5.0
24000,99496,0.0,-8.0,-2.0
25000,99501,0.0,5.0,13.0
25000,99520,0.01,19.0,14.0
26000,99512,0.01,-8.0,-27.0
27000,99497,0.0,-15.0,-7.0
27000,99512,0.01,15.0,30.0
28000,99517,0.01,5.0,-10.0
29000,99510,0.01,-7.0,-12.0
29000,99505,0.01,-5.0,2.0
30000,99502,0.0,-3.0,2.0
30000,99513,0.01,11.0,14.0
31000,99503,0.0,-10.0,-21.0
32000,99504,0.01,1.0,11.0
32000,99499,0.0,-5.0,-6.0
33000,99501,0.0,2.0,7.0
33000,100343,0.31,842.0,840.0
34000,101002,0.55,659.0,-183.0
35000,101832,0.85,830.0,171.0
35000,102236,1.0,404.0,-426.0
36000,101711,0.81,-525.0,-929.0
37000,101303,0.66,-408.0,117.0
37000,100505,0.37,-798.0,-390.0
38000,99512,0.01,-993.0,-195.0
38000,99499,0.0,-13.0,980.0
39000,99528,0.01,29.0,42.0
40000,99519,0.01,-9.0,-38.0
40000,99509,0.01,-10.0,-1.0
41000,99492,0.0,-17.0,-7.0
41000,99499,0.0,7.0,24.0
42000,99585,0.03,86.0,79.0
43000,99490,0.0,-95.0,-181.0
44000,99518,0.01,28.0,123.0
45000,99520,0.01,2.0,-26.0
45000,99513,0.01,-7.0,-9.0
46000,99505,0.01,-8.0,-1.0
47000,99503,0.0,-2.0,6.0
47000,99664,0.06,161.0,163.0
