Time,Pa
0,99993
2000,99579
3000,99649
5000,99595
6000,99579
7000,99556
9000,99567
10000,99544
11000,99513
13000,99541
15000,99532
15000,99521
16000,99518
17000,99519
18000,99521
19000,99525
20000,99513
21000,99515
21000,99518
22000,99483
23000,99506
24000,99503
24000,99508
25000,99489
26000,99496
27000,99503
28000,99508
28000,99501
29000,99495
30000,99510
30000,99505
31000,99493
32000,99497
32000,99503
33000,99494
34000,99488
35000,99504
35000,99509
36000,99505
37000,99490
38000,99506
38000,99509
39000,99502
40000,99490
40000,99506
41000,99490
42000,99498
43000,99504
44000,99505
44000,99506
45000,99507
46000,99505
46000,99495
47000,100309
48000,100817
48000,100769
49000,103404
50000,102092
51000,100839
52000,100911
53000,99921
