Time,Pa,P1,first_derivative,second_derivative
0,99476,0.01,,
1000,99543,0.03,67.0,
1000,99594,0.04,51.0,-16.0
2000,99630,0.05,36.0,-15.0
2000,99626,0.05,-4.0,-40.0
3000,99614,0.05,-12.0,-8.0
4000,99620,0.05,6.0,18.0
4000,99515,0.02,-105.0,-111.0
5000,99513,0.02,-2.0,103.0
6000,99493,0.01,-20.0,-18.0
6000,99482,0.01,-11.0,9.0
7000,99500,0.01,18.0,29.0
7000,99507,0.02,7.0,-11.0
8000,99500,0.01,-7.0,-14.0
9000,99497,0.01,-3.0,4.0
9000,99484,0.01,-13.0,-10.0
10000,99502,0.01,18.0,31.0
11000,99505,0.02,3.0,-15.0
11000,99502,0.01,-3.0,-6.0
12000,99499,0.01,-3.0,0.0
13000,99488,0.01,-11.0,-8.0
13000,99490,0.01,2.0,13.0
14000,99497,0.01,7.0,5.0
14000,99517,0.02,20.0,13.0
15000,99491,0.01,-26.0,-46.0
16000,99463,0.0,-28.0,-2.0
16000,99497,0.01,34.0,62.0
17000,99538,0.03,41.0,7.0
17000,99489,0.01,-49.0,-90.0
18000,99457,0.0,-32.0,17.0
19000,99495,0.01,38.0,70.0
19000,99494,0.01,-1.0,-39.0
20000,99498,0.01,4.0,5.0
21000,99490,0.01,-8.0,-12.0
21000,99501,0.01,11.0,19.0
22000,99467,0.0,-34.0,-45.0
23000,99500,0.01,33.0,67.0
23000,99499,0.01,-1.0,-34.0
24000,99501,0.01,2.0,3.0
24000,99485,0.01,-16.0,-18.0
25000,99475,0.01,-10.0,6.0
26000,99499,0.01,24.0,34.0
26000,99498,0.01,-1.0,-25.0
27000,99495,0.01,-3.0,-2.0
27000,99493,0.01,-2.0,1.0
28000,99492,0.01,-1.0,1.0
29000,99495,0.01,3.0,4.0
29000,99502,0.01,7.0,4.0
30000,99485,0.01,-17.0,-24.0
31000,99470,0.0,-15.0,2.0
31000,99490,0.01,20.0,35.0
32000,99503,0.01,13.0,-7.0
32000,99505,0.02,2.0,-11.0
33000,99485,0.01,-20.0,-22.0
34000,99471,0.0,-14.0,6.0
35000,99493,0.01,22.0,36.0
36000,99466,0.0,-27.0,-49.0
37000,99505,0.02,39.0,66.0
39000,99490,0.01,-15.0,-54.0
40000,100368,0.29,878.0,893.0
41000,100565,0.35,197.0,-681.0
42000,100929,0.46,364.0,167.0
43000,102649,1.0,1720.0,1356.0
44000,100654,0.38,-1995.0,-3715.0
45000,101374,0.6,720.0,2715.0
46000,100990,0.48,-384.0,-1104.0
47000,101478,0.63,488.0,872.0
48000,100434,0.31,-1044.0,-1532.0
49000,99476,0.01,-958.0,86.0
50000,99679,0.07,203.0,1161.0
