Time,Pa,P1
0,99457,0.01
1000,99442,0.01
2000,99432,0.01
2000,99433,0.01
3000,99456,0.01
4000,99448,0.01
4000,99423,0.01
5000,99409,0.01
6000,99459,0.01
6000,99449,0.01
7000,99451,0.01
7000,99413,0.01
8000,99451,0.01
9000,99445,0.01
9000,99445,0.01
10000,99451,0.01
10000,99447,0.01
11000,99444,0.01
12000,99450,0.01
12000,99446,0.01
13000,99444,0.01
13000,99447,0.01
14000,99438,0.01
15000,99408,0.01
15000,99485,0.01
16000,99417,0.01
17000,109739,0.78
17000,112602,1.0
18000,99444,0.01
18000,99444,0.01
19000,99441,0.01
20000,99461,0.01
21000,99458,0.01
21000,99457,0.01
22000,99444,0.01
23000,99456,0.01
24000,99456,0.01
24000,99457,0.01
25000,99451,0.01
26000,99458,0.01
27000,99453,0.01
28000,99448,0.01
28000,99449,0.01
29000,99463,0.01
30000,99458,0.01
31000,99463,0.01
32000,99458,0.01
33000,99449,0.01
33000,99440,0.01
34000,99451,0.01
34000,99442,0.01
35000,99447,0.01
36000,99444,0.01
36000,99452,0.01
37000,99441,0.01
37000,99444,0.01
38000,99441,0.01
39000,99438,0.01
39000,99448,0.01
40000,99442,0.01
41000,99440,0.01
41000,99445,0.01
42000,99439,0.01
42000,99441,0.01
43000,99441,0.01
44000,99439,0.01
44000,99445,0.01
45000,99448,0.01
45000,99452,0.01
46000,99432,0.01
47000,99444,0.01
47000,99438,0.01
48000,99441,0.01
49000,99444,0.01
49000,99432,0.01
50000,99441,0.01
51000,99443,0.01
51000,99436,0.01
52000,99441,0.01
52000,99435,0.01
53000,99449,0.01
54000,99908,0.05
54000,99635,0.03
55000,100054,0.06
55000,99430,0.01
56000,99437,0.01
57000,99422,0.01
57000,99439,0.01
58000,99422,0.01
59000,99442,0.01
59000,99369,0.01
60000,100836,0.12
60000,102877,0.27
61000,103077,0.28
62000,99461,0.01
62000,99333,0.0
63000,101361,0.16
63000,107757,0.64
64000,99703,0.03
65000,99453,0.01
65000,99444,0.01
66000,99443,0.01
67000,99429,0.01
67000,99434,0.01
68000,99433,0.01
68000,99432,0.01
69000,99441,0.01
70000,99435,0.01
70000,99437,0.01
71000,107542,0.62
72000,99451,0.01
73000,99459,0.01
74000,99454,0.01
75000,99438,0.01
76000,99463,0.01
76000,99454,0.01
77000,99453,0.01
78000,99443,0.01
79000,99455,0.01
80000,102390,0.23
81000,99444,0.01
82000,103980,0.35
83000,110382,0.83
83000,99453,0.01
84000,99422,0.01
85000,99447,0.01
86000,99453,0.01
87000,99357,0.0
88000,99464,0.01
88000,99446,0.01
89000,99369,0.01
90000,99446,0.01
91000,99451,0.01
92000,99452,0.01
93000,99446,0.01
93000,99445,0.01
94000,99447,0.01
95000,99440,0.01
95000,99443,0.01
96000,99452,0.01
97000,99461,0.01
97000,99439,0.01
98000,99425,0.01
99000,99487,0.01
99000,99446,0.01
100000,99396,0.01
101000,99451,0.01
101000,99430,0.01
102000,99410,0.01
103000,99405,0.01
103000,99465,0.01
104000,99435,0.01
104000,99369,0.01
105000,99446,0.01
106000,99448,0.01
106000,99438,0.01
107000,99442,0.01
108000,99434,0.01
108000,99442,0.01
109000,99445,0.01
109000,99438,0.01
110000,99443,0.01
111000,99444,0.01
111000,99412,0.01
112000,99454,0.01
112000,99445,0.01
113000,99424,0.01
114000,99415,0.01
114000,99461,0.01
115000,99447,0.01
115000,99438,0.01
116000,99394,0.01
117000,99468,0.01
117000,99453,0.01
118000,99435,0.01
119000,99451,0.01
119000,99443,0.01
120000,99463,0.01
121000,99439,0.01
121000,99408,0.01
122000,99444,0.01
123000,99428,0.01
123000,99419,0.01
124000,99450,0.01
124000,99438,0.01
125000,99395,0.01
126000,99428,0.01
126000,99444,0.01
127000,99416,0.01
128000,99411,0.01
128000,99297,0.0
129000,99446,0.01
130000,99469,0.01
130000,99508,0.02
131000,99462,0.01
132000,99443,0.01
133000,99442,0.01
133000,99437,0.01
134000,99444,0.01
135000,99301,0.0
136000,99447,0.01
137000,99444,0.01
138000,99376,0.01
139000,99445,0.01
140000,99461,0.01
141000,99347,0.0
142000,99444,0.01
143000,99347,0.0
144000,99445,0.01
145000,99452,0.01
146000,99305,0.0
147000,99455,0.01
148000,99449,0.01
149000,99438,0.01
149000,99448,0.01
150000,99441,0.01
151000,99445,0.01
152000,99385,0.01
153000,99445,0.01
154000,99445,0.01
154000,99440,0.01
155000,99424,0.01
155000,99441,0.01
156000,99439,0.01
157000,99408,0.01
157000,99450,0.01
158000,99442,0.01
159000,99440,0.01
160000,99437,0.01
160000,99452,0.01
161000,99444,0.01
162000,99434,0.01
162000,99441,0.01
163000,99447,0.01
164000,99446,0.01
164000,99414,0.01
165000,99456,0.01
166000,99451,0.01
166000,99436,0.01
167000,99420,0.01
168000,99443,0.01
168000,99446,0.01
169000,99376,0.01
170000,99465,0.01
170000,99451,0.01
171000,99419,0.01
172000,99466,0.01
172000,99440,0.01
173000,99394,0.01
174000,99444,0.01
175000,99444,0.01
176000,99338,0.0
176000,99437,0.01
177000,99448,0.01
178000,99444,0.01
179000,99437,0.01
180000,99438,0.01
181000,99438,0.01
181000,99438,0.01
182000,99438,0.01
183000,99438,0.01
184000,99450,0.01
185000,99405,0.01
186000,99361,0.0
186000,99434,0.01
188000,99399,0.01
189000,99483,0.01
190000,99443,0.01
190000,99376,0.01
191000,99444,0.01
192000,99447,0.01
193000,99438,0.01
194000,99450,0.01
195000,99454,0.01
195000,99460,0.01
196000,99432,0.01
197000,99459,0.01
198000,99449,0.01
