Time, Pa
"Friday,-August-30-2024-18:51:50",99454
"Friday,-August-30-2024-18:51:50",99449
"Friday,-August-30-2024-18:51:51",99446
"Friday,-August-30-2024-18:51:52",99436
"Friday,-August-30-2024-18:51:52",99437
"Friday,-August-30-2024-18:51:53",99419
"Friday,-August-30-2024-18:51:53",99444
"Friday,-August-30-2024-18:51:54",99430
"Friday,-August-30-2024-18:51:54",99439
"Friday,-August-30-2024-18:51:55",99439
"Friday,-August-30-2024-18:51:56",99440
"Friday,-August-30-2024-18:51:56",99359
"Friday,-August-30-2024-18:51:57",99431
"Friday,-August-30-2024-18:51:58",99433
"Friday,-August-30-2024-18:51:58",99439
"Friday,-August-30-2024-18:51:59",99317
"Friday,-August-30-2024-18:51:59",99413
"Friday,-August-30-2024-18:52:00",99451
"Friday,-August-30-2024-18:52:01",99435
"Friday,-August-30-2024-18:52:01",106744
"Friday,-August-30-2024-18:52:02",112426
"Friday,-August-30-2024-18:52:02",99424
"Friday,-August-30-2024-18:52:03",99432
"Friday,-August-30-2024-18:52:03",99428
"Friday,-August-30-2024-18:52:04",99433
"Friday,-August-30-2024-18:52:05",99445
"Friday,-August-30-2024-18:52:05",99437
"Friday,-August-30-2024-18:52:06",99443
"Friday,-August-30-2024-18:52:07",99431
"Friday,-August-30-2024-18:52:07",99438
"Friday,-August-30-2024-18:52:08",99439
"Friday,-August-30-2024-18:52:08",99446
"Friday,-August-30-2024-18:52:09",99446
"Friday,-August-30-2024-18:52:10",99440
"Friday,-August-30-2024-18:52:11",99447
"Friday,-August-30-2024-18:52:11",99433
"Friday,-August-30-2024-18:52:12",99441
"Friday,-August-30-2024-18:52:13",99443
"Friday,-August-30-2024-18:52:14",99439
"Friday,-August-30-2024-18:52:15",99433
"Friday,-August-30-2024-18:52:15",99441
"Friday,-August-30-2024-18:52:16",99441
"Friday,-August-30-2024-18:52:17",99443
"Friday,-August-30-2024-18:52:18",99445
"Friday,-August-30-2024-18:52:18",99441
"Friday,-August-30-2024-18:52:19",99436
"Friday,-August-30-2024-18:52:20",99439
"Friday,-August-30-2024-18:52:20",99406
"Friday,-August-30-2024-18:52:21",99436
"Friday,-August-30-2024-18:52:21",99428
"Friday,-August-30-2024-18:52:22",99427
"Friday,-August-30-2024-18:52:23",99430
"Friday,-August-30-2024-18:52:23",99437
"Friday,-August-30-2024-18:52:24",99431
"Friday,-August-30-2024-18:52:25",99437
"Friday,-August-30-2024-18:52:25",99430
"Friday,-August-30-2024-18:52:26",99438
"Friday,-August-30-2024-18:52:26",99435
"Friday,-August-30-2024-18:52:27",99437
"Friday,-August-30-2024-18:52:28",99434
"Friday,-August-30-2024-18:52:28",99437
"Friday,-August-30-2024-18:52:29",99432
"Friday,-August-30-2024-18:52:29",99441
"Friday,-August-30-2024-18:52:30",99428
"Friday,-August-30-2024-18:52:31",99442
"Friday,-August-30-2024-18:52:31",99438
"Friday,-August-30-2024-18:52:32",99436
"Friday,-August-30-2024-18:52:33",99432
"Friday,-August-30-2024-18:52:33",99433
"Friday,-August-30-2024-18:52:34",99441
"Friday,-August-30-2024-18:52:34",99428
"Friday,-August-30-2024-18:52:35",99436
"Friday,-August-30-2024-18:52:36",99442
"Friday,-August-30-2024-18:52:36",99430
"Friday,-August-30-2024-18:52:37",99439
"Friday,-August-30-2024-18:52:37",99438
"Friday,-August-30-2024-18:52:38",99430
"Friday,-August-30-2024-18:52:39",99434
"Friday,-August-30-2024-18:52:39",99435
"Friday,-August-30-2024-18:52:40",99442
"Friday,-August-30-2024-18:52:41",99447
"Friday,-August-30-2024-18:52:41",99431
"Friday,-August-30-2024-18:52:42",99433
"Friday,-August-30-2024-18:52:42",99426
"Friday,-August-30-2024-18:52:43",99432
"Friday,-August-30-2024-18:52:44",99449
"Friday,-August-30-2024-18:52:44",99464
"Friday,-August-30-2024-18:52:45",99458
"Friday,-August-30-2024-18:52:45",100061
"Friday,-August-30-2024-18:52:46",100447
"Friday,-August-30-2024-18:52:47",99761
"Friday,-August-30-2024-18:52:47",99837
"Friday,-August-30-2024-18:52:48",99583
"Friday,-August-30-2024-18:52:49",100022
"Friday,-August-30-2024-18:52:49",100304
"Friday,-August-30-2024-18:52:50",100387
"Friday,-August-30-2024-18:52:50",100606
"Friday,-August-30-2024-18:52:51",99480
"Friday,-August-30-2024-18:52:52",99397
"Friday,-August-30-2024-18:52:52",99472
"Friday,-August-30-2024-18:52:53",101916
"Friday,-August-30-2024-18:52:53",101202
"Friday,-August-30-2024-18:52:54",99429
"Friday,-August-30-2024-18:52:55",99426
"Friday,-August-30-2024-18:52:55",99390
"Friday,-August-30-2024-18:52:56",100211
"Friday,-August-30-2024-18:52:57",104107
"Friday,-August-30-2024-18:52:58",108806
"Friday,-August-30-2024-18:52:59",108639
"Friday,-August-30-2024-18:53:00",99439
"Friday,-August-30-2024-18:53:00",99431
"Friday,-August-30-2024-18:53:01",99406
"Friday,-August-30-2024-18:53:02",100912
"Friday,-August-30-2024-18:53:02",100780
"Friday,-August-30-2024-18:53:03",99404
"Friday,-August-30-2024-18:53:04",106721
"Friday,-August-30-2024-18:53:04",100043
"Friday,-August-30-2024-18:53:05",99422
"Friday,-August-30-2024-18:53:06",99451
"Friday,-August-30-2024-18:53:07",2147483647
