Time,Pa,P1
0,99364,0.01
1000,99399,0.01
2000,99371,0.01
2000,99350,0.01
3000,99389,0.01
3000,99372,0.01
4000,99361,0.01
5000,99375,0.01
5000,99385,0.01
6000,99361,0.01
6000,99334,0.01
7000,99364,0.01
7000,99379,0.01
8000,99385,0.01
9000,99372,0.01
9000,99375,0.01
10000,99384,0.01
11000,99376,0.01
11000,99376,0.01
12000,99378,0.01
12000,99369,0.01
13000,106293,0.84
13000,99412,0.01
14000,99373,0.01
15000,99373,0.01
15000,99376,0.01
16000,99367,0.01
16000,99389,0.01
17000,99372,0.01
18000,99352,0.01
18000,99392,0.01
19000,99369,0.01
19000,99359,0.01
20000,99397,0.01
21000,99387,0.01
21000,99354,0.01
22000,99386,0.01
22000,99368,0.01
23000,99366,0.01
24000,99377,0.01
24000,99371,0.01
25000,99357,0.01
26000,99386,0.01
26000,99370,0.01
27000,99350,0.01
27000,99381,0.01
28000,99371,0.01
29000,99354,0.01
29000,99395,0.01
30000,99381,0.01
30000,99361,0.01
31000,99395,0.01
32000,99359,0.01
32000,99355,0.01
33000,99381,0.01
34000,99378,0.01
34000,99356,0.01
35000,99387,0.01
36000,99389,0.01
36000,99358,0.01
37000,99373,0.01
37000,99380,0.01
38000,99349,0.01
39000,99373,0.01
40000,99380,0.01
41000,99376,0.01
41000,99367,0.01
42000,99407,0.01
43000,99329,0.0
43000,99365,0.01
44000,99717,0.05
44000,99379,0.01
45000,99369,0.01
46000,99839,0.07
46000,99714,0.05
47000,99379,0.01
47000,100095,0.1
48000,100034,0.09
49000,99966,0.08
50000,100505,0.15
50000,99415,0.01
51000,99793,0.06
52000,101063,0.21
53000,104613,0.64
54000,102000,0.33
54000,99822,0.06
55000,99677,0.05
56000,100083,0.1
57000,99419,0.02
58000,99381,0.01
59000,99534,0.03
60000,107614,1.0
60000,99397,0.01
61000,99362,0.01
61000,99371,0.01
62000,99361,0.01
63000,99369,0.01
63000,99368,0.01
64000,99340,0.01
64000,99383,0.01
65000,99364,0.01
66000,100103,0.1
66000,101075,0.21
67000,101035,0.21
67000,101068,0.21
68000,100640,0.16
69000,100128,0.1
69000,99362,0.01
70000,99361,0.01
71000,99364,0.01
71000,99364,0.01
72000,99378,0.01
73000,99381,0.01
73000,99374,0.01
74000,99291,0.0
74000,99410,0.01
75000,99356,0.01
76000,99357,0.01
76000,99381,0.01
77000,99325,0.0
78000,99347,0.01
78000,99411,0.01
79000,99367,0.01
79000,99366,0.01
