Time,Pa,P1
0,99412,0.01
1000,99373,0.01
2000,99373,0.01
2000,99376,0.01
3000,99367,0.0
3000,99389,0.01
4000,99372,0.01
5000,99352,0.0
5000,99392,0.01
6000,99369,0.0
6000,99359,0.0
7000,99397,0.01
8000,99387,0.01
8000,99354,0.0
9000,99386,0.01
9000,99368,0.0
10000,99366,0.0
11000,99377,0.01
11000,99371,0.01
12000,99357,0.0
13000,99386,0.01
13000,99370,0.0
14000,99350,0.0
14000,99381,0.01
15000,99371,0.01
16000,99354,0.0
16000,99395,0.01
17000,99381,0.01
17000,99361,0.0
18000,99395,0.01
19000,99359,0.0
19000,99355,0.0
20000,99381,0.01
21000,99378,0.01
21000,99356,0.0
22000,99387,0.01
23000,99389,0.01
23000,99358,0.0
24000,99373,0.01
24000,99380,0.01
25000,99349,0.0
26000,99373,0.01
27000,99380,0.01
28000,99376,0.01
28000,99367,0.0
29000,99407,0.01
30000,99329,0.0
30000,99365,0.0
31000,99717,0.05
31000,99379,0.01
32000,99369,0.0
33000,99839,0.06
33000,99714,0.05
34000,99379,0.01
34000,100095,0.09
35000,100034,0.09
36000,99966,0.08
37000,100505,0.14
37000,99415,0.01
38000,99793,0.06
39000,101063,0.21
40000,104613,0.64
41000,102000,0.32
41000,99822,0.06
42000,99677,0.04
43000,100083,0.09
44000,99419,0.01
45000,99381,0.01
46000,99534,0.02
47000,107614,1.0
47000,99397,0.01
48000,99362,0.0
48000,99371,0.01
49000,99361,0.0
50000,99369,0.0
50000,99368,0.0
51000,99340,0.0
51000,99383,0.01
52000,99364,0.0
