Time, Pa
"Friday,-August-30-2024-19:53:38",99364
"Friday,-August-30-2024-19:53:39",99399
"Friday,-August-30-2024-19:53:40",99371
"Friday,-August-30-2024-19:53:40",99350
"Friday,-August-30-2024-19:53:41",99389
"Friday,-August-30-2024-19:53:41",99372
"Friday,-August-30-2024-19:53:42",99361
"Friday,-August-30-2024-19:53:43",99375
"Friday,-August-30-2024-19:53:43",99385
"Friday,-August-30-2024-19:53:44",99361
"Friday,-August-30-2024-19:53:44",99334
"Friday,-August-30-2024-19:53:45",99364
"Friday,-August-30-2024-19:53:45",99379
"Friday,-August-30-2024-19:53:46",99385
"Friday,-August-30-2024-19:53:47",99372
"Friday,-August-30-2024-19:53:47",99375
"Friday,-August-30-2024-19:53:48",99384
"Friday,-August-30-2024-19:53:49",99376
"Friday,-August-30-2024-19:53:49",99376
"Friday,-August-30-2024-19:53:50",99378
"Friday,-August-30-2024-19:53:50",99369
"Friday,-August-30-2024-19:53:51",106293
"Friday,-August-30-2024-19:53:51",99412
"Friday,-August-30-2024-19:53:52",99373
"Friday,-August-30-2024-19:53:53",99373
"Friday,-August-30-2024-19:53:53",99376
"Friday,-August-30-2024-19:53:54",99367
"Friday,-August-30-2024-19:53:54",99389
"Friday,-August-30-2024-19:53:55",99372
"Friday,-August-30-2024-19:53:56",99352
"Friday,-August-30-2024-19:53:56",99392
"Friday,-August-30-2024-19:53:57",99369
"Friday,-August-30-2024-19:53:57",99359
"Friday,-August-30-2024-19:53:58",99397
"Friday,-August-30-2024-19:53:59",99387
"Friday,-August-30-2024-19:53:59",99354
"Friday,-August-30-2024-19:54:00",99386
"Friday,-August-30-2024-19:54:00",99368
"Friday,-August-30-2024-19:54:01",99366
"Friday,-August-30-2024-19:54:02",99377
"Friday,-August-30-2024-19:54:02",99371
"Friday,-August-30-2024-19:54:03",99357
"Friday,-August-30-2024-19:54:04",99386
"Friday,-August-30-2024-19:54:04",99370
"Friday,-August-30-2024-19:54:05",99350
"Friday,-August-30-2024-19:54:05",99381
"Friday,-August-30-2024-19:54:06",99371
"Friday,-August-30-2024-19:54:07",99354
"Friday,-August-30-2024-19:54:07",99395
"Friday,-August-30-2024-19:54:08",99381
"Friday,-August-30-2024-19:54:08",99361
"Friday,-August-30-2024-19:54:09",99395
"Friday,-August-30-2024-19:54:10",99359
"Friday,-August-30-2024-19:54:10",99355
"Friday,-August-30-2024-19:54:11",99381
"Friday,-August-30-2024-19:54:12",99378
"Friday,-August-30-2024-19:54:12",99356
"Friday,-August-30-2024-19:54:13",99387
"Friday,-August-30-2024-19:54:14",99389
"Friday,-August-30-2024-19:54:14",99358
"Friday,-August-30-2024-19:54:15",99373
"Friday,-August-30-2024-19:54:15",99380
"Friday,-August-30-2024-19:54:16",99349
"Friday,-August-30-2024-19:54:17",99373
"Friday,-August-30-2024-19:54:18",99380
"Friday,-August-30-2024-19:54:19",99376
"Friday,-August-30-2024-19:54:19",99367
"Friday,-August-30-2024-19:54:20",99407
"Friday,-August-30-2024-19:54:21",99329
"Friday,-August-30-2024-19:54:21",99365
"Friday,-August-30-2024-19:54:22",99717
"Friday,-August-30-2024-19:54:22",99379
"Friday,-August-30-2024-19:54:23",99369
"Friday,-August-30-2024-19:54:24",99839
"Friday,-August-30-2024-19:54:24",99714
"Friday,-August-30-2024-19:54:25",99379
"Friday,-August-30-2024-19:54:25",100095
"Friday,-August-30-2024-19:54:26",100034
"Friday,-August-30-2024-19:54:27",99966
"Friday,-August-30-2024-19:54:28",100505
"Friday,-August-30-2024-19:54:28",99415
"Friday,-August-30-2024-19:54:29",99793
"Friday,-August-30-2024-19:54:30",101063
"Friday,-August-30-2024-19:54:31",104613
"Friday,-August-30-2024-19:54:32",102000
"Friday,-August-30-2024-19:54:32",99822
"Friday,-August-30-2024-19:54:33",99677
"Friday,-August-30-2024-19:54:34",100083
"Friday,-August-30-2024-19:54:35",99419
"Friday,-August-30-2024-19:54:36",99381
"Friday,-August-30-2024-19:54:37",99534
"Friday,-August-30-2024-19:54:38",107614
"Friday,-August-30-2024-19:54:38",99397
"Friday,-August-30-2024-19:54:39",99362
"Friday,-August-30-2024-19:54:39",99371
"Friday,-August-30-2024-19:54:40",99361
"Friday,-August-30-2024-19:54:41",99369
"Friday,-August-30-2024-19:54:41",99368
"Friday,-August-30-2024-19:54:42",99340
"Friday,-August-30-2024-19:54:42",99383
"Friday,-August-30-2024-19:54:43",99364
"Friday,-August-30-2024-19:54:44",100103
"Friday,-August-30-2024-19:54:44",101075
"Friday,-August-30-2024-19:54:45",101035
"Friday,-August-30-2024-19:54:45",101068
"Friday,-August-30-2024-19:54:46",100640
"Friday,-August-30-2024-19:54:47",100128
"Friday,-August-30-2024-19:54:47",99362
"Friday,-August-30-2024-19:54:48",99361
"Friday,-August-30-2024-19:54:49",99364
"Friday,-August-30-2024-19:54:49",99364
"Friday,-August-30-2024-19:54:50",99378
"Friday,-August-30-2024-19:54:51",99381
"Friday,-August-30-2024-19:54:51",99374
"Friday,-August-30-2024-19:54:52",99291
"Friday,-August-30-2024-19:54:52",99410
"Friday,-August-30-2024-19:54:53",99356
"Friday,-August-30-2024-19:54:54",99357
"Friday,-August-30-2024-19:54:54",99381
"Friday,-August-30-2024-19:54:55",99325
"Friday,-August-30-2024-19:54:56",99347
"Friday,-August-30-2024-19:54:56",99411
"Friday,-August-30-2024-19:54:57",99367
"Friday,-August-30-2024-19:54:57",99366
