Time,Pa,P1
0,99376,0.02
1000,99379,0.02
2000,99388,0.03
3000,99363,0.01
4000,99379,0.02
4000,99353,0.0
5000,99372,0.02
5000,99382,0.03
6000,99380,0.02
7000,99361,0.01
7000,99391,0.03
8000,99376,0.02
9000,99356,0.01
9000,99383,0.03
10000,99401,0.04
10000,99372,0.02
11000,99355,0.01
12000,99396,0.04
12000,99389,0.03
13000,99354,0.01
13000,99372,0.02
14000,99379,0.02
15000,99376,0.02
15000,99359,0.01
16000,99394,0.03
17000,99379,0.02
17000,99365,0.01
18000,99383,0.03
18000,99382,0.03
19000,99371,0.02
20000,99372,0.02
20000,99376,0.02
21000,99369,0.02
21000,99378,0.02
22000,99371,0.02
23000,99363,0.01
23000,99368,0.02
24000,99384,0.03
24000,99382,0.03
25000,99365,0.01
26000,99381,0.02
26000,99362,0.01
27000,99361,0.01
28000,99367,0.02
28000,99381,0.02
29000,99357,0.01
29000,99381,0.02
30000,99374,0.02
31000,99363,0.01
31000,99373,0.02
32000,99382,0.03
32000,99362,0.01
33000,99373,0.02
34000,99373,0.02
34000,99355,0.01
35000,99360,0.01
36000,99374,0.02
36000,99369,0.02
37000,99362,0.01
37000,99387,0.03
38000,99368,0.02
39000,99356,0.01
39000,99381,0.02
40000,99377,0.02
40000,99364,0.01
41000,99372,0.02
42000,99371,0.02
42000,99360,0.01
43000,99383,0.03
44000,99394,0.03
45000,99379,0.02
45000,99375,0.02
46000,99375,0.02
47000,99408,0.04
48000,99346,0.0
49000,100013,0.48
50000,99353,0.0
51000,100314,0.69
51000,100368,0.73
52000,100450,0.79
53000,99922,0.41
54000,99350,0.0
55000,99792,0.32
56000,100518,0.84
57000,100253,0.65
58000,100708,0.97
58000,99373,0.02
59000,100746,1.0
60000,99364,0.01
61000,100380,0.74
62000,99397,0.04
62000,100030,0.49
63000,100187,0.6
64000,99486,0.1
65000,99370,0.02
65000,99394,0.03
66000,99362,0.01
66000,99367,0.02
