Time, Pa
"Friday,-August-30-2024-19:55:07",99380
"Friday,-August-30-2024-19:55:08",99366
"Friday,-August-30-2024-19:55:08",99365
"Friday,-August-30-2024-19:55:09",99376
"Friday,-August-30-2024-19:55:09",99369
"Friday,-August-30-2024-19:55:10",99359
"Friday,-August-30-2024-19:55:11",99375
"Friday,-August-30-2024-19:55:11",99372
"Friday,-August-30-2024-19:55:12",99377
"Friday,-August-30-2024-19:55:12",99371
"Friday,-August-30-2024-19:55:13",99378
"Friday,-August-30-2024-19:55:14",99362
"Friday,-August-30-2024-19:55:14",99370
"Friday,-August-30-2024-19:55:15",99369
"Friday,-August-30-2024-19:55:15",99360
"Friday,-August-30-2024-19:55:16",99363
"Friday,-August-30-2024-19:55:17",99367
"Friday,-August-30-2024-19:55:17",99371
"Friday,-August-30-2024-19:55:18",99366
"Friday,-August-30-2024-19:55:18",99375
"Friday,-August-30-2024-19:55:19",106950
"Friday,-August-30-2024-19:55:20",99291
"Friday,-August-30-2024-19:55:20",99372
"Friday,-August-30-2024-19:55:21",99378
"Friday,-August-30-2024-19:55:22",99366
"Friday,-August-30-2024-19:55:22",99351
"Friday,-August-30-2024-19:55:23",99380
"Friday,-August-30-2024-19:55:23",99367
"Friday,-August-30-2024-19:55:24",99349
"Friday,-August-30-2024-19:55:25",99378
"Friday,-August-30-2024-19:55:25",99368
"Friday,-August-30-2024-19:55:26",99343
"Friday,-August-30-2024-19:55:27",99379
"Friday,-August-30-2024-19:55:28",99362
"Friday,-August-30-2024-19:55:29",99386
"Friday,-August-30-2024-19:55:29",99364
"Friday,-August-30-2024-19:55:30",99349
"Friday,-August-30-2024-19:55:30",99378
"Friday,-August-30-2024-19:55:31",99365
"Friday,-August-30-2024-19:55:32",99345
"Friday,-August-30-2024-19:55:33",99381
"Friday,-August-30-2024-19:55:34",99341
"Friday,-August-30-2024-19:55:34",99379
"Friday,-August-30-2024-19:55:35",99364
"Friday,-August-30-2024-19:55:35",99340
"Friday,-August-30-2024-19:55:36",99384
"Friday,-August-30-2024-19:55:37",99349
"Friday,-August-30-2024-19:55:38",99361
"Friday,-August-30-2024-19:55:38",99376
"Friday,-August-30-2024-19:55:39",99342
"Friday,-August-30-2024-19:55:39",99375
"Friday,-August-30-2024-19:55:40",99374
"Friday,-August-30-2024-19:55:41",99337
"Friday,-August-30-2024-19:55:41",99368
"Friday,-August-30-2024-19:55:42",99366
"Friday,-August-30-2024-19:55:42",99343
"Friday,-August-30-2024-19:55:43",99365
"Friday,-August-30-2024-19:55:44",99366
"Friday,-August-30-2024-19:55:44",99348
"Friday,-August-30-2024-19:55:45",99349
"Friday,-August-30-2024-19:55:46",99374
"Friday,-August-30-2024-19:55:46",99351
"Friday,-August-30-2024-19:55:47",99348
"Friday,-August-30-2024-19:55:47",99369
"Friday,-August-30-2024-19:55:48",99354
"Friday,-August-30-2024-19:55:49",99363
"Friday,-August-30-2024-19:55:49",99362
"Friday,-August-30-2024-19:55:50",99343
"Friday,-August-30-2024-19:55:50",99367
"Friday,-August-30-2024-19:55:51",99373
"Friday,-August-30-2024-19:55:52",99350
"Friday,-August-30-2024-19:55:52",99360
"Friday,-August-30-2024-19:55:53",99381
"Friday,-August-30-2024-19:55:54",99353
"Friday,-August-30-2024-19:55:54",99348
"Friday,-August-30-2024-19:55:55",99371
"Friday,-August-30-2024-19:55:55",99366
"Friday,-August-30-2024-19:55:56",99367
"Friday,-August-30-2024-19:55:57",99360
"Friday,-August-30-2024-19:55:57",99356
"Friday,-August-30-2024-19:55:58",99356
"Friday,-August-30-2024-19:55:58",99360
"Friday,-August-30-2024-19:55:59",99354
"Friday,-August-30-2024-19:56:00",100065
"Friday,-August-30-2024-19:56:00",99365
"Friday,-August-30-2024-19:56:01",100075
"Friday,-August-30-2024-19:56:01",100126
"Friday,-August-30-2024-19:56:02",99525
"Friday,-August-30-2024-19:56:03",100665
"Friday,-August-30-2024-19:56:03",99279
"Friday,-August-30-2024-19:56:04",100239
"Friday,-August-30-2024-19:56:05",99283
"Friday,-August-30-2024-19:56:05",100266
"Friday,-August-30-2024-19:56:06",100042
"Friday,-August-30-2024-19:56:06",100916
"Friday,-August-30-2024-19:56:07",100721
"Friday,-August-30-2024-19:56:08",102907
"Friday,-August-30-2024-19:56:08",99334
"Friday,-August-30-2024-19:56:09",105767
"Friday,-August-30-2024-19:56:09",102421
"Friday,-August-30-2024-19:56:10",100525
"Friday,-August-30-2024-19:56:11",101911
"Friday,-August-30-2024-19:56:11",103332
"Friday,-August-30-2024-19:56:12",101872
"Friday,-August-30-2024-19:56:13",99350
"Friday,-August-30-2024-19:56:13",102683
"Friday,-August-30-2024-19:56:14",102331
"Friday,-August-30-2024-19:56:14",101071
"Friday,-August-30-2024-19:56:15",100713
"Friday,-August-30-2024-19:56:16",99361
"Friday,-August-30-2024-19:56:16",103069
"Friday,-August-30-2024-19:56:17",100197
"Friday,-August-30-2024-19:56:18",99376
"Friday,-August-30-2024-19:56:19",99370
"Friday,-August-30-2024-19:56:20",100355
"Friday,-August-30-2024-19:56:20",100108
"Friday,-August-30-2024-19:56:21",99302
"Friday,-August-30-2024-19:56:22",108605
"Friday,-August-30-2024-19:56:23",99353
"Friday,-August-30-2024-19:56:23",99258
"Friday,-August-30-2024-19:56:25",99366
"Friday,-August-30-2024-19:56:26",99365
"Friday,-August-30-2024-19:56:27",99360
"Friday,-August-30-2024-19:56:27",99354
"Friday,-August-30-2024-19:56:28",99377
"Friday,-August-30-2024-19:56:29",99347
"Friday,-August-30-2024-19:56:30",99356
"Friday,-August-30-2024-19:56:31",99373
"Friday,-August-30-2024-19:56:32",99380
"Friday,-August-30-2024-19:56:33",99360
"Friday,-August-30-2024-19:56:33",99374
"Friday,-August-30-2024-19:56:34",99358
"Friday,-August-30-2024-19:56:35",99365
"Friday,-August-30-2024-19:56:36",99360
"Friday,-August-30-2024-19:56:37",99366
"Friday,-August-30-2024-19:56:37",99360
"Friday,-August-30-2024-19:56:38",99364
"Friday,-August-30-2024-19:56:39",99366
"Friday,-August-30-2024-19:56:39",99359
"Friday,-August-30-2024-19:56:40",99353
"Friday,-August-30-2024-19:56:40",99350
"Friday,-August-30-2024-19:56:41",99354
