Time, Pa
0,98662.06
318,98673.36
631,98678.13
945,98712.43
1259,98678.7
1577,98678.8
1891,98676.65
2204,98670.28
2518,98660.55
2836,98667.19
3149,98655.88
3463,98670.19
3777,98671.66
4094,98664.95
4407,98669.2
4721,98665.02
5035,98669.09
5353,98665.84
5666,98659.16
5980,98664.66
6294,98680.98
6623,98667.66
6936,98658.16
7250,98672.73
7564,98659.89
7882,98663.56
8195,98657.29
8509,98648.27
8823,98601.97
9141,98659.66
9454,98669.36
9767,98678.46
10080,98674.02
10393,98676.59
10707,98669.38
11021,98660.02
11335,98637.56
11653,98646.08
11966,98660.98
12280,98683.91
12593,98674.84
12906,98668.84
13223,98678.77
13536,98661.01
13850,98661.17
14163,98658.49
14480,98656.24
14793,98649.57
15106,98666.04
15420,98668.62
15738,98672.29
16052,98662.03
16366,98667.03
16680,98667.15
16998,98667.22
17311,98661.77
17624,98663.63
17938,98655.19
18256,98683.87
18569,98665.84
18883,98674.13
19196,98662.26
19532,98670.73
19845,98664.14
20158,98667.83
20472,98653.41
20789,98635.39
21102,98652.49
21416,98671.2
21730,98663.6
22048,98682.8
22362,98670.51
22676,98669.36
22990,98659.08
23308,98672.48
23622,98651.47
23936,98656.42
24250,98661.7
24568,98674.07
24882,98666.8
25196,98671.2
25510,98651.19
25828,98658.8
26142,98657.79
26456,98644.38
26770,98651.31
27088,98659.44
27401,98671.08
27715,98670.94
28029,98660.59
28347,98664.14
28660,98665.71
28974,98647.24
29288,98658.61
29605,98649.13
29919,98664.55
30233,98666.71
30547,98659.7
30865,98661.9
31179,98665.58
31493,98651.19
31807,98653.59
32125,98659.89
32440,98659.66
32754,98666.2
33068,98659.99
33386,98660.28
33700,98643.86
34014,98637.19
34328,98661.61
34646,98667.59
34960,98640.27
35274,99230.52
35588,99802.56
35906,99882.59
36220,99532.2
36534,99731.98
36848,99721.68
37177,99737.29
37491,99937.22
37805,101195.39
38119,102416.2
38437,102726.49
38751,101418.84
39065,101650.98
39379,100606.04
39697,98676.21
40011,100444.98
40325,98803.02
40639,98692.67
40957,98692.84
41271,98655.34
41585,98648.45
41899,98656.94
42217,98663.86
42531,98812.7
42845,99426.29
43159,98657.29
43477,98665.3
43791,98664.45
44105,98642.05
44419,98641.02
44737,98668.75
45051,98665.59
45365,98676.78
45679,98664.16
45997,98664.45
46311,98662.98
46625,98651.8
46939,98634.78
47257,98660.02
