Time,Pa
0,98664.39
318,98660.73
632,98664.43
946,98644.7
1261,98642.23
1579,98652.47
1893,98666.6
2207,98670.48
2521,98654.27
2839,98668.41
3153,98674.12
3467,98657.0
3781,98649.84
4099,98594.84
4413,98648.37
4727,98656.14
5041,98674.13
5359,98670.55
5673,98663.98
5987,98658.97
6301,98650.23
6619,98657.06
6933,98651.77
7247,98646.6
7561,98652.43
7879,98664.3
8193,98657.06
8507,98669.87
8821,98666.8
9139,98659.8
9453,98660.98
9767,98662.15
10081,98641.73
10399,98653.09
10713,98663.84
11027,98669.11
11341,98663.18
11659,98664.14
11973,98660.75
12287,98657.55
12601,98655.66
12919,98652.72
13233,98651.53
13547,98653.0
13861,98663.75
14179,98663.22
14493,98662.95
14807,98656.27
15121,98644.07
15439,98656.74
15753,98654.92
16067,98647.2
16381,98655.63
16699,98664.89
17013,98655.82
17327,98656.5
17641,98663.81
17959,98663.54
18274,98662.36
18588,98648.12
18902,98649.11
19220,98660.66
19534,98654.38
19848,98663.88
20162,98665.71
20480,98662.99
20794,98651.8
21108,98655.38
21422,98663.18
21740,98664.39
22054,98655.19
22368,98654.51
23028,98664.02
23011,98668.86
23325,98659.99
23639,98662.73
23953,98648.29
24271,98654.07
24585,98634.16
24899,98652.92
25213,98654.66
25542,98663.54
25856,98664.24
26170,98665.21
26484,98664.66
26802,98657.16
27116,98648.43
27430,98650.19
27745,98653.61
28063,98663.93
28377,98658.73
28691,98659.09
29005,98664.18
29323,98655.71
29637,98646.55
29951,98658.84
30265,98651.98
30583,98654.89
30897,98666.22
31211,98663.52
31525,98665.55
31843,98653.0
32156,98634.02
32470,98982.29
32784,99747.85
33102,99712.56
33416,99777.43
33730,100572.54
34044,100577.52
34362,101817.31
34676,105388.75
34990,107317.7
35304,102514.59
35622,101942.37
35936,98659.89
36250,98649.98
36568,98638.13
36880,98645.63
37194,98655.98
37508,98943.4
37826,99443.84
