Time,Pa,P1
0,99754.69,0.36
313,98647.2,0.04
627,98638.91,0.04
941,98655.05,0.05
1259,98650.5,0.04
1573,98653.49,0.04
1887,98650.25,0.04
2201,98647.95,0.04
2519,98640.63,0.04
2833,98630.33,0.04
3147,98632.08,0.04
3461,98651.07,0.04
3779,98642.91,0.04
4093,98659.44,0.05
4407,98650.88,0.04
4721,98654.51,0.04
5039,98644.53,0.04
5353,98651.22,0.04
5667,98644.31,0.04
5981,98644.89,0.04
6299,98646.51,0.04
6613,98649.3,0.04
6927,98634.68,0.04
7241,98656.01,0.05
7560,98646.55,0.04
7875,98636.8,0.04
8189,98650.5,0.04
8503,98649.24,0.04
8821,98638.45,0.04
9135,98637.19,0.04
9449,98651.48,0.04
9763,98648.12,0.04
10081,98647.63,0.04
10395,98645.13,0.04
10709,98650.72,0.04
11023,98654.27,0.04
11341,98645.87,0.04
11655,98659.31,0.05
11969,98650.27,0.04
12283,98648.61,0.04
12601,98646.64,0.04
12915,98631.78,0.04
13229,98631.92,0.04
13543,98651.31,0.04
13861,98637.95,0.04
14175,98642.43,0.04
14489,98644.07,0.04
14803,98659.8,0.05
15121,98655.15,0.05
15435,98650.42,0.04
15749,98618.7,0.03
16063,98610.87,0.03
16381,98604.87,0.03
16695,98656.56,0.05
17009,98645.13,0.04
17323,98642.72,0.04
17641,98652.72,0.04
17955,98660.46,0.05
18269,98645.52,0.04
18583,98636.84,0.04
18901,98633.0,0.04
19215,98617.69,0.03
19529,98630.94,0.04
19843,98651.09,0.04
20161,98649.6,0.04
20475,98654.41,0.04
20789,98655.95,0.05
21103,98656.3,0.05
21421,98632.79,0.04
21735,98630.9,0.04
22049,98643.99,0.04
22363,98656.91,0.05
22681,98664.37,0.05
22995,98658.8,0.05
23309,98670.41,0.05
23623,98639.38,0.04
23941,98632.02,0.04
24255,98624.48,0.04
24569,98642.2,0.04
24883,98653.52,0.04
25202,98648.12,0.04
25516,98652.95,0.04
25830,98654.18,0.04
26144,98639.62,0.04
26462,98628.39,0.04
26776,98620.02,0.03
27090,98660.73,0.05
27404,98648.7,0.04
27722,98657.52,0.05
28036,98643.73,0.04
28350,98649.0,0.04
28664,98643.13,0.04
28982,98641.79,0.04
29296,98649.71,0.04
29610,98649.07,0.04
29924,98649.95,0.04
30242,98650.25,0.04
30556,98659.79,0.05
30870,98643.13,0.04
31184,98637.49,0.04
31502,98637.7,0.04
31815,98641.22,0.04
32129,98646.45,0.04
32443,98651.63,0.04
32761,98652.4,0.04
33075,98644.76,0.04
33389,98645.2,0.04
33703,98635.51,0.04
34021,98641.18,0.04
34335,98656.21,0.05
34649,98654.86,0.05
34963,98648.94,0.04
35281,98645.2,0.04
35596,98632.13,0.04
35910,98641.38,0.04
36224,98660.28,0.05
36542,98644.05,0.04
36856,98594.57,0.03
37170,98546.83,0.01
37484,98634.5,0.04
37802,98654.83,0.05
38116,98660.37,0.05
38430,98662.81,0.05
38744,98656.67,0.05
39062,98638.29,0.04
39376,98632.86,0.04
39690,98614.49,0.03
40004,98641.88,0.04
40323,98647.63,0.04
40637,98649.07,0.04
40951,98680.12,0.05
41265,98653.63,0.04
41583,98567.56,0.02
41897,98499.71,0.0
42211,98518.55,0.01
42525,98638.65,0.04
42843,98648.27,0.04
43157,98642.38,0.04
43471,98680.38,0.05
43785,99324.26,0.24
44103,100909.41,0.7
44417,101846.19,0.97
44731,99376.08,0.25
45045,101254.55,0.8
45363,101640.63,0.91
45677,101519.38,0.88
45991,101441.93,0.85
46310,101848.3,0.97
46622,101571.63,0.89
46936,101536.84,0.88
47250,101307.66,0.81
47568,101301.8,0.81
47882,101174.62,0.78
48196,101113.91,0.76
48510,101084.39,0.75
48828,101110.48,0.76
49142,101534.33,0.88
49456,101536.26,0.88
49770,101626.67,0.91
50084,101946.28,1.0
50398,101616.38,0.9
50712,101419.16,0.85
51026,101137.75,0.77
51344,101020.9,0.73
51658,98919.8,0.12
51972,99377.22,0.25
52286,100317.56,0.53
52604,100320.95,0.53
52918,100120.35,0.47
53232,100242.31,0.51
53546,100175.78,0.49
53860,100247.99,0.51
54174,100152.99,0.48
54488,100150.22,0.48
54802,100141.66,0.48
55120,100052.0,0.45
55434,100080.56,0.46
55748,100077.37,0.46
56062,100233.02,0.5
56380,98675.02,0.05
56694,98757.49,0.07
57008,98639.41,0.04
57322,98646.31,0.04
57640,98641.18,0.04
57954,98779.11,0.08
58268,99274.8,0.22
58582,99428.43,0.27
