Time, Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
268930, -00200.68,-00201.66, 00952.64, 00001.18,-00005.37, 00000.59,-00049.95, 00010.35, 00050.10, 00033.11,98646.60,14.31,0.97
269244, -00188.96,-00183.59, 00956.05,-00001.06, 00001.28, 00000.53,-00048.90, 00011.55, 00049.05, 00032.92,98644.50,14.31,0.97
269558, -00207.03,-00214.36, 00957.52,-00001.56, 00000.53, 00001.44,-00048.45, 00011.85, 00049.05, 00032.92,98645.09,14.31,0.97
269872, -00215.33,-00203.12, 00955.08,-00004.64,-00003.36,-00003.22,-00048.45, 00012.30, 00048.60, 00032.77,98646.79,14.31,0.97
270190, -00202.64,-00202.15, 00954.10, 00000.46,-00000.11,-00000.37,-00049.05, 00012.45, 00048.45, 00033.06,98635.49,14.31,0.97
270504, -00194.34,-00192.87, 00972.66, 00000.66,-00003.37,-00000.82,-00048.60, 00011.25, 00048.45, 00033.11,98646.87,14.31,0.97
270819, -00205.57,-00182.13, 00976.07, 00002.58, 00000.43, 00002.73,-00049.05, 00011.70, 00048.75, 00033.06,98641.82,14.31,0.97
271133, -00210.94,-00204.59, 00970.21,-00002.64,-00000.94,-00000.41,-00048.60, 00012.45, 00049.20, 00032.73,98624.29,14.30,0.97
271451, -00190.92,-00189.45, 00965.33,-00001.45,-00000.72, 00000.44,-00048.90, 00010.35, 00049.05, 00033.06,98640.95,14.31,0.97
271765, -00171.87,-00184.08, 00968.26, 00001.04,-00000.31,-00002.75,-00051.30, 00011.25, 00048.75, 00032.73,98638.84,14.31,0.97
272079, -00193.85,-00172.36, 00961.43,-00006.40, 00003.29, 00005.05,-00049.65, 00011.10, 00048.30, 00032.77,101866.40,14.78,1.01
272394, -00189.45,-00162.60, 00987.79, 00005.46,-00002.93, 00002.41,-00049.05, 00011.70, 00048.75, 00033.06,101426.33,14.71,1.00
272712, -00171.87,-00191.89, 00956.05,-00019.34, 00026.79,-00010.65,-00049.20, 00011.55, 00049.05, 00032.82,99754.69,14.45,0.98
273025, -00230.96,-00253.42, 00946.78,-00005.26, 00001.16, 00002.45,-00050.40, 00009.15, 00049.05, 00032.82,98647.20,14.31,0.97
273339, -00215.82,-00147.95, 01023.93, 00003.17, 00009.49, 00002.56,-00050.55, 00010.50, 00048.75, 00032.63,98638.91,14.31,0.97
273653, -00149.90,-00186.52, 00869.14,-00018.99,-00000.31,-00014.69,-00053.40, 00010.35, 00047.40, 00033.11,98655.05,14.31,0.97
273971, -00260.74,-00341.31, 00916.99,-00059.43, 00009.83,-00011.66,-00050.55, 00002.55, 00047.70, 00033.11,98650.50,14.31,0.97
274285, -00224.12,-00389.65, 00902.34,-00002.82,-00014.37,-00004.44,-00050.55,-00000.75, 00045.90, 00032.92,98653.49,14.31,0.97
274599, -00225.10,-00437.01, 00882.32,-00014.72,-00016.92,-00000.85,-00054.75,-00000.90, 00048.00, 00032.97,98650.25,14.31,0.97
274913, -00143.07,-00393.07, 00905.76,-00002.02,-00000.51, 00001.65,-00056.70,-00000.90, 00045.75, 00032.82,98647.95,14.31,0.97
275231, -00133.79,-00396.00, 00912.11,-00006.94, 00001.78, 00001.84,-00056.25, 00001.65, 00045.75, 00032.97,98640.63,14.31,0.97
275545, -00150.39,-00423.83, 00923.83,-00004.57,-00004.61, 00000.77,-00057.00,-00002.85, 00043.50, 00032.77,98630.33,14.31,0.97
275859, -00152.34,-00429.69, 00865.23, 00011.85,-00006.11, 00001.00,-00057.45,-00002.55, 00040.50, 00032.77,98632.08,14.31,0.97
276173, -00154.79,-00482.91, 00909.67,-00002.78, 00003.51,-00004.60,-00057.30,-00003.45, 00043.35, 00033.11,98651.07,14.31,0.97
276491, -00161.62,-00464.36, 00892.09, 00006.82, 00004.21,-00004.07,-00057.45,-00002.55, 00043.95, 00032.97,98642.91,14.31,0.97
276805, -00106.93,-00442.87, 00888.18,-00005.05, 00002.79,-00002.14,-00058.50,-00001.65, 00044.70, 00033.06,98659.44,14.31,0.97
277119, -00140.62,-00454.10, 00878.91,-00002.79,-00002.91, 00005.53,-00058.35,-00003.15, 00044.10, 00032.97,98650.88,14.31,0.97
277433, -00125.98,-00469.73, 00866.70,-00002.21,-00007.77, 00006.40,-00056.85,-00004.65, 00043.35, 00032.92,98654.51,14.31,0.97
277751, -00170.41,-00494.14, 00863.28, 00004.11,-00002.17, 00002.58,-00057.60,-00004.65, 00041.40, 00033.06,98644.53,14.31,0.97
278065, -00182.13,-00461.43, 00883.79, 00003.87, 00000.50,-00004.07,-00057.60,-00003.15, 00041.40, 00032.73,98651.22,14.31,0.97
278379, -00201.66,-00536.62, 00821.29,-00080.31, 00019.69, 00004.40,-00055.95,-00008.55, 00040.50, 00033.06,98644.31,14.31,0.97
278693, -00272.95,-01064.94, 00040.04,-00096.90, 00027.50, 00015.95,-00054.75,-00033.60, 00013.35, 00033.11,98644.89,14.31,0.97
279011, -00230.47,-01000.00,-00121.58, 00008.00,-00007.21, 00000.99,-00054.00,-00034.80, 00003.45, 00033.11,98646.51,14.31,0.97
279325, -00240.72,-00971.19,-00127.93,-00002.10,-00010.73,-00003.60,-00054.15,-00033.75, 00003.75, 00033.11,98649.30,14.31,0.97
279639, -00251.95,-00971.19,-00161.62,-00000.87,-00006.09,-00004.31,-00052.65,-00033.00, 00001.80, 00032.97,98634.68,14.31,0.97
279953, -00329.10,-00928.71,-00164.06, 00002.60, 00004.76,-00001.93,-00053.40,-00031.80, 00000.75, 00032.82,98656.01,14.31,0.97
280272, -00271.00,-00967.77,-00118.16, 00009.72, 00005.18, 00001.40,-00053.40,-00033.45, 00003.00, 00033.11,98646.55,14.31,0.97
280587, -00229.00,-00971.68,-00112.79, 00002.00, 00000.24, 00001.22,-00054.30,-00034.05, 00004.65, 00033.11,98636.80,14.31,0.97
280901, -00235.35,-00971.68,-00101.07,-00000.98,-00006.19,-00001.47,-00053.40,-00034.65, 00003.30, 00032.73,98650.50,14.31,0.97
281215, -00242.19,-00983.40,-00111.82,-00004.08,-00008.41,-00004.64,-00052.65,-00034.65, 00003.00, 00033.11,98649.24,14.31,0.97
281533, -00295.90,-00966.31,-00103.52,-00001.27,-00001.37,-00004.31,-00051.75,-00031.65, 00002.70, 00032.97,98638.45,14.31,0.97
281847, -00267.09,-00978.03,-00095.70, 00006.92, 00007.82, 00006.02,-00052.65,-00032.55, 00001.80, 00033.11,98637.19,14.31,0.97
282161, -00219.73,-01079.10, 00110.84, 00094.49,-00003.51,-00004.53,-00054.00,-00031.65, 00011.10, 00032.97,98651.48,14.31,0.97
282475, -00133.30,-00455.08, 00906.74, 00176.89,-00013.01,-00004.73,-00055.20,-00004.05, 00045.00, 00032.53,98648.12,14.31,0.97
282793, -00125.49,-00027.34, 00988.77, 00027.11,-00008.34,-00002.93,-00056.85, 00012.75, 00046.35, 00032.82,98647.63,14.31,0.97
283107, -00163.57,-00084.96, 00979.00,-00005.98,-00004.49, 00006.42,-00055.95, 00012.90, 00045.75, 00032.92,98645.13,14.31,0.97
283421, -00181.15,-00069.82, 00973.63, 00002.93, 00002.28,-00007.46,-00054.90, 00014.25, 00044.85, 00032.92,98650.72,14.31,0.97
283735, -00133.79,-00066.41, 01008.30, 00007.27, 00001.75,-00009.70,-00055.65, 00013.05, 00045.90, 00032.92,98654.27,14.31,0.97
284053, -00116.21,-00055.18, 00998.54,-00001.68, 00003.26,-00006.69,-00055.50, 00015.60, 00048.00, 00032.97,98645.87,14.31,0.97
284367, -00149.41,-00056.15, 00988.77,-00006.02,-00001.93, 00007.41,-00055.65, 00013.05, 00048.30, 00032.92,98659.31,14.31,0.97
284681, -00157.23,-00083.01, 00988.77,-00004.24,-00000.93, 00006.85,-00055.50, 00013.65, 00046.50, 00033.11,98650.27,14.31,0.97
284995, -00198.24,-00074.71, 00960.94,-00000.92,-00001.27,-00001.02,-00055.20, 00013.20, 00045.45, 00033.06,98648.61,14.31,0.97
285313, -00166.99,-00084.96, 00993.65,-00000.50, 00003.97,-00008.06,-00056.25, 00012.45, 00046.95, 00033.11,98646.64,14.31,0.97
